y,x,osmid,highway,ref,geometry
32.0556124,34.7777702,1571763771,,,POINT (34.7777702 32.0556124)
32.0568595,34.7780577,1571763960,,,POINT (34.7780577 32.0568595)
32.0544566,34.7775038,1571764066,,,POINT (34.7775038 32.0544566)
32.05498,34.7776245,1571764197,,,POINT (34.7776245 32.05498)
32.0556849,34.7777869,2390930286,,,POINT (34.7777869 32.0556849)
32.0561692,34.7778994,4253794363,,,POINT (34.7778994 32.0561692)
32.0916012,34.7828736,35288618,traffic_signals,,POINT (34.7828736 32.0916012)
32.0927712,34.7733032,290612973,traffic_signals,,POINT (34.7733032 32.0927712)
32.0925735,34.774769,331214989,,,POINT (34.774769 32.0925735)
32.0924091,34.7762737,331214990,crossing,,POINT (34.7762737 32.0924091)
32.0921894,34.7782621,331214991,,,POINT (34.7782621 32.0921894)
32.0918505,34.7813292,331214992,,,POINT (34.7813292 32.0918505)
32.0916781,34.7828891,331214993,,,POINT (34.7828891 32.0916781)
32.1013953,34.781504,332203124,,,POINT (34.781504 32.1013953)
32.0980593,34.7931963,340378133,,,POINT (34.7931963 32.0980593)
32.0979912,34.7929237,340378134,,,POINT (34.7929237 32.0979912)
32.0977864,34.7918204,340378135,,,POINT (34.7918204 32.0977864)
32.0974446,34.7903956,340378136,,,POINT (34.7903956 32.0974446)
32.0967573,34.7835335,340378223,,,POINT (34.7835335 32.0967573)
32.096556,34.7833213,340378227,,,POINT (34.7833213 32.096556)
32.0965552,34.7830711,340378228,,,POINT (34.7830711 32.0965552)
32.0968553,34.7830539,340378229,,,POINT (34.7830539 32.0968553)
32.0968124,34.7842268,340378253,,,POINT (34.7842268 32.0968124)
32.0968492,34.7819958,340380690,,,POINT (34.7819958 32.0968492)
32.0966855,34.7819066,340380691,,,POINT (34.7819066 32.0966855)
32.0965686,34.7798295,340380927,,,POINT (34.7798295 32.0965686)
32.0965341,34.7788732,340381019,,,POINT (34.7788732 32.0965341)
32.0966562,34.7784706,340381020,,,POINT (34.7784706 32.0966562)
32.097014,34.778031,340381022,,,POINT (34.778031 32.097014)
32.097385,34.777822,340381023,,,POINT (34.777822 32.097385)
32.0980727,34.7776266,340381024,,,POINT (34.7776266 32.0980727)
32.0984944,34.777661,340381025,,,POINT (34.777661 32.0984944)
32.0989478,34.7779435,340381026,,,POINT (34.7779435 32.0989478)
32.0984969,34.7831602,340382284,,,POINT (34.7831602 32.0984969)
32.0984875,34.783978,340382390,,,POINT (34.783978 32.0984875)
32.0968779,34.7842097,340382391,,,POINT (34.7842097 32.0968779)
32.0995147,34.7930714,340382462,,,POINT (34.7930714 32.0995147)
32.0835425,34.7762866,344929187,crossing,,POINT (34.7762866 32.0835425)
32.0825795,34.7780042,344929188,crossing,,POINT (34.7780042 32.0825795)
32.0843995,34.7742584,344929195,,,POINT (34.7742584 32.0843995)
32.0848932,34.7724832,344929212,,,POINT (34.7724832 32.0848932)
32.083797,34.775822,344929220,,,POINT (34.775822 32.083797)
32.0916745,34.7830373,354567804,traffic_signals,,POINT (34.7830373 32.0916745)
32.0966046,34.7805666,358519957,,,POINT (34.7805666 32.0966046)
32.0991063,34.7931855,358520422,,,POINT (34.7931855 32.0991063)
32.0975618,34.7841079,358520928,,,POINT (34.7841079 32.0975618)
32.0983739,34.7837815,358520930,,,POINT (34.7837815 32.0983739)
32.0980295,34.7939172,358521595,,,POINT (34.7939172 32.0980295)
32.098386,34.79499,358521597,,,POINT (34.79499 32.098386)
32.098576,34.795359,358521599,,,POINT (34.795359 32.098576)
32.098736,34.796129,358521601,,,POINT (34.796129 32.098736)
32.099856,34.798668,358521608,,,POINT (34.798668 32.099856)
32.1,34.798935,358521610,,,POINT (34.798935 32.1)
32.100178,34.799047,358521612,,,POINT (34.799047 32.100178)
32.1004354,34.7993577,358521614,,,POINT (34.7993577 32.1004354)
32.1005576,34.8005049,358521617,,,POINT (34.8005049 32.1005576)
32.1004415,34.8009674,358521618,,,POINT (34.8009674 32.1004415)
32.1001943,34.8018171,358521619,,,POINT (34.8018171 32.1001943)
32.100146,34.802385,358521622,,,POINT (34.802385 32.100146)
32.1001324,34.8029251,358522447,,,POINT (34.8029251 32.1001324)
32.100144,34.805034,358522448,,,POINT (34.805034 32.100144)
32.100112,34.805883,358522449,,,POINT (34.805883 32.100112)
32.0999767,34.806593,358522451,,,POINT (34.806593 32.0999767)
32.100022,34.80692,358522453,,,POINT (34.80692 32.100022)
32.100189,34.807224,358522454,,,POINT (34.807224 32.100189)
32.100519,34.807501,358522456,,,POINT (34.807501 32.100519)
32.100631,34.807747,358522457,,,POINT (34.807747 32.100631)
32.100568,34.808207,358522458,,,POINT (34.808207 32.100568)
32.10046,34.80837,358522459,,,POINT (34.80837 32.10046)
32.100263,34.808533,358522461,,,POINT (34.808533 32.100263)
32.10022,34.808773,358522462,,,POINT (34.808773 32.10022)
32.100359,34.809113,358522464,,,POINT (34.809113 32.100359)
32.100673,34.809468,358522466,,,POINT (34.809468 32.100673)
32.100863,34.809928,358522467,,,POINT (34.809928 32.100863)
32.1009028,34.8100175,358522468,,,POINT (34.8100175 32.1009028)
32.1006405,34.8108351,358522469,,,POINT (34.8108351 32.1006405)
32.10077,34.811417,358522471,,,POINT (34.811417 32.10077)
32.1006216,34.8120958,358522472,,,POINT (34.8120958 32.1006216)
