u,v,key,osmid,oneway,name,highway,length,geometry,maxspeed,bridge,lanes,ref,service,access,width,junction,tunnel
1571763771,1571764197,0,143623364,True,מנשה בן ישראל,residential,71.648,"LINESTRING (34.7777702 32.0556124, 34.7776245 32.05498)",,,,,,,,,
1571763771,549271104,0,43520460,True,הקונגרס,residential,127.42600000000002,"LINESTRING (34.7777702 32.0556124, 34.7776252 32.0556058, 34.7774786 32.0556267, 34.7771573 32.0557358, 34.7767603 32.0558631, 34.7764932 32.0559536)",,,,,,,,,
1571764066,1571656538,0,230605319,True,שלמה,tertiary,181.496,"LINESTRING (34.7775038 32.0544566, 34.7756374 32.054859)",,,,,,,,,
1571764197,1571764066,0,143623364,True,מנשה בן ישראל,residential,59.301,"LINESTRING (34.7776245 32.05498, 34.7775038 32.0544566)",,,,,,,,,
1571764197,5071198352,0,143623360,False,שיבת ציון,residential,2.47,"LINESTRING (34.7776245 32.05498, 34.7776507 32.0549805)",,,,,,,,,
4253794363,1571763771,0,143623364,True,מנשה בן ישראל,residential,63.1,"LINESTRING (34.7778994 32.0561692, 34.7777869 32.0556849, 34.7777702 32.0556124)",,,,,,,,,
35288618,354567804,0,212770528,True,שדרות נורדאו,tertiary,18.205000000000002,"LINESTRING (34.7828736 32.0916012, 34.7829536 32.0916109, 34.7830373 32.0916745)",,,,,,,,,
35288618,2225836440,0,212770709,True,אבן גבירול,secondary,16.657,"LINESTRING (34.7828736 32.0916012, 34.7828649 32.0915502, 34.7828495 32.0914528)",,,,,,,,,
290612973,1224771130,0,228774302,True,שדרות נורדאו,tertiary,14.437999999999999,"LINESTRING (34.7733032 32.0927712, 34.773328 32.0927059, 34.7733634 32.0926525)",,,,,,,,,
290612973,3358884,0,106467248,True,הירקון,secondary,338.135,"LINESTRING (34.7733032 32.0927712, 34.7732058 32.0925103, 34.7731474 32.0923634, 34.7730448 32.0920906, 34.7729082 32.091711, 34.7726568 32.0910121, 34.7723275 32.0899891, 34.7723153 32.0899573, 34.772268 32.0898606)",50,,,,,,,,
331214989,331214990,0,228774297,False,,cycleway,142.922,"LINESTRING (34.774769 32.0925735, 34.7762737 32.0924091)",,,,,,,,,
331214989,5081781153,0,228774297,False,,cycleway,8.554,"LINESTRING (34.774769 32.0925735, 34.7746795 32.0925865)",,,,,,,,,
331214989,315060363,0,239173015,True,בן יהודה,tertiary,8.791,"LINESTRING (34.774769 32.0925735, 34.7747959 32.0926492)",,,,,,,,,
