y,x,osmid,highway,ref,geometry
32.0556124,34.7777702,1571763771,,,POINT (34.7777702 32.0556124)
32.0544566,34.7775038,1571764066,,,POINT (34.7775038 32.0544566)
32.05498,34.7776245,1571764197,,,POINT (34.7776245 32.05498)
32.0561692,34.7778994,4253794363,,,POINT (34.7778994 32.0561692)
32.0916012,34.7828736,35288618,traffic_signals,,POINT (34.7828736 32.0916012)
32.0927712,34.7733032,290612973,traffic_signals,,POINT (34.7733032 32.0927712)
32.0925735,34.774769,331214989,,,POINT (34.774769 32.0925735)
32.0924091,34.7762737,331214990,crossing,,POINT (34.7762737 32.0924091)
32.0921894,34.7782621,331214991,,,POINT (34.7782621 32.0921894)
32.0918505,34.7813292,331214992,,,POINT (34.7813292 32.0918505)
32.0916781,34.7828891,331214993,,,POINT (34.7828891 32.0916781)
32.0980593,34.7931963,340378133,,,POINT (34.7931963 32.0980593)
32.0984969,34.7831602,340382284,,,POINT (34.7831602 32.0984969)
32.0968779,34.7842097,340382391,,,POINT (34.7842097 32.0968779)
32.0995147,34.7930714,340382462,,,POINT (34.7930714 32.0995147)
32.0835425,34.7762866,344929187,crossing,,POINT (34.7762866 32.0835425)
32.0825795,34.7780042,344929188,crossing,,POINT (34.7780042 32.0825795)
32.0843995,34.7742584,344929195,,,POINT (34.7742584 32.0843995)
32.0848932,34.7724832,344929212,,,POINT (34.7724832 32.0848932)
32.0916745,34.7830373,354567804,traffic_signals,,POINT (34.7830373 32.0916745)
32.0983739,34.7837815,358520930,,,POINT (34.7837815 32.0983739)
32.0999767,34.806593,358522451,,,POINT (34.806593 32.0999767)
32.100519,34.807501,358522456,,,POINT (34.807501 32.100519)
32.100568,34.808207,358522458,,,POINT (34.808207 32.100568)
32.101607,34.8138782,358523656,,,POINT (34.8138782 32.101607)
32.1060824,34.8253942,358530811,,,POINT (34.8253942 32.1060824)
32.096929,34.809128,358530890,,,POINT (34.809128 32.096929)
32.0998441,34.8090095,358530895,,,POINT (34.8090095 32.0998441)
32.0799283,34.7856514,387496221,,,POINT (34.7856514 32.0799283)
32.106638,34.8252765,392067318,,,POINT (34.8252765 32.106638)
32.1009524,34.807545,412816904,,,POINT (34.807545 32.1009524)
32.1002348,34.8089036,412816936,,,POINT (34.8089036 32.1002348)
32.102452,34.808235,412817027,,,POINT (34.808235 32.102452)
32.102921,34.8071194,412817028,,,POINT (34.8071194 32.102921)
32.1011576,34.8086072,412844767,,,POINT (34.8086072 32.1011576)
32.0845799,34.7736193,414894344,,,POINT (34.7736193 32.0845799)
32.1227565,34.8246126,417774500,,,POINT (34.8246126 32.1227565)
32.0855318,34.770095,454131362,,,POINT (34.770095 32.0855318)
32.0987186,34.7830781,476355653,,,POINT (34.7830781 32.0987186)
32.0984633,34.7826527,476355656,,,POINT (34.7826527 32.0984633)
32.0798319,34.7867775,476369760,,,POINT (34.7867775 32.0798319)
32.0800648,34.7834419,489536104,,,POINT (34.7834419 32.0800648)
32.0985199,34.7831575,513063216,,,POINT (34.7831575 32.0985199)
32.0990404,34.809221,535954836,,,POINT (34.809221 32.0990404)
32.1021916,34.8083141,639608142,,,POINT (34.8083141 32.1021916)
32.1011052,34.8084891,766753656,,,POINT (34.8084891 32.1011052)
32.0990228,34.782876,794294955,,,POINT (34.782876 32.0990228)
32.0997493,34.7936777,951616928,,,POINT (34.7936777 32.0997493)
32.100861,34.8128684,989012075,,,POINT (34.8128684 32.100861)
32.1070385,34.8302515,1123297084,crossing,,POINT (34.8302515 32.1070385)
32.1090446,34.8361154,1123297086,crossing,,POINT (34.8361154 32.1090446)
32.1103471,34.8258302,1123297088,,,POINT (34.8258302 32.1103471)
32.1092847,34.8267559,1123297089,,,POINT (34.8267559 32.1092847)
32.1143474,34.8255688,1123297091,,,POINT (34.8255688 32.1143474)
32.1220588,34.8250859,1123297092,,,POINT (34.8250859 32.1220588)
32.1189076,34.8251462,1123297111,,,POINT (34.8251462 32.1189076)
32.1227828,34.8243962,1123297112,,,POINT (34.8243962 32.1227828)
32.1159491,34.8253432,1123297117,,,POINT (34.8253432 32.1159491)
32.1065812,34.8252863,1129148200,,,POINT (34.8252863 32.1065812)
32.0965606,34.7797193,1140340987,,,POINT (34.7797193 32.0965606)
32.0983336,34.7948148,1140752838,,,POINT (34.7948148 32.0983336)
32.1224435,34.7946753,1143505242,,,POINT (34.7946753 32.1224435)
32.1188879,34.825533,1164229504,,,POINT (34.825533 32.1188879)
32.1187731,34.8255215,1164229512,,,POINT (34.8255215 32.1187731)
32.1123731,34.8250953,1164618588,,,POINT (34.8250953 32.1123731)
32.1194243,34.8251624,1168434901,,,POINT (34.8251624 32.1194243)
32.1221217,34.8247489,1168434910,,,POINT (34.8247489 32.1221217)
32.1205371,34.8251031,1168434956,,,POINT (34.8251031 32.1205371)
32.1208822,34.8250703,1168435070,,,POINT (34.8250703 32.1208822)
32.120163,34.8254179,1168996552,,,POINT (34.8254179 32.120163)
32.1216887,34.8251681,1168996574,,,POINT (34.8251681 32.1216887)
32.1070344,34.8303664,1171608254,crossing,,POINT (34.8303664 32.1070344)
32.107117,34.830025,1171608299,crossing,,POINT (34.830025 32.107117)
32.1189284,34.8255331,1187231323,,,POINT (34.8255331 32.1189284)
32.0971085,34.7882304,1207717557,,,POINT (34.7882304 32.0971085)
32.0971216,34.788313,1207717610,,,POINT (34.788313 32.0971216)
32.0926525,34.7733634,1224771130,,,POINT (34.7733634 32.0926525)
32.1017995,34.7815736,1734055659,,,POINT (34.7815736 32.1017995)
32.0995848,34.7931769,1790662927,,,POINT (34.7931769 32.0995848)
32.1021921,34.8083162,1836429116,,,POINT (34.8083162 32.1021921)
32.1002553,34.8088602,1836429120,,,POINT (34.8088602 32.1002553)
32.1115424,34.8256221,1849577719,,,POINT (34.8256221 32.1115424)
32.1111156,34.8257715,1849577721,,,POINT (34.8257715 32.1111156)
32.1135843,34.8254997,1849577722,,,POINT (34.8254997 32.1135843)
32.1106074,34.8260058,1849577729,,,POINT (34.8260058 32.1106074)
32.1120584,34.8254802,1849577740,,,POINT (34.8254802 32.1120584)
32.1099379,34.8263592,1849577743,,,POINT (34.8263592 32.1099379)
32.091684,34.7828359,2072034655,,,POINT (34.7828359 32.091684)
32.0927269,34.7733979,2374499616,,,POINT (34.7733979 32.0927269)
32.0923997,34.7763587,2469720115,crossing,,POINT (34.7763587 32.0923997)
32.0843745,34.7743388,2469720139,,,POINT (34.7743388 32.0843745)
32.0849107,34.7724005,2469848166,,,POINT (34.7724005 32.0849107)
32.0796704,34.78856,2692250299,,,POINT (34.78856 32.0796704)
32.082628,34.7779402,2692265005,,,POINT (34.7779402 32.082628)
32.0802113,34.7814266,2701012461,,,POINT (34.7814266 32.0802113)
32.1160041,34.8256763,2763587000,,,POINT (34.8256763 32.1160041)
32.1142561,34.8255629,2763587007,,,POINT (34.8255629 32.1142561)
32.1158433,34.8256487,2763587034,,,POINT (34.8256487 32.1158433)
32.1139264,34.8255437,2763587053,,,POINT (34.8255437 32.1139264)
32.1122709,34.8250927,2763587056,,,POINT (34.8250927 32.1122709)
32.1138485,34.8255279,3264872351,,,POINT (34.8255279 32.1138485)
32.101542,34.8019463,3609905454,crossing,,POINT (34.8019463 32.101542)
32.1157748,34.8253308,3659503884,,,POINT (34.8253308 32.1157748)
32.1158668,34.8253417,3659503885,,,POINT (34.8253417 32.1158668)
32.1160257,34.8253288,3659503886,,,POINT (34.8253288 32.1160257)
32.0986353,34.7830978,3909330957,,,POINT (34.7830978 32.0986353)
32.1095923,34.8262314,4067820155,,,POINT (34.8262314 32.1095923)
32.0796696,34.7886757,4415218501,,,POINT (34.7886757 32.0796696)
32.0984634,34.783243,4755318730,,,POINT (34.783243 32.0984634)
32.1187338,34.8251533,4776641513,,,POINT (34.8251533 32.1187338)
32.1159243,34.8256602,4776641514,,,POINT (34.8256602 32.1159243)
32.1193857,34.8255037,4852132553,,,POINT (34.8255037 32.1193857)
32.1204853,34.8253823,4852132554,,,POINT (34.8253823 32.1204853)
32.0996393,34.793214,5081770929,,,POINT (34.793214 32.0996393)
32.0925865,34.7746795,5081781153,,,POINT (34.7746795 32.0925865)
32.1101914,34.825913,5914178739,,,POINT (34.825913 32.1101914)
32.1219748,34.8251045,5914178743,,,POINT (34.8251045 32.1219748)
32.0975622,34.7777497,6490520358,,,POINT (34.7777497 32.0975622)
32.0998924,34.7944093,6491109231,,,POINT (34.7944093 32.0998924)
32.1091026,34.8361837,7062975044,,,POINT (34.8361837 32.1091026)
32.0838218,34.7853194,282407636,,,POINT (34.7853194 32.0838218)
32.0684182,34.7772019,282458149,traffic_signals,,POINT (34.7772019 32.0684182)
32.0815592,34.7820308,285954389,,,POINT (34.7820308 32.0815592)
32.1182555,34.8015515,289087257,traffic_signals,,POINT (34.8015515 32.1182555)
32.0647019,34.7967056,312826980,,,POINT (34.7967056 32.0647019)
32.0719612,34.7793068,332207109,,,POINT (34.7793068 32.0719612)
32.118962,34.8068798,335851699,,,POINT (34.8068798 32.118962)
32.0827657,34.7948716,340186063,traffic_signals,,POINT (34.7948716 32.0827657)
32.0992105,34.7772502,340381081,,,POINT (34.7772502 32.0992105)
32.0988644,34.8012674,342316230,,,POINT (34.8012674 32.0988644)
32.0908637,34.7880146,342357610,,,POINT (34.7880146 32.0908637)
32.0908441,34.7836884,342365168,,,POINT (34.7836884 32.0908441)
32.0908514,34.786583,342380436,traffic_signals,,POINT (34.786583 32.0908514)
32.0909662,34.7871304,343611511,traffic_signals,,POINT (34.7871304 32.0909662)
32.0909748,34.7865815,343611512,traffic_signals,,POINT (34.7865815 32.0909748)
32.0909361,34.7837057,343611514,,,POINT (34.7837057 32.0909361)
32.1016984,34.802258,345401922,traffic_signals,,POINT (34.802258 32.1016984)
32.0705147,34.7788346,345574764,crossing,,POINT (34.7788346 32.0705147)
32.068181,34.7780873,345574807,crossing,,POINT (34.7780873 32.068181)
32.0666381,34.7775638,345574924,crossing,,POINT (34.7775638 32.0666381)
32.0870343,34.7883949,352936391,crossing,,POINT (34.7883949 32.0870343)
32.0869443,34.7891065,352936770,,,POINT (34.7891065 32.0869443)
32.0977133,34.7831375,354033541,,,POINT (34.7831375 32.0977133)
32.1229913,34.7942047,361093946,,,POINT (34.7942047 32.1229913)
32.057942,34.7640244,365767997,traffic_signals,,POINT (34.7640244 32.057942)
32.0695876,34.7785515,384611311,crossing,,POINT (34.7785515 32.0695876)
32.0984568,34.783708,384801545,,,POINT (34.783708 32.0984568)
32.1266931,34.8293464,410210092,,,POINT (34.8293464 32.1266931)
32.0857854,34.7947018,412272507,,,POINT (34.7947018 32.0857854)
32.1077181,34.8151183,412820339,,,POINT (34.8151183 32.1077181)
32.1216942,34.8013594,415451327,,,POINT (34.8013594 32.1216942)
32.1182919,34.8184381,417627537,,,POINT (34.8184381 32.1182919)
32.0910848,34.7904976,444739983,traffic_signals,,POINT (34.7904976 32.0910848)
32.0909936,34.7905059,444739986,traffic_signals,,POINT (34.7905059 32.0909936)
32.1224437,34.8236534,471558809,,,POINT (34.8236534 32.1224437)
32.1223972,34.8234998,471562574,,,POINT (34.8234998 32.1223972)
32.1219178,34.8224028,471562661,crossing,,POINT (34.8224028 32.1219178)
32.1033939,34.7923509,496181904,crossing,,POINT (34.7923509 32.1033939)
32.1242237,34.8047808,521584038,,,POINT (34.8047808 32.1242237)
32.119263,34.8074187,597659120,,,POINT (34.8074187 32.119263)
32.1195858,34.8075859,597659121,,,POINT (34.8075859 32.1195858)
32.0733091,34.7901621,667786477,traffic_signals,,POINT (34.7901621 32.0733091)
32.1246147,34.8026725,806981804,,,POINT (34.8026725 32.1246147)
32.0423872,34.8045714,807103749,,,POINT (34.8045714 32.0423872)
32.0495142,34.8015522,940860138,,,POINT (34.8015522 32.0495142)
32.1228527,34.8015988,953967439,crossing,,POINT (34.8015988 32.1228527)
32.1062997,34.8135734,989012101,,,POINT (34.8135734 32.1062997)
32.1221364,34.7973453,1001172587,,,POINT (34.7973453 32.1221364)
