u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,tunnel,junction,access,bridge,service
139708,336081749,0,492978620,ישעיהו,residential,30,False,27.74,"LINESTRING (34.778329 32.0950516, 34.7785219 32.0948631)",,,,,,
139709,6287116917,0,492978620,ישעיהו,residential,30,False,16.845,"LINESTRING (34.7788423 32.0945267, 34.7789655 32.0944169)",,,,,,
139709,336081749,0,492978620,ישעיהו,residential,30,False,48.064,"LINESTRING (34.7788423 32.0945267, 34.7785219 32.0948631)",,,,,,
139712,139714,0,8055794,כיכר היל,residential,30,True,65.482,"LINESTRING (34.7821808 32.0947565, 34.782238 32.0941696)",,,,,,
139714,139715,0,64152853,יוחנן הורקנוס,residential,30,True,43.795,"LINESTRING (34.782238 32.0941696, 34.7817802 32.094101)",,,,,,
139715,139713,0,30066022,כיכר היל,residential,30,True,66.376,"LINESTRING (34.7817802 32.094101, 34.7816964 32.0946937)",,,,,,
139715,790752840,0,64152853,יוחנן הורקנוס,residential,30,True,4.896,"LINESTRING (34.7817802 32.094101, 34.7817563 32.0940619)",,,,,,
139716,139718,0,64152853,יוחנן הורקנוס,residential,30,True,110.01,"LINESTRING (34.7807752 32.0938737, 34.7796079 32.0938446)",,,,,,
139717,139716,0,8175750,מודיעין,residential,30,True,79.155,"LINESTRING (34.7805786 32.0931816, 34.7807752 32.0938737)",,,,,,
139717,2225862065,0,492978620,ישעיהו,residential,30,False,84.328,"LINESTRING (34.7805786 32.0931816, 34.7813562 32.0928059)",,,,,,
139717,336079180,0,492978620,ישעיהו,residential,30,False,108.568,"LINESTRING (34.7805786 32.0931816, 34.7796789 32.0937918)",,,,,,
139718,336079180,0,492978620,ישעיהו,residential,30,False,8.9,"LINESTRING (34.7796079 32.0938446, 34.7796789 32.0937918)",,,,,,
139718,6287116917,0,492978620,ישעיהו,residential,30,False,87.817,"LINESTRING (34.7796079 32.0938446, 34.7789655 32.0944169)",,,,,,
139719,7157493980,0,64152851,יהושע בן נון,residential,30,True,84.986,"LINESTRING (34.7814959 32.0927726, 34.7813534 32.0920179)",,,,,,
139719,2225862065,0,492978620,ישעיהו,residential,30,False,13.671,"LINESTRING (34.7814959 32.0927726, 34.7813562 32.0928059)",,,,,,
139720,2225862077,0,64152851,יהושע בן נון,residential,30,True,61.765,"LINESTRING (34.7814102 32.0934944, 34.7815288 32.0929481)",,,,,,
139723,4033905182,0,8175755,ועידת קטוביץ',residential,30,True,142.639,"LINESTRING (34.7923891 32.0939756, 34.7925868 32.0927038)",,,,,,
1227191,563970402,0,44374377,יורם,residential,30,False,25.67,"LINESTRING (34.7889422 32.0474646, 34.7886904 32.0475526)",,,,,,
1227332,412406223,0,24637620,פרוג,residential,30,True,82.708,"LINESTRING (34.7730522 32.0797923, 34.7731617 32.0790543)",,,,,,
1627531,2674542078,0,623362981,ארלוזורוב,tertiary,30,True,4.87,"LINESTRING (34.7857291 32.0845097, 34.785679 32.0845205)",2,,,,,
33388446,5910333287,0,626024155,הרברט סמואל,residential,30,True,9.226,"LINESTRING (34.765002 32.0737273, 34.7650304 32.0736479)",1,,,,,
33956085,2481674145,0,44373524,קהילת ניו יורק,residential,30,False,5.33,"LINESTRING (34.7863624 32.0542105, 34.7863708 32.0541631)",,,,,,
34132762,412691495,0,5066027,דב הוז,residential,30,True,72.078,"LINESTRING (34.7723556 32.0805686, 34.7724004 32.0812157)",,,,,,
34132764,360201247,0,5066027,דב הוז,residential,30,True,70.241,"LINESTRING (34.7724882 32.0820311, 34.7725676 32.0826592)",,,,,,
34650802,7752750451,0,631603600,נחמני,residential,30,True,7.545,"LINESTRING (34.7769018 32.0653718, 34.7768254 32.0653921)",,,,,,
35288620,2072034659,0,64152853,יוחנן הורקנוס,residential,30,True,3.649,"LINESTRING (34.7834207 32.0940789, 34.7833824 32.0940838)",,,,,,
35288640,443886751,0,206628047,ארלוזורוב,tertiary,30,True,12.29,"LINESTRING (34.7892418 32.0837218, 34.7891173 32.0837548)",,,,,,
35288642,5842447590,0,400891928,בני משה,residential,30,False,4.496,"LINESTRING (34.790664 32.0922011, 34.7907117 32.0922025)",,,,,,
57046703,1724608565,0,102537254,שמרלינג,residential,30,True,2.94,"LINESTRING (34.7620401 32.0617485, 34.7620641 32.0617316)",,,,,,
267816148,3594348671,0,30146189,נצח ישראל,residential,30,False,11.193,"LINESTRING (34.7782734 32.0779707, 34.7783807 32.0779275)",,,,,,
267817909,2107742551,0,5066027,דב הוז,residential,30,True,74.198,"LINESTRING (34.7723422 32.0798096, 34.7723542 32.0804768)",,,,,,
267818057,412402880,0,24637569,סירקין,residential,30,True,183.507,"LINESTRING (34.7689092 32.0773845, 34.7700557 32.0787186)",,,,,,
267818812,2403217894,0,31254911,מאפו,residential,30,True,66.148,"LINESTRING (34.7709436 32.0806177, 34.7716451 32.0805933)",,,,,,
267819605,412406303,0,24637620,פרוג,residential,30,True,150.987,"LINESTRING (34.7731316 32.0819215, 34.7730259 32.0805666)",,,,,,
