y,x,osmid,highway,geometry
32.09388,34.7912317,139698,,POINT (34.7912317 32.09388)
32.0950516,34.778329,139708,,POINT (34.778329 32.0950516)
32.0945267,34.7788423,139709,,POINT (34.7788423 32.0945267)
32.0947565,34.7821808,139712,,POINT (34.7821808 32.0947565)
32.0946937,34.7816964,139713,,POINT (34.7816964 32.0946937)
32.0941696,34.782238,139714,,POINT (34.782238 32.0941696)
32.094101,34.7817802,139715,,POINT (34.7817802 32.094101)
32.0938737,34.7807752,139716,,POINT (34.7807752 32.0938737)
32.0931816,34.7805786,139717,,POINT (34.7805786 32.0931816)
32.0938446,34.7796079,139718,,POINT (34.7796079 32.0938446)
32.0927726,34.7814959,139719,,POINT (34.7814959 32.0927726)
32.0934944,34.7814102,139720,,POINT (34.7814102 32.0934944)
32.0939756,34.7923891,139723,,POINT (34.7923891 32.0939756)
32.0474646,34.7889422,1227191,,POINT (34.7889422 32.0474646)
32.0797923,34.7730522,1227332,,POINT (34.7730522 32.0797923)
32.0476136,34.7947684,1228349,,POINT (34.7947684 32.0476136)
32.0845097,34.7857291,1627531,traffic_signals,POINT (34.7857291 32.0845097)
32.0780598,34.7675742,1627574,,POINT (34.7675742 32.0780598)
32.0757074,34.7842973,1627584,traffic_signals,POINT (34.7842973 32.0757074)
32.0737273,34.765002,33388446,traffic_signals,POINT (34.765002 32.0737273)
32.0542105,34.7863624,33956085,traffic_signals,POINT (34.7863624 32.0542105)
32.0805686,34.7723556,34132762,,POINT (34.7723556 32.0805686)
32.0820311,34.7724882,34132764,,POINT (34.7724882 32.0820311)
32.0653718,34.7769018,34650802,traffic_signals,POINT (34.7769018 32.0653718)
32.0940789,34.7834207,35288620,traffic_signals,POINT (34.7834207 32.0940789)
32.0837218,34.7892418,35288640,traffic_signals,POINT (34.7892418 32.0837218)
32.0922011,34.790664,35288642,,POINT (34.790664 32.0922011)
32.0614245,34.7618013,57046702,,POINT (34.7618013 32.0614245)
32.0617485,34.7620401,57046703,,POINT (34.7620401 32.0617485)
32.0779707,34.7782734,267816148,,POINT (34.7782734 32.0779707)
32.0798096,34.7723422,267817909,traffic_signals,POINT (34.7723422 32.0798096)
32.0773845,34.7689092,267818057,,POINT (34.7689092 32.0773845)
