u,v,key,osmid,name,highway,oneway,length,geometry,maxspeed,lanes,ref,tunnel,bridge,junction,access,width,service
139693,518158039,0,213434785,יהודה המכבי,tertiary,False,14.15,"LINESTRING (34.7905735 32.0938459, 34.7904233 32.093847)",,,,,,,,,
139693,404498395,0,5118378,ויצמן,tertiary,True,124.64,"LINESTRING (34.7905735 32.0938459, 34.790573 32.0938582, 34.7905708 32.0939096, 34.7905687 32.0939565, 34.7905447 32.0945016, 34.7905206 32.0949659)",,,,,,,,,
139693,139698,0,167691710,יהודה המכבי,tertiary,True,62.119,"LINESTRING (34.7905735 32.0938459, 34.7906316 32.0938489, 34.7912317 32.09388)",,,,,,,,,
139698,139723,0,167691710,יהודה המכבי,tertiary,True,109.554,"LINESTRING (34.7912317 32.09388, 34.7917783 32.0939195, 34.7923891 32.0939756)",,,,,,,,,
139707,139708,0,26516058,ירמיהו,residential,False,37.273,"LINESTRING (34.7784921 32.095357, 34.778329 32.0950516)",,,,,,,,,
139707,336077731,0,30088416,אוסישקין,tertiary,False,400.225,"LINESTRING (34.7784921 32.095357, 34.7785558 32.0953349, 34.7786457 32.0953036, 34.7787878 32.0952541, 34.7793598 32.0950854, 34.779959 32.0950309, 34.7806494 32.0950768, 34.7808305 32.0950959, 34.7815989 32.0953304, 34.7818876 32.0953781, 34.7824208 32.0954426, 34.7826131 32.0954754)",,,,,,,,,
139708,139707,0,26516058,ירמיהו,residential,False,37.273,"LINESTRING (34.778329 32.0950516, 34.7784921 32.095357)",,,,,,,,,
139708,336081749,0,492978620,ישעיהו,residential,False,27.74,"LINESTRING (34.778329 32.0950516, 34.7785219 32.0948631)",30,,,,,,,,
139708,340368898,0,492978628,ירמיהו,residential,True,90.699,"LINESTRING (34.778329 32.0950516, 34.7773763 32.0949336)",,,,,,,,,
139709,6287116917,0,492978620,ישעיהו,residential,False,16.845,"LINESTRING (34.7788423 32.0945267, 34.7789655 32.0944169)",30,,,,,,,,
139709,336081749,0,492978620,ישעיהו,residential,False,48.064,"LINESTRING (34.7788423 32.0945267, 34.7785219 32.0948631)",30,,,,,,,,
139709,6287116913,0,8055792,שמעון התרסי,residential,True,18.575,"LINESTRING (34.7788423 32.0945267, 34.7789184 32.0945472, 34.7789754 32.0945515, 34.7790355 32.0945506)",,,,,,,,,
139712,139714,0,8055794,כיכר היל,residential,True,65.482,"LINESTRING (34.7821808 32.0947565, 34.782238 32.0941696)",30,,,,,,,,
139712,352941159,0,8055792,שמעון התרסי,residential,True,132.347,"LINESTRING (34.7821808 32.0947565, 34.7835062 32.09479, 34.7835542 32.0947369)",,,,,,,,,
139713,139712,0,8055792,שמעון התרסי,residential,True,46.278,"LINESTRING (34.7816964 32.0946937, 34.7819956 32.094718, 34.7821808 32.0947565)",,,,,,,,,
139714,139715,0,64152853,יוחנן הורקנוס,residential,True,43.795,"LINESTRING (34.782238 32.0941696, 34.7817802 32.094101)",30,,,,,,,,
139715,139713,0,30066022,כיכר היל,residential,True,66.376,"LINESTRING (34.7817802 32.094101, 34.7816964 32.0946937)",30,,,,,,,,
139715,790752840,0,64152853,יוחנן הורקנוס,residential,True,4.896,"LINESTRING (34.7817802 32.094101, 34.7817563 32.0940619)",30,,,,,,,,
139716,139718,0,64152853,יוחנן הורקנוס,residential,True,110.01,"LINESTRING (34.7807752 32.0938737, 34.7796079 32.0938446)",30,,,,,,,,
139717,139716,0,8175750,מודיעין,residential,True,79.155,"LINESTRING (34.7805786 32.0931816, 34.7807752 32.0938737)",30,,,,,,,,
139717,336079180,0,492978620,ישעיהו,residential,False,108.568,"LINESTRING (34.7805786 32.0931816, 34.7796789 32.0937918)",30,,,,,,,,
139717,139719,0,492978620,ישעיהו,residential,False,97.999,"LINESTRING (34.7805786 32.0931816, 34.7813562 32.0928059, 34.7814959 32.0927726)",30,,,,,,,,
139718,336079180,0,492978620,ישעיהו,residential,False,8.9,"LINESTRING (34.7796079 32.0938446, 34.7796789 32.0937918)",30,,,,,,,,
139718,6287116917,0,492978620,ישעיהו,residential,False,87.817,"LINESTRING (34.7796079 32.0938446, 34.7789655 32.0944169)",30,,,,,,,,
139719,289089572,0,64152851,יהושע בן נון,residential,True,92.39500000000001,"LINESTRING (34.7814959 32.0927726, 34.7813534 32.0920179, 34.781341 32.0919521)",30,,,,,,,,
139719,139717,0,492978620,ישעיהו,residential,False,97.999,"LINESTRING (34.7814959 32.0927726, 34.7813562 32.0928059, 34.7805786 32.0931816)",30,,,,,,,,
139723,496179967,0,167691710,יהודה המכבי,tertiary,True,57.948,"LINESTRING (34.7923891 32.0939756, 34.7929864 32.0941002)",,,,,,,,,
139723,342349454,0,8175755,ועידת קטוביץ',residential,True,195.341,"LINESTRING (34.7923891 32.0939756, 34.7925868 32.0927038, 34.7926599 32.0922339)",30,,,,,,,,
1226802,345342110,0,505829545,הירקון,secondary,True,84.18400000000001,"LINESTRING (34.7682535 32.0799693, 34.7683409 32.0802354, 34.768445 32.0806237, 34.7684584 32.0807056)",50,2,,,,,,,
1226802,531952045,0,543675172,פרישמן,tertiary,True,78.671,"LINESTRING (34.7682535 32.0799693, 34.767581 32.0799892, 34.767419 32.079994)",,,,,,,,,
1226807,1627587,0,505829545,הירקון,secondary,True,57.347,"LINESTRING (34.768569 32.08223, 34.7686108 32.082295, 34.7688497 32.0826876)",50,2,,,,,,,
1226818,2469848168,0,30152229,ארלוזורוב,tertiary,True,8.528,"LINESTRING (34.7732265 32.0873368, 34.7731388 32.0873558)",,,,,,,,,
1226818,412398654,0,239173015,בן יהודה,tertiary,True,60.784,"LINESTRING (34.7732265 32.0873368, 34.7733682 32.0878701)",,,,,,,,,
1226869,2989933650,0,22788885,,motorway_link,True,183.93599999999998,"LINESTRING (34.796604 32.0786427, 34.7970418 32.0790453, 34.7972942 32.0792951, 34.7974122 32.0794228, 34.7975298 32.0795533, 34.7976011 32.0796398, 34.7978242 32.0799296)",,2,,,,,,,
1226869,320115303,0,"[139822696, 24893729, 295286486]",איילון צפון,motorway,True,828.3489999999998,"LINESTRING (34.796604 32.0786427, 34.7968049 32.0788488, 34.7968954 32.0789488, 34.7969815 32.0790498, 34.797057 32.0791422, 34.7971507 32.0792592, 34.7972411 32.0793704, 34.7973299 32.0794908, 34.7974349 32.0796461, 34.7975139 32.0797706, 34.7976036 32.0799072, 34.7976722 32.0800234, 34.7977216 32.0801119, 34.7978211 32.0803093, 34.7978835 32.0804355, 34.7979797 32.0806375, 34.7980203 32.080748, 34.7980714 32.080879, 34.798133 32.0810575, 34.7982249 32.0813906, 34.7983751 32.0819117, 34.7985939 32.0828012, 34.7987122 32.0832323, 34.7987868 32.0835146, 34.7988812 32.0838389, 34.799025 32.0843112, 34.7991398 32.0846475, 34.7994842 32.0856003)",90,4,20,,,,,,
1226885,366925712,0,200564240,גבעת התחמושת,secondary,True,34.923,"LINESTRING (34.7922963 32.0731323, 34.7926239 32.0729854)",,,,,,,,,
1226885,2989957353,0,366078522,,motorway_link,True,55.186,"LINESTRING (34.7922963 32.0731323, 34.7923745 32.0730492, 34.7924465 32.0729424, 34.7925094 32.072843, 34.7925993 32.0727089)",,2,,,,,,,
1227191,591891153,0,184553825,"לח""י",primary,True,24.232,"LINESTRING (34.7889422 32.0474646, 34.7887193 32.047356)",,2,461,,,,,,
1227191,563970408,0,44374377,יורם,residential,False,103.245,"LINESTRING (34.7889422 32.0474646, 34.7886904 32.0475526, 34.7887502 32.0482484)",30,,,,,,,,
1227206,1704867822,0,158249770,כביש תל אביב ירושלים,motorway,True,32.569,"LINESTRING (34.7904787 32.0416824, 34.7903456 32.0419527)",90,3,1,,,,,,
1227320,2473987489,0,32003758,אבן גבירול,tertiary,True,16.945,"LINESTRING (34.781755 32.0735878, 34.7817733 32.0734362)",,,,,,,,,
1227320,3736070526,0,42464908,דיזנגוף,secondary_link,True,11.515,"LINESTRING (34.781755 32.0735878, 34.7818443 32.0735171)",,,,,,,,,
1227320,2473987491,0,239616130,,secondary_link,True,5.86,"LINESTRING (34.781755 32.0735878, 34.7818135 32.0736057)",,,,,,,,,
1227328,2138045009,0,152438487,מלכי ישראל,tertiary,True,12.136,"LINESTRING (34.781214 32.0794945, 34.7813428 32.0794956)",,,,,,,,,
1227328,332205774,0,213181755,אבן גבירול,secondary,True,107.533,"LINESTRING (34.781214 32.0794945, 34.7812119 32.0793291, 34.7812049 32.0788086, 34.7812012 32.0785275)",,,,,,,,,
1227332,412406223,0,24637620,פרוג,residential,True,82.708,"LINESTRING (34.7730522 32.0797923, 34.7731617 32.0790543)",30,,,,,,,,
1227332,267817909,0,229938810,פרישמן,tertiary,True,66.921,"LINESTRING (34.7730522 32.0797923, 34.7723422 32.0798096)",,,,,,,,,
1228098,1228100,0,203762918,השלום,secondary,True,86.913,"LINESTRING (34.796244 32.0718952, 34.7971101 32.0716263)",,,,,,,,,
1228098,442893206,0,37757545,הסוללים,residential,False,194.263,"LINESTRING (34.796244 32.0718952, 34.7959258 32.0710961, 34.795868 32.0709406, 34.7956164 32.0702313)",,,,,,,,,
1228100,1695279012,0,204091753,השלום,secondary,True,61.555,"LINESTRING (34.7971101 32.0716263, 34.7975776 32.0714791, 34.7977213 32.0714309)",,,,,,,,,
1228104,442898681,0,204091753,השלום,secondary,True,26.087,"LINESTRING (34.7995111 32.0708982, 34.7997696 32.0708142)",,,,,,,,,
1228104,442898687,0,37757978,,secondary_link,True,42.365,"LINESTRING (34.7995111 32.0708982, 34.7996346 32.0707855, 34.7996737 32.070729, 34.7996827 32.0706581, 34.7996832 32.0705677)",,,,,,,,,
1228116,1689353241,0,203975027,השלום,secondary,True,301.612,"LINESTRING (34.802451 32.069411, 34.8024646 32.069287, 34.8025117 32.0688593, 34.8025514 32.0684418, 34.8025864 32.0680025, 34.8025967 32.0678944, 34.8026261 32.067585, 34.8026681 32.0671438, 34.8026908 32.0667065)",50,,,,,,,,
1228134,2131481385,0,205651318,השלום,secondary,True,11.035,"LINESTRING (34.8050327 32.0612839, 34.8051087 32.0612084)",60,,,,,,,,
1228134,2111407136,0,371693548,הטייסים,secondary,True,18.341,"LINESTRING (34.8050327 32.0612839, 34.8048861 32.0611754)",,,,,,,,,
1228344,290034365,0,203027989,חיים ברלב,primary,True,19.591,"LINESTRING (34.79932 32.0469277, 34.799117 32.0469656)",,2,461,,,,,,
1228344,2481705198,0,240437112,,primary_link,True,30.526999999999997,"LINESTRING (34.79932 32.0469277, 34.7992451 32.0469776, 34.7992014 32.047019, 34.799176 32.0470689, 34.7991546 32.0471508)",,,,,,,,,
1228349,2481705226,0,5051320,"לח""י",primary,True,35.64,"LINESTRING (34.7947684 32.0476136, 34.7943903 32.0476184)",,2,461,,,,,,
1329372,530185828,0,204416916,לאונרדו דה וינצ'י,residential,False,12.142,"LINESTRING (34.7847519 32.0735123, 34.7847573 32.0734032)",,,,,,,,,
1329372,1707635640,0,20035206,אליעזר קפלן,secondary,True,100.21000000000001,"LINESTRING (34.7847519 32.0735123, 34.7846515 32.0735139, 34.7836884 32.073509)",,,,,,,,,
