y,x,osmid,geometry
47.8584872,106.7564709,1259637865,POINT (106.7564709 47.8584872)
47.858549,106.7611752,2166138734,POINT (106.7611752 47.858549)
47.8945514,106.9467355,2916981008,POINT (106.9467355 47.8945514)
47.8946038,106.9477572,2916981009,POINT (106.9477572 47.8946038)
47.8946158,106.9459001,2916981010,POINT (106.9459001 47.8946158)
47.894777,106.9485986,2916981011,POINT (106.9485986 47.894777)
47.8948334,106.9450587,2916981012,POINT (106.9450587 47.8948334)
47.895047,106.9493799,2916981013,POINT (106.9493799 47.895047)
47.8950736,106.9445273,2916981014,POINT (106.9445273 47.8950736)
47.8953899,106.950109,2916981016,POINT (106.950109 47.8953899)
47.895404,106.9439414,2916981017,POINT (106.9439414 47.895404)
47.8957525,106.9510826,2916981018,POINT (106.9510826 47.8957525)
47.8957646,106.9434516,2916981019,POINT (106.9434516 47.8957646)
47.8960104,106.9523327,2916981021,POINT (106.9523327 47.8960104)
47.8960265,106.9573634,2916981022,POINT (106.9573634 47.8960265)
47.8960393,106.9569746,2916981023,POINT (106.9569746 47.8960393)
47.8960906,106.9576545,2916981025,POINT (106.9576545 47.8960906)
47.896102,106.9565517,2916981026,POINT (106.9565517 47.896102)
47.8961433,106.9561331,2916981027,POINT (106.9561331 47.8961433)
47.8961444,106.9536076,2916981028,POINT (106.9536076 47.8961444)
47.8961605,106.9548697,2916981029,POINT (106.9548697 47.8961605)
47.8962119,106.9431204,2916981030,POINT (106.9431204 47.8962119)
47.8962314,106.95789,2916981031,POINT (106.95789 47.8962314)
47.8965619,106.9582506,2916981032,POINT (106.9582506 47.8965619)
47.8965947,106.9430122,2916981033,POINT (106.9430122 47.8965947)
47.896905,106.9429852,2916981035,POINT (106.9429852 47.896905)
47.8970253,106.9586172,2916981036,POINT (106.9586172 47.8970253)
47.8971279,106.9430181,2916981037,POINT (106.9430181 47.8971279)
47.8974442,106.9431264,2916981039,POINT (106.9431264 47.8974442)
47.8975209,106.9589237,2916981040,POINT (106.9589237 47.8975209)
47.8977533,106.9432752,2916981041,POINT (106.9432752 47.8977533)
47.8978956,106.9589658,2916981043,POINT (106.9589658 47.8978956)
47.8982065,106.9437697,2916981045,POINT (106.9437697 47.8982065)
47.8982744,106.9588816,2916981046,POINT (106.9588816 47.8982744)
47.8983851,106.9440456,2916981047,POINT (106.9440456 47.8983851)
47.8986563,106.958698,2916981048,POINT (106.958698 47.8986563)
47.8986556,106.9446006,2916981049,POINT (106.9446006 47.8986556)
47.8988265,106.9449168,2916981051,POINT (106.9449168 47.8988265)
47.8991093,106.9581498,2916981053,POINT (106.9581498 47.8991093)
47.8990861,106.9453073,2916981054,POINT (106.9453073 47.8990861)
47.8993686,106.9576569,2916981055,POINT (106.9576569 47.8993686)
47.8995143,106.9457477,2916981057,POINT (106.9457477 47.8995143)
47.8995765,106.9569344,2916981059,POINT (106.9569344 47.8995765)
47.8997461,106.9560298,2916981064,POINT (106.9560298 47.8997461)
47.8999475,106.9551884,2916981073,POINT (106.9551884 47.8999475)
47.9000965,106.9461152,2916981076,POINT (106.9461152 47.9000965)
47.9003303,106.9542087,2916981082,POINT (106.9542087 47.9003303)
47.9003954,106.9462678,2916981083,POINT (106.9462678 47.9003954)
47.9007444,106.953465,2916981101,POINT (106.953465 47.9007444)
47.9011965,106.9463524,2916981142,POINT (106.9463524 47.9011965)
47.9009539,106.9463407,2916981152,POINT (106.9463407 47.9009539)
47.9012394,106.9528127,2916981172,POINT (106.9528127 47.9012394)
47.9015143,106.9464155,2916981185,POINT (106.9464155 47.9015143)
47.9015072,106.9525025,2916981209,POINT (106.9525025 47.9015072)
47.901843,106.9465952,2916981229,POINT (106.9465952 47.901843)
47.9022673,106.9469445,2916981259,POINT (106.9469445 47.9022673)
47.9019631,106.9520562,2916981260,POINT (106.9520562 47.9019631)
47.9023591,106.9516015,2916981276,POINT (106.9516015 47.9023591)
47.9025412,106.9473238,2916981277,POINT (106.9473238 47.9025412)
47.902738,106.9511001,2916981286,POINT (106.9511001 47.902738)
47.902812,106.9478095,2916981287,POINT (106.9478095 47.902812)
47.9029289,106.9506666,2916981291,POINT (106.9506666 47.9029289)
47.9030628,106.9500929,2916981294,POINT (106.9500929 47.9030628)
47.9030658,106.9485158,2916981295,POINT (106.9485158 47.9030658)
47.9031269,106.949479,2916981299,POINT (106.949479 47.9031269)
47.9031202,106.949043,2916981300,POINT (106.949043 47.9031202)
47.8978846,106.9434076,2925739474,POINT (106.9434076 47.8978846)
47.9005938,106.946301,3086947898,POINT (106.946301 47.9005938)
47.9029774,106.9481982,3086947930,POINT (106.9481982 47.9029774)
47.8993154,106.9455783,3086969529,POINT (106.9455783 47.8993154)
47.9020637,106.946768,3086969756,POINT (106.946768 47.9020637)
47.8993627,106.9456214,3086969760,POINT (106.9456214 47.8993627)
47.8989656,106.945126,3086969762,POINT (106.945126 47.8989656)
47.8996164,106.9458259,3086969791,POINT (106.9458259 47.8996164)
47.8998605,106.9459845,3086969794,POINT (106.9459845 47.8998605)
47.8997798,106.9459321,3086969796,POINT (106.9459321 47.8997798)
47.9001667,106.9461511,3086969797,POINT (106.9461511 47.9001667)
47.8964904,106.9429702,3575634889,POINT (106.9429702 47.8964904)
47.8908401,106.9095147,480748138,POINT (106.9095147 47.8908401)
47.8885259,106.8640908,1772198742,POINT (106.8640908 47.8885259)
47.8894518,106.9002886,1772198776,POINT (106.9002886 47.8894518)
47.8897137,106.9002295,7622160534,POINT (106.9002295 47.8897137)
47.9159412,107.0440259,2371710266,POINT (107.0440259 47.9159412)
47.9148482,107.0434894,2371710502,POINT (107.0434894 47.9148482)
47.6874925,107.5153935,5025899149,POINT (107.5153935 47.6874925)
47.6900131,107.5108337,5025899153,POINT (107.5108337 47.6900131)
47.9183292,106.9316876,394532764,POINT (106.9316876 47.9183292)
47.914094,106.9304771,480748240,POINT (106.9304771 47.914094)
47.9035921,106.8757286,754491084,POINT (106.8757286 47.9035921)
47.9120493,106.8422194,937575788,POINT (106.8422194 47.9120493)
47.9118448,106.842242,937575916,POINT (106.842242 47.9118448)
47.9143381,106.9091835,947443904,POINT (106.9091835 47.9143381)
47.9025575,106.9110862,1241687174,POINT (106.9110862 47.9025575)
47.9026187,106.9131088,1252356921,POINT (106.9131088 47.9026187)
47.9170811,106.9005036,1264935122,POINT (106.9005036 47.9170811)
47.9168407,106.8507786,1268520420,POINT (106.8507786 47.9168407)
47.9141714,106.9311547,1477522550,POINT (106.9311547 47.9141714)
47.9147082,106.9336535,1710976188,POINT (106.9336535 47.9147082)
47.9148913,106.9339336,1710976197,POINT (106.9339336 47.9148913)
47.916112,106.9339041,1710976264,POINT (106.9339041 47.916112)
47.9113116,106.8794077,1731667209,POINT (106.8794077 47.9113116)
47.9173765,106.9316811,1776770702,POINT (106.9316811 47.9173765)
47.9152414,106.933589,1776774436,POINT (106.933589 47.9152414)
47.8899543,106.9321927,1827538524,POINT (106.9321927 47.8899543)
47.9267353,106.8945278,2084990251,POINT (106.8945278 47.9267353)
47.9281906,106.8940391,2084990372,POINT (106.8940391 47.9281906)
47.9354219,106.9267943,2086204972,POINT (106.9267943 47.9354219)
47.9031142,106.8871543,2088257461,POINT (106.8871543 47.9031142)
47.9230629,106.9452315,2371479706,POINT (106.9452315 47.9230629)
47.916951,106.8994811,2491832806,POINT (106.8994811 47.916951)
47.9174235,106.8999896,2491832876,POINT (106.8999896 47.9174235)
47.9179226,106.9009034,2491832952,POINT (106.9009034 47.9179226)
