u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,access,service,lanes,tunnel
2371710229,2371710250,0,228497066,сургуулийн гудамж,residential,30,False,34.382,"LINESTRING (107.0410755 47.9158621, 107.0410755 47.9155529)",,,,
2371710229,2371710338,0,228497066,сургуулийн гудамж,residential,30,False,26.495,"LINESTRING (107.0410755 47.9158621, 107.0411076 47.9160994)",,,,
2371710241,2371710259,0,228497066,сургуулийн гудамж,residential,30,False,32.026,"LINESTRING (107.0418694 47.9161281, 107.0414402 47.9161425)",,,,
2371710241,2371710322,0,228497066,сургуулийн гудамж,residential,30,False,23.772,"LINESTRING (107.0418694 47.9161281, 107.0421698 47.9160562)",,,,
2371710250,2371710400,0,228497066,сургуулийн гудамж,residential,30,False,28.453,"LINESTRING (107.0410755 47.9155529, 107.0410164 47.9153001)",,,,
2371710250,2371710229,0,228497066,сургуулийн гудамж,residential,30,False,34.382,"LINESTRING (107.0410755 47.9155529, 107.0410755 47.9158621)",,,,
2371710259,2371710338,0,228497066,сургуулийн гудамж,residential,30,False,25.246,"LINESTRING (107.0414402 47.9161425, 107.0411076 47.9160994)",,,,
2371710259,2371710241,0,228497066,сургуулийн гудамж,residential,30,False,32.026,"LINESTRING (107.0414402 47.9161425, 107.0418694 47.9161281)",,,,
2371710266,2371710432,0,228497066,сургуулийн гудамж,residential,30,False,90.482,"LINESTRING (107.0440259 47.9159412, 107.0428135 47.915898)",,,,
2371710267,2371710453,0,228497066,сургуулийн гудамж,residential,30,False,18.131,"LINESTRING (107.0417514 47.9148266, 107.0419338 47.9149345)",,,,
2371710267,2371710455,0,228497066,сургуулийн гудамж,residential,30,False,11.453,"LINESTRING (107.0417514 47.9148266, 107.0416119 47.9148698)",,,,
2371710292,2371710424,0,228497066,сургуулийн гудамж,residential,30,False,47.722,"LINESTRING (107.0420947 47.9149848, 107.0426419 47.9147619)",,,,
2371710292,2371710453,0,228497066,сургуулийн гудамж,residential,30,False,13.232,"LINESTRING (107.0420947 47.9149848, 107.0419338 47.9149345)",,,,
2371710315,2371710449,0,228497066,сургуулийн гудамж,residential,30,False,22.401,"LINESTRING (107.0411613 47.9149992, 107.0413329 47.9148338)",,,,
2371710315,2371710400,0,228497066,сургуулийн гудамж,residential,30,False,35.158,"LINESTRING (107.0411613 47.9149992, 107.0410164 47.9153001)",,,,
2371710322,2371710241,0,228497066,сургуулийн гудамж,residential,30,False,23.772,"LINESTRING (107.0421698 47.9160562, 107.0418694 47.9161281)",,,,
2371710322,2371710432,0,228497066,сургуулийн гудамж,residential,30,False,51.095,"LINESTRING (107.0421698 47.9160562, 107.0428135 47.915898)",,,,
2371710338,2371710229,0,228497066,сургуулийн гудамж,residential,30,False,26.495,"LINESTRING (107.0411076 47.9160994, 107.0410755 47.9158621)",,,,
2371710338,2371710259,0,228497066,сургуулийн гудамж,residential,30,False,25.246,"LINESTRING (107.0411076 47.9160994, 107.0414402 47.9161425)",,,,
2371710400,2371710315,0,228497066,сургуулийн гудамж,residential,30,False,35.158,"LINESTRING (107.0410164 47.9153001, 107.0411613 47.9149992)",,,,
2371710400,2371710250,0,228497066,сургуулийн гудамж,residential,30,False,28.453,"LINESTRING (107.0410164 47.9153001, 107.0410755 47.9155529)",,,,
2371710424,2371710474,0,228497066,сургуулийн гудамж,residential,30,False,21.6,"LINESTRING (107.0426419 47.9147619, 107.0428672 47.9148841)",,,,
2371710424,2371710292,0,228497066,сургуулийн гудамж,residential,30,False,47.722,"LINESTRING (107.0426419 47.9147619, 107.0420947 47.9149848)",,,,
2371710432,2371710322,0,228497066,сургуулийн гудамж,residential,30,False,51.095,"LINESTRING (107.0428135 47.915898, 107.0421698 47.9160562)",,,,
2371710432,2371710266,0,228497066,сургуулийн гудамж,residential,30,False,90.482,"LINESTRING (107.0428135 47.915898, 107.0440259 47.9159412)",,,,
2371710449,2371710463,0,228497066,сургуулийн гудамж,residential,30,False,10.022,"LINESTRING (107.0413329 47.9148338, 107.041451 47.9147907)",,,,
2371710449,2371710315,0,228497066,сургуулийн гудамж,residential,30,False,22.401,"LINESTRING (107.0413329 47.9148338, 107.0411613 47.9149992)",,,,
2371710453,2371710292,0,228497066,сургуулийн гудамж,residential,30,False,13.232,"LINESTRING (107.0419338 47.9149345, 107.0420947 47.9149848)",,,,
2371710453,2371710267,0,228497066,сургуулийн гудамж,residential,30,False,18.131,"LINESTRING (107.0419338 47.9149345, 107.0417514 47.9148266)",,,,
2371710455,2371710267,0,228497066,сургуулийн гудамж,residential,30,False,11.453,"LINESTRING (107.0416119 47.9148698, 107.0417514 47.9148266)",,,,
2371710455,2371710463,0,228497066,сургуулийн гудамж,residential,30,False,14.871,"LINESTRING (107.0416119 47.9148698, 107.041451 47.9147907)",,,,
2371710463,2371710455,0,228497066,сургуулийн гудамж,residential,30,False,14.871,"LINESTRING (107.041451 47.9147907, 107.0416119 47.9148698)",,,,
2371710463,2371710449,0,228497066,сургуулийн гудамж,residential,30,False,10.022,"LINESTRING (107.041451 47.9147907, 107.0413329 47.9148338)",,,,
2371710474,2371710502,0,228497066,сургуулийн гудамж,residential,30,False,46.542,"LINESTRING (107.0428672 47.9148841, 107.0434894 47.9148482)",,,,
2371710474,2371710424,0,228497066,сургуулийн гудамж,residential,30,False,21.6,"LINESTRING (107.0428672 47.9148841, 107.0426419 47.9147619)",,,,
2371710502,2371710474,0,228497066,сургуулийн гудамж,residential,30,False,46.542,"LINESTRING (107.0434894 47.9148482, 107.0428672 47.9148841)",,,,
5025899149,5025899150,0,514437745,Arjanchivlan - Erdene,unclassified,30,False,242.855,"LINESTRING (107.5153935 47.6874925, 107.5127864 47.6887925)",,,,
5025899150,5025899149,0,514437745,Arjanchivlan - Erdene,unclassified,30,False,242.855,"LINESTRING (107.5127864 47.6887925, 107.5153935 47.6874925)",,,,
5025899150,5025899151,0,514437745,Arjanchivlan - Erdene,unclassified,30,False,53.034,"LINESTRING (107.5127864 47.6887925, 107.5121856 47.6890453)",,,,
5025899151,5025899150,0,514437745,Arjanchivlan - Erdene,unclassified,30,False,53.034,"LINESTRING (107.5121856 47.6890453, 107.5127864 47.6887925)",,,,
5025899151,5025899152,0,514437745,Arjanchivlan - Erdene,unclassified,30,False,46.723,"LINESTRING (107.5121856 47.6890453, 107.5117564 47.6893504)",,,,
5025899152,5025899151,0,514437745,Arjanchivlan - Erdene,unclassified,30,False,46.723,"LINESTRING (107.5117564 47.6893504, 107.5121856 47.6890453)",,,,
5025899152,5025899153,0,514437745,Arjanchivlan - Erdene,unclassified,30,False,100.995,"LINESTRING (107.5117564 47.6893504, 107.5108337 47.6900131)",,,,
5025899153,5025899152,0,514437745,Arjanchivlan - Erdene,unclassified,30,False,100.995,"LINESTRING (107.5108337 47.6900131, 107.5117564 47.6893504)",,,,
394532764,1477522627,0,166194521,,residential,20,False,4.38,"LINESTRING (106.9316876 47.9183292, 106.9316696 47.9182917)",,,,
480748240,6852368580,0,166194521,,residential,20,False,63.806,"LINESTRING (106.9304771 47.914094, 106.9304036 47.9146657)",,,,
754491084,5424186715,0,562687722,,service,5,True,39.235,"LINESTRING (106.8757286 47.9035921, 106.8754318 47.9038835)",,,,
937575788,1254026856,0,80335069,,trunk_link,20,False,5.653,"LINESTRING (106.8422194 47.9120493, 106.842225 47.9119986)",,,,
937575916,1254026910,0,80335069,,trunk_link,20,False,5.118,"LINESTRING (106.842242 47.9118448, 106.8422369 47.9118907)",,,,
947443904,4296330936,0,412621105,,service,20,False,12.834,"LINESTRING (106.9091835 47.9143381, 106.9092074 47.9142238)",destination,,,
1241687174,5695726160,0,598440207,,service,20,False,6.081,"LINESTRING (106.9110862 47.9025575, 106.9111568 47.9025301)",,parking_aisle,,
