y,x,osmid,highway,geometry
47.9158621,107.0410755,2371710229,,POINT (107.0410755 47.9158621)
47.9161281,107.0418694,2371710241,,POINT (107.0418694 47.9161281)
47.9155529,107.0410755,2371710250,,POINT (107.0410755 47.9155529)
47.9161425,107.0414402,2371710259,,POINT (107.0414402 47.9161425)
47.9159412,107.0440259,2371710266,,POINT (107.0440259 47.9159412)
47.9148266,107.0417514,2371710267,,POINT (107.0417514 47.9148266)
47.9149848,107.0420947,2371710292,,POINT (107.0420947 47.9149848)
47.9149992,107.0411613,2371710315,,POINT (107.0411613 47.9149992)
47.9160562,107.0421698,2371710322,,POINT (107.0421698 47.9160562)
47.9160994,107.0411076,2371710338,,POINT (107.0411076 47.9160994)
47.9153001,107.0410164,2371710400,,POINT (107.0410164 47.9153001)
47.9147619,107.0426419,2371710424,,POINT (107.0426419 47.9147619)
47.915898,107.0428135,2371710432,,POINT (107.0428135 47.915898)
47.9148338,107.0413329,2371710449,,POINT (107.0413329 47.9148338)
47.9149345,107.0419338,2371710453,,POINT (107.0419338 47.9149345)
47.9148698,107.0416119,2371710455,,POINT (107.0416119 47.9148698)
47.9147907,107.041451,2371710463,,POINT (107.041451 47.9147907)
47.9148841,107.0428672,2371710474,,POINT (107.0428672 47.9148841)
47.9148482,107.0434894,2371710502,,POINT (107.0434894 47.9148482)
47.6874925,107.5153935,5025899149,,POINT (107.5153935 47.6874925)
47.6887925,107.5127864,5025899150,,POINT (107.5127864 47.6887925)
47.6890453,107.5121856,5025899151,,POINT (107.5121856 47.6890453)
47.6893504,107.5117564,5025899152,,POINT (107.5117564 47.6893504)
47.6900131,107.5108337,5025899153,,POINT (107.5108337 47.6900131)
47.9183292,106.9316876,394532764,,POINT (106.9316876 47.9183292)
47.914094,106.9304771,480748240,,POINT (106.9304771 47.914094)
47.9035921,106.8757286,754491084,,POINT (106.8757286 47.9035921)
47.9120493,106.8422194,937575788,,POINT (106.8422194 47.9120493)
47.9118448,106.842242,937575916,,POINT (106.842242 47.9118448)
47.9143381,106.9091835,947443904,,POINT (106.9091835 47.9143381)
47.9025575,106.9110862,1241687174,,POINT (106.9110862 47.9025575)
47.9026187,106.9131088,1252356921,,POINT (106.9131088 47.9026187)
47.9119442,106.842231,1254026711,,POINT (106.842231 47.9119442)
47.9119986,106.842225,1254026856,,POINT (106.842225 47.9119986)
47.9118907,106.8422369,1254026910,,POINT (106.8422369 47.9118907)
47.9170811,106.9005036,1264935122,,POINT (106.9005036 47.9170811)
47.9168407,106.8507786,1268520420,,POINT (106.8507786 47.9168407)
47.9141714,106.9311547,1477522550,,POINT (106.9311547 47.9141714)
47.9182917,106.9316696,1477522627,,POINT (106.9316696 47.9182917)
47.9147082,106.9336535,1710976188,,POINT (106.9336535 47.9147082)
47.9148913,106.9339336,1710976197,,POINT (106.9339336 47.9148913)
47.916112,106.9339041,1710976264,,POINT (106.9339041 47.916112)
47.9113116,106.8794077,1731667209,,POINT (106.8794077 47.9113116)
47.9158477,106.9307756,1776770699,,POINT (106.9307756 47.9158477)
47.9173765,106.9316811,1776770702,,POINT (106.9316811 47.9173765)
47.9152169,106.9303495,1776770704,,POINT (106.9303495 47.9152169)
47.915251,106.930747,1776770706,,POINT (106.930747 47.915251)
47.9166241,106.9304915,1776770708,,POINT (106.9304915 47.9166241)
47.9166658,106.930629,1776770732,,POINT (106.930629 47.9166658)
47.9176166,106.9318143,1776770735,,POINT (106.9318143 47.9176166)
47.9160115,106.9305701,1776770737,,POINT (106.9305701 47.9160115)
47.9173516,106.9310769,1776770739,,POINT (106.9310769 47.9173516)
47.9158942,106.9307422,1776770741,,POINT (106.9307422 47.9158942)
47.9173111,106.9305637,1776770744,,POINT (106.9305637 47.9173111)
47.9152414,106.933589,1776774436,,POINT (106.933589 47.9152414)
47.9152654,106.9338906,1776774437,,POINT (106.9338906 47.9152654)
47.9151315,106.9340341,1776774439,,POINT (106.9340341 47.9151315)
47.9159883,106.9318519,1776774441,,POINT (106.9318519 47.9159883)
47.917277,106.9315946,1776774446,,POINT (106.9315946 47.917277)
47.9153085,106.9329786,1776774447,,POINT (106.9329786 47.9153085)
47.9160186,106.9324529,1776774448,,POINT (106.9324529 47.9160186)
47.9155009,106.9324744,1776774449,,POINT (106.9324744 47.9155009)
47.9156447,106.9324636,1776774450,,POINT (106.9324636 47.9156447)
47.9152284,106.9330457,1776774451,,POINT (106.9330457 47.9152284)
47.9152522,106.9329925,1776774452,,POINT (106.9329925 47.9152522)
47.9167108,106.9317674,1776774453,,POINT (106.9317674 47.9167108)
47.916652,106.9317834,1776774454,,POINT (106.9317834 47.916652)
47.9173489,106.9316375,1776774455,,POINT (106.9316375 47.9173489)
47.9154667,106.9328928,1776774456,,POINT (106.9328928 47.9154667)
47.9154308,106.9329679,1776774457,,POINT (106.9329679 47.9154308)
47.9154506,106.9326675,1776774458,,POINT (106.9326675 47.9154506)
47.9152478,106.9340171,1776774459,,POINT (106.9340171 47.9152478)
47.8899543,106.9321927,1827538524,,POINT (106.9321927 47.8899543)
47.9267353,106.8945278,2084990251,,POINT (106.8945278 47.9267353)
47.9281906,106.8940391,2084990372,,POINT (106.8940391 47.9281906)
47.9354219,106.9267943,2086204972,,POINT (106.9267943 47.9354219)
47.9031142,106.8871543,2088257461,,POINT (106.8871543 47.9031142)
47.9230629,106.9452315,2371479706,,POINT (106.9452315 47.9230629)
47.9146984,106.9334279,2490559779,,POINT (106.9334279 47.9146984)
47.914683,106.9333325,2490559781,,POINT (106.9333325 47.914683)
47.9144421,106.9333111,2490559783,,POINT (106.9333111 47.9144421)
47.9144493,106.9329087,2490559784,,POINT (106.9329087 47.9144493)
47.9144529,106.9326888,2490559786,,POINT (106.9326888 47.9144529)
47.9144385,106.9324259,2490559799,,POINT (106.9324259 47.9144385)
47.9144637,106.9322543,2490559801,,POINT (106.9322543 47.9144637)
47.9144565,106.9318358,2490559803,,POINT (106.9318358 47.9144565)
47.916951,106.8994811,2491832806,,POINT (106.8994811 47.916951)
47.9170018,106.8997358,2491832813,,POINT (106.8997358 47.9170018)
47.9170233,106.8998109,2491832814,,POINT (106.8998109 47.9170233)
47.9170449,106.9000147,2491832815,,POINT (106.9000147 47.9170449)
47.9170689,106.9003186,2491832816,,POINT (106.9003186 47.9170689)
47.9174235,106.8999896,2491832876,,POINT (106.8999896 47.9174235)
47.9174546,106.9002614,2491832892,,POINT (106.9002614 47.9174546)
47.9174954,106.9003829,2491832896,,POINT (106.9003829 47.9174954)
47.9175433,106.9004616,2491832908,,POINT (106.9004616 47.9175433)
47.9177997,106.9007547,2491832949,,POINT (106.9007547 47.9177997)
47.9178764,106.9008298,2491832950,,POINT (106.9008298 47.9178764)
47.9179226,106.9009034,2491832952,,POINT (106.9009034 47.9179226)
47.9147016,106.9335223,2491840549,,POINT (106.9335223 47.9147016)
47.9259811,106.9132089,2498061699,,POINT (106.9132089 47.9259811)
47.9176052,106.9131521,2498128237,,POINT (106.9131521 47.9176052)
47.9176188,106.9129928,2498128238,,POINT (106.9129928 47.9176188)
47.9176221,106.9133469,2498128239,,POINT (106.9133469 47.9176221)
47.9176459,106.9129017,2498128240,,POINT (106.9129017 47.9176459)
47.9176882,106.9137034,2498128241,,POINT (106.9137034 47.9176882)
47.9177188,106.9128689,2498128242,,POINT (106.9128689 47.9177188)
47.9177697,106.9140626,2498128243,,POINT (106.9140626 47.9177697)
47.9177916,106.9128689,2498128244,,POINT (106.9128689 47.9177916)
47.9262108,106.9130428,2498989456,,POINT (106.9130428 47.9262108)
47.9263035,106.9129555,2498989458,,POINT (106.9129555 47.9263035)
47.9125851,106.8671944,2533551624,,POINT (106.8671944 47.9125851)
47.9266454,106.9127214,2863521964,,POINT (106.9127214 47.9266454)
47.9173362,106.9306642,2921518399,,POINT (106.9306642 47.9173362)
47.9171962,106.9315771,2921518611,,POINT (106.9315771 47.9171962)
47.9143792,106.9317059,2921518612,,POINT (106.9317059 47.9143792)
47.9143343,106.9311748,2921518613,,POINT (106.9311748 47.9143343)
47.9174849,106.9318184,3148657423,,POINT (106.9318184 47.9174849)
47.9106825,106.9382714,3148658769,,POINT (106.9382714 47.9106825)
47.9106391,106.9392925,3148658770,,POINT (106.9392925 47.9106391)
47.9281306,106.8940476,3148694485,,POINT (106.8940476 47.9281306)
47.9280676,106.8940771,3148694486,,POINT (106.8940771 47.9280676)
47.9279535,106.8941817,3148694487,,POINT (106.8941817 47.9279535)
47.9277774,106.8943587,3148694488,,POINT (106.8943587 47.9277774)
47.9273263,106.8945525,3148694490,,POINT (106.8945525 47.9273263)
47.9271439,106.8946377,3148694491,,POINT (106.8946377 47.9271439)
47.9269623,106.8946672,3148694492,,POINT (106.8946672 47.9269623)
47.9127813,106.8691463,3891486828,,POINT (106.8691463 47.9127813)
47.9166796,106.850832,3891884525,,POINT (106.850832 47.9166796)
47.9164314,106.8508541,3891884526,,POINT (106.8508541 47.9164314)
47.9159801,106.8509032,3891884527,,POINT (106.8509032 47.9159801)
47.9161578,106.8544994,3891885675,,POINT (106.8544994 47.9161578)
47.9161339,106.8543372,3891885676,,POINT (106.8543372 47.9161339)
47.9161124,106.8541494,3891885677,,POINT (106.8541494 47.9161124)
47.9160675,106.8535861,3891885678,,POINT (106.8535861 47.9160675)
47.9160944,106.8534681,3891885679,,POINT (106.8534681 47.9160944)
47.9161106,106.8534359,3891885680,,POINT (106.8534359 47.9161106)
47.9164683,106.853342,3891885681,,POINT (106.853342 47.9164683)
47.9113063,106.8812639,3894619141,,POINT (106.8812639 47.9113063)
47.9108359,106.881246,3894619142,,POINT (106.881246 47.9108359)
47.9113623,106.878183,3894622389,,POINT (106.878183 47.9113623)
47.9126613,106.877995,3894623534,,POINT (106.877995 47.9126613)
47.9121538,106.8779855,3894623535,,POINT (106.8779855 47.9121538)
47.9120433,106.8781713,3894623536,,POINT (106.8781713 47.9120433)
47.9126391,106.8800062,3894625358,,POINT (106.8800062 47.9126391)
47.9113018,106.8800453,3894625359,,POINT (106.8800453 47.9113018)
47.9123511,106.880014,3894625644,,POINT (106.880014 47.9123511)
47.9122636,106.8821061,3894625645,,POINT (106.8821061 47.9122636)
