u,v,key,osmid,ref,name,highway,maxspeed,oneway,length,geometry,lanes,tunnel,bridge,width,access,area,service
381088,1639054,0,4580109,B13a,Perfektastraße,primary,50,False,10.027,"LINESTRING (16.2982162 48.1372914, 16.2980849 48.1373127)",,,,,,,
381088,2786702553,0,274213319,,,cycleway,,False,12.201,"LINESTRING (16.2982162 48.1372914, 16.2983281 48.1373718)",,,,,,,
1639054,381088,0,4580109,B13a,Perfektastraße,primary,50,False,10.027,"LINESTRING (16.2980849 48.1373127, 16.2982162 48.1372914)",,,,,,,
1639054,1639208,0,"[290018400, 680683875, 400018819, 680683883, 680683898, 72146897, 680683889, 680683892, 680683861, 680683894, 680683866, 680683899, 680683870]",B12,Brunner Straße,primary,50,True,872.3950000000001,"LINESTRING (16.2980849 48.1373127, 16.2980512 48.137206, 16.2980376 48.1371629, 16.2980251 48.1370076, 16.29801 48.1362714, 16.2980086 48.1361298, 16.2979761 48.1349536, 16.2979751 48.1349173, 16.2979495 48.1339929, 16.297941 48.1336867, 16.2979378 48.1335709, 16.2979281 48.1333168, 16.2979267 48.1332808, 16.2979207 48.1331229, 16.2979202 48.132751, 16.2978955 48.1323716, 16.2978545 48.1317423, 16.2978175 48.1311749, 16.2978053 48.1309869, 16.2978032 48.1308729, 16.2978425 48.1304945, 16.2978503 48.1304315, 16.2978852 48.1300387, 16.2979016 48.1296407, 16.2979039 48.1295838, 16.2979032 48.1295111, 16.2979053 48.1294749)","['4', '2']",,,,,,
25280891,270328373,0,156216155,,,cycleway,,False,14.526,"LINESTRING (16.3296127 48.1833135, 16.3297128 48.1834258)",,,,,,,
30696098,30696100,0,"[29082536, 105025382]",,Rosa-Fischer-Gasse,unclassified,30,True,110.314,"LINESTRING (16.4170954 48.1850065, 16.4171474 48.1851374, 16.4171845 48.1852379, 16.4172276 48.1853316, 16.4173147 48.1854561, 16.417427 48.1855769, 16.417563 48.1857022, 16.417783 48.1858675)",,,,,,,
33912515,3706476337,0,14125854,,Richard-Tauber-Gasse,residential,,False,12.254,"LINESTRING (16.3563405 48.1342268, 16.3561803 48.1342535)",,,,,,,
33912515,33912515,0,"[366656512, 240601706]",,Richard-Tauber-Gasse,"['cycleway', 'residential']",,False,991.276,"LINESTRING (16.3563405 48.1342268, 16.3565781 48.1341763, 16.3576733 48.1339435, 16.3578632 48.1339033, 16.3607486 48.1332925, 16.3617933 48.1330714, 16.3624953 48.1329254, 16.3625827 48.1329136, 16.3626256 48.1329179, 16.3626563 48.1329254, 16.3626786 48.1329336, 16.3626934 48.1329406, 16.3627068 48.1329483, 16.3625069 48.1330131, 16.359362 48.1336682, 16.3566369 48.1342473, 16.3563405 48.1342268)",,,,,,,
33912515,33912515,1,"[366656512, 240601706]",,Richard-Tauber-Gasse,"['cycleway', 'residential']",,False,991.2760000000001,"LINESTRING (16.3563405 48.1342268, 16.3566369 48.1342473, 16.359362 48.1336682, 16.3625069 48.1330131, 16.3627068 48.1329483, 16.3626934 48.1329406, 16.3626786 48.1329336, 16.3626563 48.1329254, 16.3626256 48.1329179, 16.3625827 48.1329136, 16.3624953 48.1329254, 16.3617933 48.1330714, 16.3607486 48.1332925, 16.3578632 48.1339033, 16.3576733 48.1339435, 16.3565781 48.1341763, 16.3563405 48.1342268)",,,,,,,
33912515,3706463448,0,366657230,,,cycleway,,False,265.835,"LINESTRING (16.3563405 48.1342268, 16.3563894 48.1341164, 16.3562325 48.1337378, 16.3561708 48.1336134, 16.3555204 48.1319163)",,,,,,,
