y,x,osmid,highway,geometry
48.1372914,16.2982162,381088,,POINT (16.2982162 48.1372914)
48.1373127,16.2980849,1639054,,POINT (16.2980849 48.1373127)
48.1833135,16.3296127,25280891,traffic_signals,POINT (16.3296127 48.1833135)
48.1850065,16.4170954,30696098,,POINT (16.4170954 48.1850065)
48.1858675,16.417783,30696100,,POINT (16.417783 48.1858675)
48.1342268,16.3563405,33912515,traffic_signals,POINT (16.3563405 48.1342268)
48.2088944,16.3822333,50753893,traffic_signals,POINT (16.3822333 48.2088944)
48.2195216,16.3800223,59839002,crossing,POINT (16.3800223 48.2195216)
48.2227942,16.3813972,59843465,,POINT (16.3813972 48.2227942)
48.2056238,16.3941592,60216504,traffic_signals,POINT (16.3941592 48.2056238)
48.2497111,16.3657404,60738730,,POINT (16.3657404 48.2497111)
48.181646,16.3300426,61767711,traffic_signals,POINT (16.3300426 48.181646)
48.1835791,16.336817,61767717,traffic_signals,POINT (16.336817 48.1835791)
48.2063226,16.3917705,75574945,,POINT (16.3917705 48.2063226)
48.1368643,16.2771756,249847513,,POINT (16.2771756 48.1368643)
48.2084738,16.3834576,277119462,,POINT (16.3834576 48.2084738)
48.2088521,16.3823603,280216770,crossing,POINT (16.3823603 48.2088521)
48.1786289,16.3941147,306664777,traffic_signals,POINT (16.3941147 48.1786289)
48.1805057,16.3976184,306665251,,POINT (16.3976184 48.1805057)
48.18255,16.3976278,306665260,turning_circle,POINT (16.3976278 48.18255)
48.1360141,16.2798229,312280750,crossing,POINT (16.2798229 48.1360141)
48.2083315,16.3838932,319728986,crossing,POINT (16.3838932 48.2083315)
48.2246194,16.3488214,1382698553,crossing,POINT (16.3488214 48.2246194)
48.1885481,16.4181294,1950933825,crossing,POINT (16.4181294 48.1885481)
48.1844488,16.338743,1975838866,crossing,POINT (16.338743 48.1844488)
48.1855805,16.4152622,3127334592,crossing,POINT (16.4152622 48.1855805)
48.1342535,16.3561803,3706476337,,POINT (16.3561803 48.1342535)
48.1823564,16.3978554,5411547013,,POINT (16.3978554 48.1823564)
48.2489992,16.3684843,5665639122,traffic_signals,POINT (16.3684843 48.2489992)
48.2074043,16.3866153,6295026706,traffic_signals,POINT (16.3866153 48.2074043)
48.2118784,16.3558256,199751,traffic_signals,POINT (16.3558256 48.2118784)
48.2102275,16.3554663,199758,traffic_signals,POINT (16.3554663 48.2102275)
48.1880344,16.3134706,378036,,POINT (16.3134706 48.1880344)
48.1873541,16.2947024,378047,,POINT (16.2947024 48.1873541)
48.1894793,16.2948757,378048,,POINT (16.2948757 48.1894793)
48.2007966,16.3373092,378458,,POINT (16.3373092 48.2007966)
48.2103646,16.3091806,378571,,POINT (16.3091806 48.2103646)
48.154006,16.3200024,381415,,POINT (16.3200024 48.154006)
48.1824004,16.283733,393729,,POINT (16.283733 48.1824004)
48.1677669,16.2809528,394354,,POINT (16.2809528 48.1677669)
48.2253177,16.3480705,394751,,POINT (16.3480705 48.2253177)
48.2238422,16.3157593,394803,,POINT (16.3157593 48.2238422)
48.1511626,16.3172247,395235,,POINT (16.3172247 48.1511626)
48.1412234,16.2979695,621237,,POINT (16.2979695 48.1412234)
48.1294749,16.2979053,1639208,,POINT (16.2979053 48.1294749)
48.1294425,16.2980549,1639267,,POINT (16.2980549 48.1294425)
48.2018712,16.3083134,9697684,traffic_signals,POINT (16.3083134 48.2018712)
48.3016861,16.427834,9900518,,POINT (16.427834 48.3016861)
48.1519418,16.3206302,10300436,traffic_signals,POINT (16.3206302 48.1519418)
48.1520728,16.3213563,10300441,,POINT (16.3213563 48.1520728)
48.2086444,16.4268872,17314950,,POINT (16.4268872 48.2086444)
48.2129356,16.363544,25267632,,POINT (16.363544 48.2129356)
48.1742571,16.4164829,29646678,traffic_signals,POINT (16.4164829 48.1742571)
48.1941987,16.3619917,30677555,,POINT (16.3619917 48.1941987)
48.1815489,16.349932,30854182,,POINT (16.349932 48.1815489)
48.2042722,16.4759139,31900583,,POINT (16.4759139 48.2042722)
48.2099671,16.3550563,33183674,,POINT (16.3550563 48.2099671)
48.2185888,16.3120506,33242082,,POINT (16.3120506 48.2185888)
48.2056725,16.4310854,33469787,,POINT (16.4310854 48.2056725)
48.1862294,16.345481,46921743,,POINT (16.345481 48.1862294)
48.1906773,16.3627221,46959866,traffic_signals,POINT (16.3627221 48.1906773)
48.2013202,16.3758938,48753672,,POINT (16.3758938 48.2013202)
48.202134,16.3756435,48753680,,POINT (16.3756435 48.202134)
48.2166141,16.3857517,59838952,,POINT (16.3857517 48.2166141)
48.3017559,16.4267503,59843161,,POINT (16.4267503 48.3017559)
48.2179681,16.3808067,59985862,,POINT (16.3808067 48.2179681)
48.2942906,16.3923463,60141603,,POINT (16.3923463 48.2942906)
48.2115107,16.3657801,60432784,,POINT (16.3657801 48.2115107)
48.1787262,16.3377002,61767997,,POINT (16.3377002 48.1787262)
48.1551814,16.3304761,61850481,,POINT (16.3304761 48.1551814)
48.2430379,16.4687466,62613485,,POINT (16.4687466 48.2430379)
48.2060526,16.3976493,69896530,,POINT (16.3976493 48.2060526)
48.2087125,16.4887155,75232803,,POINT (16.4887155 48.2087125)
48.2453017,16.3735861,75435379,,POINT (16.3735861 48.2453017)
48.1489861,16.3099714,81777529,,POINT (16.3099714 48.1489861)
48.2950073,16.3925629,83472540,,POINT (16.3925629 48.2950073)
48.1478974,16.3531876,84485667,,POINT (16.3531876 48.1478974)
48.2436203,16.3736466,87866540,,POINT (16.3736466 48.2436203)
48.1542,16.3820648,88199919,,POINT (16.3820648 48.1542)
48.2494326,16.4402056,92470853,,POINT (16.4402056 48.2494326)
48.2881258,16.4048668,92483442,,POINT (16.4048668 48.2881258)
48.2360279,16.4622684,93412886,traffic_signals,POINT (16.4622684 48.2360279)
48.1560406,16.3820962,93424870,traffic_signals,POINT (16.3820962 48.1560406)
48.2506706,16.4280913,93667953,crossing,POINT (16.4280913 48.2506706)
48.2210776,16.3137515,105782235,,POINT (16.3137515 48.2210776)
48.173003,16.4176975,108215556,traffic_signals,POINT (16.4176975 48.173003)
48.1659629,16.2805749,110113526,,POINT (16.2805749 48.1659629)
48.2126823,16.5297141,112360548,traffic_signals,POINT (16.5297141 48.2126823)
48.1884599,16.4050269,115495847,,POINT (16.4050269 48.1884599)
48.2108646,16.3442281,116196331,,POINT (16.3442281 48.2108646)
48.2075041,16.3846547,123618209,,POINT (16.3846547 48.2075041)
48.2472767,16.4278807,126441440,,POINT (16.4278807 48.2472767)
48.2081266,16.5408362,127773769,,POINT (16.5408362 48.2081266)
48.1462951,16.3825158,194647493,,POINT (16.3825158 48.1462951)
48.147169,16.3515976,223654064,crossing,POINT (16.3515976 48.147169)
48.1477991,16.3536209,223666446,crossing,POINT (16.3536209 48.1477991)
48.2864334,16.4061232,224369670,,POINT (16.4061232 48.2864334)
48.169947,16.4099851,233352393,,POINT (16.4099851 48.169947)
48.2118987,16.3556692,242132118,traffic_signals,POINT (16.3556692 48.2118987)
48.1442299,16.3657477,252617160,,POINT (16.3657477 48.1442299)
48.185575,16.3441508,253297897,crossing,POINT (16.3441508 48.185575)
48.2235457,16.3155682,256759864,,POINT (16.3155682 48.2235457)
48.1879039,16.3134003,270328404,crossing,POINT (16.3134003 48.1879039)
48.1767936,16.3149012,274238698,,POINT (16.3149012 48.1767936)
48.1879204,16.3637686,285825884,,POINT (16.3637686 48.1879204)
48.2238639,16.3691766,290751060,,POINT (16.3691766 48.2238639)
48.1875307,16.3629749,291219653,,POINT (16.3629749 48.1875307)
48.1892926,16.3607546,291221319,,POINT (16.3607546 48.1892926)
48.1693332,16.3476244,292395521,,POINT (16.3476244 48.1693332)
48.1693329,16.3471163,292395523,crossing,POINT (16.3471163 48.1693329)
48.2261053,16.3702841,293033440,,POINT (16.3702841 48.2261053)
48.2202237,16.3789921,293268951,traffic_signals,POINT (16.3789921 48.2202237)
48.1815678,16.3501271,294372705,,POINT (16.3501271 48.1815678)
48.2202704,16.379093,295390471,,POINT (16.379093 48.2202704)
48.1464094,16.3825113,295791754,,POINT (16.3825113 48.1464094)
48.1545096,16.3299299,297364756,,POINT (16.3299299 48.1545096)
48.1455698,16.3664912,301781800,,POINT (16.3664912 48.1455698)
48.2099276,16.355265,303162812,,POINT (16.355265 48.2099276)
48.1690862,16.409303,307392517,,POINT (16.409303 48.1690862)
48.213291,16.4909394,310403487,,POINT (16.4909394 48.213291)
48.2106039,16.3440363,314318424,traffic_signals,POINT (16.3440363 48.2106039)
48.2009076,16.338058,316634842,,POINT (16.338058 48.2009076)
48.1452534,16.3663156,321922015,,POINT (16.3663156 48.1452534)
48.1872283,16.4070119,345610474,,POINT (16.4070119 48.1872283)
48.1873675,16.4069517,345610491,,POINT (16.4069517 48.1873675)
48.2008887,16.3379227,401281734,,POINT (16.3379227 48.2008887)
48.2102459,16.3553365,477228293,traffic_signals,POINT (16.3553365 48.2102459)
48.2033571,16.4342797,509284770,traffic_signals,POINT (16.4342797 48.2033571)
48.2059731,16.396569,546942269,crossing,POINT (16.396569 48.2059731)
48.1381705,16.2982192,1073597275,,POINT (16.2982192 48.1381705)
48.2424502,16.3742359,1200972689,,POINT (16.3742359 48.2424502)
48.2425269,16.3751996,1200972716,,POINT (16.3751996 48.2425269)
48.1817632,16.3502717,1342994649,,POINT (16.3502717 48.1817632)
48.2084561,16.3551184,1422228225,,POINT (16.3551184 48.2084561)
48.223911,16.3693863,1426318083,,POINT (16.3693863 48.223911)
48.1787741,16.3378625,1523533156,crossing,POINT (16.3378625 48.1787741)
48.2502191,16.4404223,1596670877,traffic_signals,POINT (16.4404223 48.2502191)
48.2501912,16.440418,1596670924,traffic_signals,POINT (16.440418 48.2501912)
48.1521861,16.3822227,1683149715,,POINT (16.3822227 48.1521861)
48.2053996,16.4314617,1749000878,crossing,POINT (16.4314617 48.2053996)
48.2077774,16.309173,1783310491,,POINT (16.309173 48.2077774)
48.1941694,16.3620462,1935894498,,POINT (16.3620462 48.1941694)
48.1478295,16.3531969,2002392535,crossing,POINT (16.3531969 48.1478295)
48.1491757,16.3100556,2103417852,crossing,POINT (16.3100556 48.1491757)
48.2256268,16.3698684,2114359818,,POINT (16.3698684 48.2256268)
48.2057049,16.4761987,2277143340,,POINT (16.4761987 48.2057049)
48.2333786,16.5044204,2441345860,,POINT (16.5044204 48.2333786)
48.2236301,16.3156229,2888610555,traffic_signals,POINT (16.3156229 48.2236301)
48.1406105,16.2980639,2957298352,,POINT (16.2980639 48.1406105)
48.207629,16.3847489,3227263748,,POINT (16.3847489 48.207629)
48.1859706,16.4055303,3324076216,crossing,POINT (16.4055303 48.1859706)
48.2059477,16.3976902,3587858495,,POINT (16.3976902 48.2059477)
48.2058584,16.3965996,3587858496,crossing,POINT (16.3965996 48.2058584)
48.2058463,16.3963657,3587858500,,POINT (16.3963657 48.2058463)
48.2327189,16.4996615,3836952216,,POINT (16.4996615 48.2327189)
48.202644,16.3614219,4123417193,traffic_signals,POINT (16.3614219 48.202644)
48.202552,16.3613187,4123418091,traffic_signals,POINT (16.3613187 48.202552)
48.2063875,16.4300634,4245904641,,POINT (16.4300634 48.2063875)
48.2333008,16.50419,4642654346,,POINT (16.50419 48.2333008)
48.2086619,16.3601365,199732,traffic_signals,POINT (16.3601365 48.2086619)
48.1983967,16.3390104,378459,,POINT (16.3390104 48.1983967)
48.2093899,16.3385974,378471,,POINT (16.3385974 48.2093899)
48.2084421,16.3048253,378476,traffic_signals,POINT (16.3048253 48.2084421)
48.2347928,16.3628426,378809,,POINT (16.3628426 48.2347928)
48.2346209,16.3624172,378837,,POINT (16.3624172 48.2346209)
48.2353741,16.3589731,378841,,POINT (16.3589731 48.2353741)
48.2338661,16.3764681,378958,,POINT (16.3764681 48.2338661)
48.1704929,16.2963863,381160,traffic_signals,POINT (16.2963863 48.1704929)
48.1624136,16.3086195,381178,,POINT (16.3086195 48.1624136)
48.1712733,16.3044948,381189,,POINT (16.3044948 48.1712733)
48.1939824,16.2645841,381239,crossing,POINT (16.2645841 48.1939824)
48.1954634,16.2620514,381250,,POINT (16.2620514 48.1954634)
48.1901317,16.3201312,392327,crossing,POINT (16.3201312 48.1901317)
48.2240851,16.3228752,392482,traffic_signals,POINT (16.3228752 48.2240851)
48.1430169,16.3167539,392492,,POINT (16.3167539 48.1430169)
48.1893389,16.3377163,392671,,POINT (16.3377163 48.1893389)
48.2153001,16.3724895,392742,,POINT (16.3724895 48.2153001)
48.207528,16.3087986,393143,,POINT (16.3087986 48.207528)
48.1924015,16.3163207,393205,traffic_signals,POINT (16.3163207 48.1924015)
48.2144799,16.3068627,393530,traffic_signals,POINT (16.3068627 48.2144799)
48.192858,16.2740947,393667,,POINT (16.2740947 48.192858)
48.143007,16.3171058,394383,,POINT (16.3171058 48.143007)
48.2370753,16.3387871,394867,,POINT (16.3387871 48.2370753)
48.1904707,16.3761485,394992,,POINT (16.3761485 48.1904707)
48.1846466,16.3337179,395127,crossing,POINT (16.3337179 48.1846466)
48.1480092,16.3173098,395662,,POINT (16.3173098 48.1480092)
48.2062947,16.3074614,400879,,POINT (16.3074614 48.2062947)
48.2019682,16.2420701,401898,,POINT (16.2420701 48.2019682)
48.1667577,16.2723794,401927,,POINT (16.2723794 48.1667577)
48.2043239,16.235872,401950,,POINT (16.235872 48.2043239)
48.1464391,16.3435978,402563,,POINT (16.3435978 48.1464391)
48.1981758,16.259076,648056,,POINT (16.259076 48.1981758)
48.1992209,16.2578913,648085,,POINT (16.2578913 48.1992209)
48.2349064,16.3549986,655055,,POINT (16.3549986 48.2349064)
48.2096336,16.3392716,670011,,POINT (16.3392716 48.2096336)
48.1959663,16.2607951,670392,,POINT (16.2607951 48.1959663)
48.1955105,16.2610578,670394,,POINT (16.2610578 48.1955105)
48.2065447,16.2320361,670419,,POINT (16.2320361 48.2065447)
48.2093235,16.2172094,670432,,POINT (16.2172094 48.2093235)
48.2014349,16.2497357,670462,,POINT (16.2497357 48.2014349)
48.2016376,16.2491588,670463,,POINT (16.2491588 48.2016376)
48.2096269,16.2300801,671958,,POINT (16.2300801 48.2096269)
48.2515799,16.4410196,683982,,POINT (16.4410196 48.2515799)
48.2466824,16.4045281,684004,,POINT (16.4045281 48.2466824)
48.2136562,16.3828704,685051,traffic_signals,POINT (16.3828704 48.2136562)
48.1972694,16.3590637,685136,traffic_signals,POINT (16.3590637 48.1972694)
48.1835227,16.3316713,685264,,POINT (16.3316713 48.1835227)
48.1886763,16.3485337,685278,traffic_signals,POINT (16.3485337 48.1886763)
48.1937493,16.3063898,1986049,,POINT (16.3063898 48.1937493)
48.206277,16.2892095,4076115,traffic_signals,POINT (16.2892095 48.206277)
48.1981533,16.2966612,4546539,crossing,POINT (16.2966612 48.1981533)
48.198389,16.298135,4546546,,POINT (16.298135 48.198389)
48.1950124,16.2996793,5655766,,POINT (16.2996793 48.1950124)
48.1959403,16.3003792,5697092,,POINT (16.3003792 48.1959403)
48.1911373,16.2904325,5697110,,POINT (16.2904325 48.1911373)
48.1991557,16.302491,5866359,,POINT (16.302491 48.1991557)
48.2071169,16.2944385,5866472,,POINT (16.2944385 48.2071169)
48.2404567,16.4050221,7756334,,POINT (16.4050221 48.2404567)
48.2077411,16.2940611,9599821,,POINT (16.2940611 48.2077411)
48.2119895,16.2893757,9678471,,POINT (16.2893757 48.2119895)
48.2117321,16.2896717,9678483,,POINT (16.2896717 48.2117321)
48.1999372,16.3111362,9697695,,POINT (16.3111362 48.1999372)
48.200089,16.311355,9697696,,POINT (16.311355 48.200089)
48.2039768,16.3080691,9697704,,POINT (16.3080691 48.2039768)
48.2064819,16.3058861,9697739,,POINT (16.3058861 48.2064819)
48.2571455,16.397224,9900510,,POINT (16.397224 48.2571455)
48.1463113,16.2960663,15593701,,POINT (16.2960663 48.1463113)
48.173521,16.2865036,15593734,,POINT (16.2865036 48.173521)
