u,v,key,osmid,highway,oneway,length,geometry,name,bridge,lanes,width,maxspeed,tunnel,area,access
255338703,599389290,0,59278388,cycleway,False,28.385,"LINESTRING (-74.0348771 4.6940359, -74.03479470000001 4.6942776)",,,,,,,,
260480553,983024917,0,84617874,footway,False,111.68,"LINESTRING (-74.1095411 4.5977861, -74.1094389 4.5977375, -74.1091978 4.5976228, -74.1088456 4.5974553, -74.1086317 4.5973536)",Diagonal 17 Sur,,,,,,,
261040816,883196069,0,"[74757593, 74757598]",footway,False,121.982,"LINESTRING (-74.14058900000001 4.6310658, -74.14058540000001 4.6311727, -74.14058249999999 4.6312568, -74.14038480000001 4.6312383, -74.140389 4.6312034, -74.1407495 4.6312405, -74.1407811 4.6309305)",,yes,,,,,,
261187773,493076941,0,"[713450032, 90708793, 58403715]",cycleway,False,734.288,"LINESTRING (-74.076953 4.6854955, -74.0769203 4.6854546, -74.0767657 4.6852612, -74.0766745 4.6851436, -74.0765404 4.6849992, -74.0763875 4.6849618, -74.076063 4.6849083, -74.0749868 4.6848421, -74.0745914 4.6848347, -74.07270579999999 4.6842383, -74.0720298 4.6840233, -74.0717636 4.6839268, -74.0713322 4.6837705, -74.07085859999999 4.6834225)",Calle 90,,,,,,,
261785571,326228357,0,184365415,cycleway,False,258.86699999999996,"LINESTRING (-74.0894534 4.6966692, -74.08943170000001 4.6967077, -74.0894132 4.6967404, -74.0892523 4.6970256, -74.0889093 4.6976348, -74.0887786 4.6978654, -74.0886854 4.6980305, -74.0883086 4.6986985)",,,,,,,,
262713832,668104341,0,239949227,path,False,101.107,"LINESTRING (-74.0856823 4.6378904, -74.0851571 4.6377336, -74.0848084 4.6376295)",,,,,,,,
262713854,5627340315,0,589306156,footway,False,45.375,"LINESTRING (-74.0831878 4.6349188, -74.0828286 4.6351146)",,,,,,,,
262713854,5627340316,0,589306156,footway,False,13.98,"LINESTRING (-74.0831878 4.6349188, -74.08329190000001 4.6348478)",,,,,,,,
262713854,5169559050,0,"[24265802, 589306150, 746412959]",footway,False,312.86299999999994,"LINESTRING (-74.0831878 4.6349188, -74.0833616 4.6343581, -74.0833828 4.6342897, -74.0834057 4.6342158, -74.0835458 4.6337639, -74.08368590000001 4.6333118, -74.0837312 4.6331659, -74.0837764 4.63302, -74.0838509 4.6327795, -74.08391659999999 4.6325677, -74.0839447 4.6324769, -74.0839924 4.6323816, -74.0840601 4.6322461)",,,,,,,,
262713857,668104341,0,239949227,path,False,15.363,"LINESTRING (-74.0846756 4.6375899, -74.0848084 4.6376295)",,,,,,,,
262713857,2477227981,0,797782341,path,False,21.631,"LINESTRING (-74.0846756 4.6375899, -74.08485349999999 4.6375099)",,,,,,,,
262713857,2019201028,0,797782341,path,False,18.956,"LINESTRING (-74.0846756 4.6375899, -74.08452219999999 4.6376653)",,,,,,,,
262713866,2348766383,0,90654619,path,False,4.519,"LINESTRING (-74.08157009999999 4.635299, -74.0815559 4.6352609)",,,,,,,,
262713866,2351676386,0,90654619,path,False,117.96300000000001,"LINESTRING (-74.08157009999999 4.635299, -74.0816162 4.6354261, -74.0817619 4.6357506, -74.08188440000001 4.6360234, -74.0820003 4.6362689)",,,,,,,,
262713866,2351676364,0,239949230,footway,False,99.522,"LINESTRING (-74.08157009999999 4.635299, -74.0819843 4.6354117, -74.0820587 4.6354119, -74.0822562 4.6354125, -74.08245290000001 4.635413)",,,,,,,,
262713866,1052099458,0,239949230,footway,False,140.97199999999998,"LINESTRING (-74.08157009999999 4.635299, -74.0811046 4.6351575, -74.0810266 4.6351338, -74.0803535 4.6349291)",,,,,,,,
265009204,2348766566,0,33890844,path,False,52.698,"LINESTRING (-74.0826715 4.635817, -74.08266570000001 4.6358571, -74.0826577 4.6359067, -74.08269300000001 4.6360341, -74.082769 4.6362734)",,,,,,,,
265804413,764894195,0,"[88861384, 88861389, 88861390]",tertiary,True,502.70400000000006,"LINESTRING (-74.0669315 4.6055712, -74.06723 4.6057894, -74.0673769 4.6058929, -74.0678338 4.6062147, -74.06916320000001 4.6070939, -74.06995860000001 4.6075976, -74.0703541 4.6078393, -74.07066349999999 4.6080141, -74.0707233 4.6080479)",Calle 22,,2,,,,,
267194952,3992274791,0,"[347401629, 58407686]",cycleway,False,613.427,"LINESTRING (-74.03837300000001 4.6802222, -74.0384055 4.680307, -74.0387052 4.680436, -74.0388904 4.6805257, -74.0394616 4.6808281, -74.0398916 4.681064, -74.04031449999999 4.6812967, -74.0413686 4.6818635, -74.0413897 4.6818748, -74.0424656 4.6824489, -74.043083 4.6827871, -74.0431852 4.6828394, -74.0432115 4.6828528)",,,,,,,,
308859171,874025117,0,49903175,cycleway,False,259.28700000000003,"LINESTRING (-74.1559855 4.6578528, -74.15609980000001 4.6577401, -74.1556786 4.6573134, -74.15457189999999 4.656192)",Alameda el Porvenir,,,,,,,
310815657,865188643,0,72895627,path,False,57.404,"LINESTRING (-74.04717719999999 4.7213409, -74.04665919999999 4.7213401)",,,,,,,,
312489824,267288355,0,90735987,primary,True,1359.6190000000001,"LINESTRING (-74.09951719999999 4.6811721, -74.0995534 4.6811282, -74.09958899999999 4.6810849, -74.09999190000001 4.6806181, -74.1001512 4.680422, -74.10031669999999 4.6802179, -74.10042540000001 4.6800682, -74.1005342 4.6799104, -74.10083469999999 4.6794568, -74.1009258 4.6793283, -74.1012949 4.6788591, -74.1017485 4.678246, -74.1019728 4.6779205, -74.1023144 4.677428, -74.1027004 4.6768807, -74.1028537 4.6766679, -74.1032577 4.6761057, -74.1034679 4.6758301, -74.1035621 4.6756992, -74.1036374 4.675581, -74.1037149 4.675447, -74.1038047 4.6752829, -74.1038544 4.6751687, -74.1039433 4.674957, -74.1039703 4.6748825, -74.1040122 4.6747775, -74.1041099 4.6745236, -74.1041323 4.674466, -74.1041848 4.6743681, -74.1042446 4.6742719, -74.1043801 4.6740761, -74.10445470000001 4.6739925, -74.104687 4.6737322, -74.10494749999999 4.6734486, -74.1054517 4.6729042, -74.1057283 4.6726295, -74.106844 4.6715094, -74.1068786 4.6714748)",Avenida Carrera 72,,2,,,,,
326221535,1905553292,0,606442337,cycleway,False,499.0490000000001,"LINESTRING (-74.0902703 4.6963151, -74.0903146 4.6963361, -74.0907017 4.6965196, -74.0909401 4.6966325, -74.0912467 4.6967932, -74.0915238 4.6969412, -74.0917956 4.6970822, -74.0921365 4.6972653, -74.0923684 4.6973929, -74.092496 4.6974604, -74.0926207 4.6975357, -74.0927471 4.6976308, -74.0928863 4.6977494, -74.09301189999999 4.6978136, -74.0930721 4.6978412, -74.0931291 4.6978443, -74.09314500000001 4.6978474, -74.0932 4.6978581, -74.0932785 4.6978811, -74.09342340000001 4.697941, -74.0937931 4.6981406, -74.0939631 4.698231, -74.0939795 4.6982542, -74.093981 4.6982788, -74.0939625 4.6983233, -74.0939302 4.6983955, -74.09392250000001 4.6984384, -74.093924 4.6984834, -74.09394380000001 4.6985314)",,,,,,,,
326228306,326228357,0,"[91151837, 648017861]",cycleway,False,1659.7539999999997,"LINESTRING (-74.0933773 4.7108251, -74.09292000000001 4.7104124, -74.09253820000001 4.7100735, -74.0923574 4.7099606, -74.09216549999999 4.7098996, -74.0920071 4.7098507, -74.0918568 4.7097329, -74.0916836 4.7096605, -74.0913753 4.709557, -74.0912343 4.7094241, -74.09112399999999 4.7092674, -74.0910276 4.7090013, -74.0909205 4.7087722, -74.0907921 4.7085838, -74.0906373 4.7084359, -74.0902585 4.708128, -74.0900942 4.7079469, -74.0899795 4.7077405, -74.0898371 4.7070547, -74.0897657 4.7067844, -74.08966789999999 4.7066479, -74.0896065 4.7066001, -74.0895045 4.7065523, -74.0892805 4.7065065, -74.0891337 4.7064607, -74.0886074 4.7061424, -74.0883 4.705934, -74.08820350000001 4.7058403, -74.0881648 4.7058028, -74.08807349999999 4.7055826, -74.0880708 4.7051799, -74.088099 4.7046351, -74.0881146 4.7045402, -74.0881466 4.7043533, -74.0882107 4.7041565, -74.0883705 4.7038927, -74.0884535 4.7036165, -74.0885127 4.7030528, -74.08850200000001 4.7026667, -74.088448 4.7020464, -74.0884396 4.7018926, -74.0884167 4.7014726, -74.08845839999999 4.701254, -74.088489 4.7010938, -74.0885213 4.7006549, -74.0884538 4.7002614, -74.0882864 4.6992853, -74.0883025 4.6990261, -74.08839930000001 4.6988472, -74.0884073 4.698797, -74.0883791 4.6987367, -74.0883086 4.6986985)",Avenida Del Congreso Eucaristico,,,,,,,
326228357,5728428237,0,91151837,cycleway,False,385.0000000000001,"LINESTRING (-74.0883086 4.6986985, -74.0881735 4.6986222, -74.0880404 4.698576, -74.0878005 4.698586, -74.0876212 4.6985406, -74.08721180000001 4.6982094, -74.0866418 4.6976645, -74.0862779 4.697302, -74.0861495 4.6971626, -74.0860572 4.6970258, -74.08594239999999 4.6967972, -74.0858856 4.6966745, -74.0858344 4.6965651, -74.0858121 4.6965176)",,,,,,,,
