u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,bridge
260697818,263777145,0,89574425,True,2,Calle 32,secondary,460.113,"LINESTRING (-74.0703037 4.6204403, -74.0703561 4.6204731, -74.07037510000001 4.620485, -74.07038180000001 4.6204892, -74.0704648 4.620537, -74.0706507 4.6206344, -74.0708941 4.6207615, -74.07103859999999 4.6208186, -74.0711501 4.6208599, -74.0714239 4.6209279, -74.0717097 4.6209601, -74.0719149 4.6209538, -74.07212869999999 4.6209259, -74.0721952 4.6209105, -74.0723105 4.6208839, -74.07241260000001 4.6208602, -74.0726782 4.620792, -74.0735694 4.620571, -74.0742769 4.6203946)",,
261817152,261817164,0,"[655514737, 89875093]",True,2,Calle 66,"['tertiary', 'secondary']",765.846,"LINESTRING (-74.0707598 4.6573861, -74.0707283 4.657287, -74.0706962 4.657235, -74.070678 4.6572126, -74.0701937 4.656838, -74.0696342 4.656442, -74.0693481 4.6562378, -74.0690527 4.6560408, -74.06844169999999 4.6555961, -74.0676749 4.6550783, -74.06712899999999 4.6547451, -74.0668015 4.6545688, -74.0659629 4.6541432, -74.06500870000001 4.6536541)",,
261817164,3236651040,0,"[655514737, 89626707, 638336486]",True,2,Calle 66,"['tertiary', 'residential']",397.196,"LINESTRING (-74.06500870000001 4.6536541, -74.06407299999999 4.653176, -74.0640246 4.6531513, -74.06395449999999 4.6531171, -74.0638604 4.6530711, -74.06381639999999 4.6530496, -74.06377980000001 4.6530318, -74.0630006 4.6526513, -74.0622832 4.652271, -74.0618219 4.6520208)",,
262567507,6326450563,0,"[343709216, 89724961, 24350403, 89725253, 394984074, 532379051, 677989004, 89725261, 677989006, 89716890, 89748763, 89724959]",True,"['1', '2']","['Calle 36', 'Carrera 24 (Parkway)', 'Diagonal 36 Bis', 'Carrera 24']","['tertiary', 'residential']",1632.5640000000003,"LINESTRING (-74.06770229999999 4.6243767, -74.0683626 4.6244983, -74.06892569999999 4.6245886, -74.0689928 4.6245993, -74.0690439 4.6246136, -74.0691279 4.6246257, -74.0691877 4.6246376, -74.0692652 4.6246499, -74.06964840000001 4.6247109, -74.07008980000001 4.6247812, -74.0709974 4.6249536, -74.0719101 4.6251219, -74.0722243 4.625174, -74.0727476 4.6252732, -74.07339229999999 4.625373, -74.0741156 4.6255007, -74.0741756 4.6255262, -74.0743367 4.6256702, -74.07444150000001 4.6257797, -74.0744766 4.6258188, -74.0746224 4.6259974, -74.0747598 4.6261838, -74.0747945 4.626244, -74.0748349 4.6263145, -74.07487690000001 4.6263853, -74.0749448 4.6265002, -74.0750001 4.6266147, -74.0750492 4.6267597, -74.07508559999999 4.6268836, -74.0751204 4.627046, -74.0751497 4.6272853, -74.0751648 4.6275193, -74.0751684 4.627642, -74.07516990000001 4.6276773, -74.07517230000001 4.6277494, -74.0751731 4.627821, -74.0750819 4.6287231, -74.0750714 4.6288592, -74.0750462 4.6291146, -74.07504369999999 4.6291356, -74.07504110000001 4.6291607, -74.0750156 4.6294395, -74.0750067 4.6295332, -74.0749235 4.6304222, -74.0749079 4.6306085, -74.07487159999999 4.6310575, -74.0748475 4.6313888, -74.07484940000001 4.6314598, -74.0748498 4.6315395, -74.074859 4.6319375, -74.0749052 4.6323602, -74.0749185 4.632458, -74.0749232 4.6324933, -74.07496020000001 4.6326989, -74.0751109 4.6333064)",30,
263369128,263369125,0,533689872,True,2,Calle 52,residential,13.528,"LINESTRING (-74.070143 4.6400557, -74.07002249999999 4.6400363)",30,
263777109,2863283611,0,"[375277192, 89725247]",True,2,"['Transversal 17', 'Diagonal 40A']",tertiary,181.342,"LINESTRING (-74.0723012 4.6311081, -74.071793 4.6306602, -74.0715122 4.6304188, -74.0712066 4.6300918, -74.071113 4.6300759, -74.0710922 4.6300765, -74.0710713 4.6300858)",30,
264157127,263369459,0,675557365,True,2,Calle 49,residential,69.337,"LINESTRING (-74.0759824 4.6380842, -74.0765969 4.6382012)",,
312655767,261817164,0,89874769,True,2,Carrera 15,residential,145.59,"LINESTRING (-74.0647819 4.6549436, -74.0649009 4.654209, -74.06500870000001 4.6536541)",30,
891288251,2863283611,0,"[375276904, 89716908, 675552252]",True,"['1', '2']",Diagonal 40A,tertiary,538.73,"LINESTRING (-74.067144 4.6273217, -74.0672119 4.6273248, -74.0673822 4.6273443, -74.0674922 4.6273726, -74.0676622 4.6274437, -74.0679105 4.6275832, -74.0681304 4.6277259, -74.06835270000001 4.6278888, -74.0683956 4.6279203, -74.068455 4.6279678, -74.06854559999999 4.6280351, -74.0686043 4.628082, -74.0686347 4.6281067, -74.0686534 4.6281218, -74.0695185 4.6288229, -74.0701779 4.6293656, -74.0702351 4.6294127, -74.0710713 4.6300858)",30,
1833722136,4913349660,0,28299065,False,,Calle 150A,tertiary,202.39100000000002,"LINESTRING (-74.09460300000001 4.7495135, -74.0945222 4.7494759, -74.09418239999999 4.7493175, -74.0936442 4.7490666, -74.092947 4.7487458)",,
2863283611,263776874,0,675552245,True,2,Transversal 17,tertiary,17.472,"LINESTRING (-74.0710713 4.6300858, -74.07101919999999 4.6302341)",,
3757633741,3784643494,0,648658788,False,,Calle 49 Sur,tertiary,203.141,"LINESTRING (-74.1785952 4.631673, -74.178473 4.6314095, -74.17836 4.6311661, -74.17823610000001 4.6308988, -74.1781549 4.6307219, -74.17803910000001 4.6304798, -74.17802570000001 4.6304515, -74.17794000000001 4.6302668, -74.1778175 4.6300188)",,
3784643494,3757633741,0,648658788,False,,Calle 49 Sur,tertiary,203.141,"LINESTRING (-74.1778175 4.6300188, -74.17794000000001 4.6302668, -74.17802570000001 4.6304515, -74.17803910000001 4.6304798, -74.1781549 4.6307219, -74.17823610000001 4.6308988, -74.17836 4.6311661, -74.178473 4.6314095, -74.1785952 4.631673)",,
4913349660,1833722136,0,28299065,False,,Calle 150A,tertiary,202.39100000000002,"LINESTRING (-74.092947 4.7487458, -74.0936442 4.7490666, -74.09418239999999 4.7493175, -74.0945222 4.7494759, -74.09460300000001 4.7495135)",,
5550520051,6397142938,0,"[88893504, 231047525, 597171711]",True,3,Avenida Carrera 7,"['tertiary', 'primary']",434.55999999999995,"LINESTRING (-74.0701777 4.6100053, -74.0700981 4.6102054, -74.0700722 4.6102886, -74.07005239999999 4.6103625, -74.0699627 4.6107927, -74.06990140000001 4.6110869, -74.06988200000001 4.6111796, -74.06987220000001 4.6112267, -74.0697984 4.6115347, -74.0697692 4.6116522, -74.0697418 4.6117649, -74.0696767 4.6121111, -74.0696657 4.6121618, -74.0696228 4.6123465, -74.0696195 4.6124081, -74.06951530000001 4.6129105, -74.06940299999999 4.6135499, -74.06938719999999 4.6136836, -74.0693838 4.6138243)",30,yes
6313418584,263544125,0,675557361,True,2,Calle 53B,residential,547.852,"LINESTRING (-74.0785805 4.6440283, -74.07828360000001 4.6439767, -74.0780594 4.643937, -74.0776554 4.6438657, -74.0775405 4.6438454, -74.07708839999999 4.6437655, -74.0766375 4.6436752, -74.076351 4.6436179, -74.0761554 4.6435788, -74.075667 4.643481, -74.0754039 4.6434283, -74.0746139 4.6432716, -74.0738892 4.6431237, -74.07372789999999 4.6430911)",30,
6313487668,263732478,0,89759289,True,1,Transversal 25A,residential,193.236,"LINESTRING (-74.0755449 4.6345461, -74.0759642 4.6353053, -74.07603880000001 4.6354303, -74.07622360000001 4.635742, -74.0763347 4.6359886, -74.0763378 4.6360819)",,
6498468228,6326450564,0,"[89748931, 89725097, 394984075, 147216656, 397668604, 675557367, 89725276]",True,2,"['Diagonal 36 Bis', 'Carrera 24 (Parkway)', 'Carrera 24']",tertiary,972.307,"LINESTRING (-74.07549059999999 4.6337329, -74.0754898 4.6336375, -74.075489 4.6335401, -74.0753069 4.6327935, -74.0752481 4.6324491, -74.0752416 4.6324113, -74.0752262 4.6323211, -74.0751858 4.631927, -74.07518570000001 4.6315322, -74.07518520000001 4.6315039, -74.075187 4.6314631, -74.07518760000001 4.6314047, -74.0751999 4.631152, -74.0752619 4.6303778, -74.07526590000001 4.6303114, -74.0753725 4.6292288, -74.0753746 4.6292119, -74.07537809999999 4.6291727, -74.0753832 4.6291249, -74.07538529999999 4.6291087, -74.0754894 4.6280341, -74.0755016 4.6278559, -74.0755027 4.6278436, -74.075504 4.6277963, -74.07550209999999 4.6277053, -74.07547700000001 4.6272501, -74.07545260000001 4.6270824, -74.07540400000001 4.6268664, -74.07531539999999 4.6265427, -74.0752813 4.6264744, -74.0751863 4.6263044, -74.0751252 4.6262137, -74.0750785 4.6261433, -74.07503060000001 4.6260895, -74.07491659999999 4.6259615, -74.07479859999999 4.6258377, -74.0747413 4.6257899, -74.07467029999999 4.6257239, -74.0744608 4.6255521, -74.07432489999999 4.6254504)",,
