u,v,key,osmid,oneway,lanes,name,highway,length,geometry,bridge,maxspeed
262419956,261188867,0,90654678,True,3,Avenida Carrera 50,primary,399.63100000000003,"LINESTRING (-74.0907156 4.6423236, -74.09178559999999 4.6416101, -74.092215 4.6413523, -74.093199 4.6407542, -74.0937734 4.640421)",,
262545795,4789281697,0,678005123,False,2,Calle 59,residential,4.956,"LINESTRING (-74.08457629999999 4.6512779, -74.08453729999999 4.6512561)",,
310761703,312094058,0,"[91326240, 91326141]",False,2,Calle 148,tertiary,785.367,"LINESTRING (-74.0844395 4.744166, -74.0852543 4.7443895, -74.08550839999999 4.7444647, -74.0862889 4.7446925, -74.0869823 4.744902, -74.08761869999999 4.7451005, -74.08805479999999 4.745231, -74.08886390000001 4.7454721, -74.08914660000001 4.7455589, -74.08956259999999 4.7456964, -74.089606 4.7457116, -74.0897762 4.745778, -74.0898846 4.7458656, -74.0899009 4.7458817, -74.09002099999999 4.7460003, -74.09014259999999 4.7461346, -74.09024599999999 4.7462269, -74.0903375 4.746292, -74.0904374 4.7463298, -74.0910332 4.7465586)",,
310815657,865188643,0,72895627,False,,,path,57.404,"LINESTRING (-74.04717719999999 4.7213409, -74.04665919999999 4.7213401)",,
312094058,310761703,0,"[91326240, 91326141]",False,2,Calle 148,tertiary,785.3670000000001,"LINESTRING (-74.0910332 4.7465586, -74.0904374 4.7463298, -74.0903375 4.746292, -74.09024599999999 4.7462269, -74.09014259999999 4.7461346, -74.09002099999999 4.7460003, -74.0899009 4.7458817, -74.0898846 4.7458656, -74.0897762 4.745778, -74.089606 4.7457116, -74.08956259999999 4.7456964, -74.08914660000001 4.7455589, -74.08886390000001 4.7454721, -74.08805479999999 4.745231, -74.08761869999999 4.7451005, -74.0869823 4.744902, -74.0862889 4.7446925, -74.08550839999999 4.7444647, -74.0852543 4.7443895, -74.0844395 4.744166)",,
312489824,267288355,0,90735987,True,2,Avenida Carrera 72,primary,1359.6190000000001,"LINESTRING (-74.09951719999999 4.6811721, -74.0995534 4.6811282, -74.09958899999999 4.6810849, -74.09999190000001 4.6806181, -74.1001512 4.680422, -74.10031669999999 4.6802179, -74.10042540000001 4.6800682, -74.1005342 4.6799104, -74.10083469999999 4.6794568, -74.1009258 4.6793283, -74.1012949 4.6788591, -74.1017485 4.678246, -74.1019728 4.6779205, -74.1023144 4.677428, -74.1027004 4.6768807, -74.1028537 4.6766679, -74.1032577 4.6761057, -74.1034679 4.6758301, -74.1035621 4.6756992, -74.1036374 4.675581, -74.1037149 4.675447, -74.1038047 4.6752829, -74.1038544 4.6751687, -74.1039433 4.674957, -74.1039703 4.6748825, -74.1040122 4.6747775, -74.1041099 4.6745236, -74.1041323 4.674466, -74.1041848 4.6743681, -74.1042446 4.6742719, -74.1043801 4.6740761, -74.10445470000001 4.6739925, -74.104687 4.6737322, -74.10494749999999 4.6734486, -74.1054517 4.6729042, -74.1057283 4.6726295, -74.106844 4.6715094, -74.1068786 4.6714748)",,
317212069,317212130,0,89617647,False,,Calle 14 Sur,residential,187.838,"LINESTRING (-74.0966184 4.5847453, -74.0966615 4.5847913, -74.0977753 4.5859797)",,
317212130,317212069,0,89617647,False,,Calle 14 Sur,residential,187.838,"LINESTRING (-74.0977753 4.5859797, -74.0966615 4.5847913, -74.0966184 4.5847453)",,
329170908,5723974409,0,29875846,False,,,cycleway,1044.5249999999999,"LINESTRING (-74.0449466 4.7316462, -74.0446231 4.7329017, -74.0445527 4.7332009, -74.0444961 4.7334883, -74.0444334 4.7337493, -74.0438094 4.7364773, -74.04380039999999 4.7365166, -74.0437921 4.7365458, -74.0437484 4.7367285, -74.04352299999999 4.7376999, -74.0433165 4.7385941, -74.0429729 4.7400716, -74.0428357 4.7406478, -74.0428351 4.7406504, -74.0428367 4.7406768, -74.042852 4.7407058, -74.0428745 4.7407281, -74.0428969 4.7407446, -74.0429192 4.740761)",,
329171953,329180568,0,"[29876368, 29876383]",False,,,cycleway,791.2470000000001,"LINESTRING (-74.0456411 4.7276208, -74.0457183 4.7271373, -74.04577759999999 4.7267467, -74.0458994 4.7259004, -74.0461756 4.7241387, -74.0462758 4.7233821, -74.04656629999999 4.7214939, -74.0467077 4.720585)",,
