y,x,osmid,highway,geometry
4.640421,-74.0937734,261188867,,POINT (-74.0937734 4.640421)
4.6423236,-74.0907156,262419956,traffic_signals,POINT (-74.0907156 4.6423236)
4.6512779,-74.0845763,262545795,traffic_signals,POINT (-74.08457629999999 4.6512779)
4.6714748,-74.1068786,267288355,traffic_signals,POINT (-74.1068786 4.6714748)
4.744166,-74.0844395,310761703,traffic_signals,POINT (-74.0844395 4.744166)
4.7213409,-74.0471772,310815657,,POINT (-74.04717719999999 4.7213409)
4.7465586,-74.0910332,312094058,,POINT (-74.0910332 4.7465586)
4.6811721,-74.0995172,312489824,traffic_signals,POINT (-74.09951719999999 4.6811721)
4.5847453,-74.0966184,317212069,,POINT (-74.0966184 4.5847453)
4.5859797,-74.0977753,317212130,,POINT (-74.0977753 4.5859797)
4.7316462,-74.0449466,329170908,,POINT (-74.0449466 4.7316462)
4.7276208,-74.0456411,329171953,crossing,POINT (-74.0456411 4.7276208)
4.720585,-74.0467077,329180568,,POINT (-74.0467077 4.720585)
4.7100762,-74.0480784,329181926,,POINT (-74.04807839999999 4.7100762)
4.6887817,-74.0515814,329427083,,POINT (-74.0515814 4.6887817)
4.7396078,-74.0372062,493768858,,POINT (-74.0372062 4.7396078)
4.7396267,-74.0379743,493768864,,POINT (-74.0379743 4.7396267)
4.5751716,-74.1050684,495689416,,POINT (-74.10506839999999 4.5751716)
4.5778171,-74.1105382,495689433,,POINT (-74.11053819999999 4.5778171)
4.671397,-74.1069579,612580476,traffic_signals,POINT (-74.1069579 4.671397)
4.6263013,-74.1265835,634172928,,POINT (-74.1265835 4.6263013)
4.7470797,-74.0227273,715601350,,POINT (-74.0227273 4.7470797)
4.748963,-74.0352376,715731560,,POINT (-74.0352376 4.748963)
4.7213401,-74.0466592,865188643,,POINT (-74.04665919999999 4.7213401)
4.7223693,-74.1291746,1062715835,,POINT (-74.1291746 4.7223693)
4.622179,-74.1263869,1192631861,,POINT (-74.1263869 4.622179)
4.7209465,-74.1260099,1323187671,,POINT (-74.1260099 4.7209465)
4.5732192,-74.0891624,3254702427,,POINT (-74.08916240000001 4.5732192)
4.5732406,-74.089205,3254702428,,POINT (-74.08920500000001 4.5732406)
4.5726467,-74.0889512,3254702429,,POINT (-74.0889512 4.5726467)
4.572622,-74.0889129,3254702430,,POINT (-74.0889129 4.572622)
4.5732467,-74.0892522,3254702431,,POINT (-74.0892522 4.5732467)
4.5732369,-74.0892988,3254702432,,POINT (-74.08929879999999 4.5732369)
4.5732122,-74.0893396,3254702433,,POINT (-74.0893396 4.5732122)
4.5731754,-74.0893697,3254702434,,POINT (-74.08936970000001 4.5731754)
4.5731308,-74.089386,3254702435,,POINT (-74.089386 4.5731308)
4.5730833,-74.0893865,3254702436,,POINT (-74.0893865 4.5730833)
4.5730383,-74.0893711,3254702437,,POINT (-74.08937109999999 4.5730383)
4.5726108,-74.0888686,3254702438,,POINT (-74.0888686 4.5726108)
4.5726142,-74.088823,3254702439,,POINT (-74.088823 4.5726142)
4.5726318,-74.0887809,3254702440,,POINT (-74.0887809 4.5726318)
4.572662,-74.0887466,3254702441,,POINT (-74.08874659999999 4.572662)
4.5727014,-74.0887238,3254702442,,POINT (-74.0887238 4.5727014)
4.5727461,-74.0887147,3254702443,,POINT (-74.0887147 4.5727461)
4.5727913,-74.0887203,3254702444,,POINT (-74.08872030000001 4.5727913)
4.5728323,-74.0887401,3254702445,,POINT (-74.0887401 4.5728323)
4.6524278,-74.0806857,3850741726,,POINT (-74.0806857 4.6524278)
4.7240793,-74.130578,3925624308,,POINT (-74.130578 4.7240793)
4.7224859,-74.1307049,3925624332,,POINT (-74.1307049 4.7224859)
4.6513691,-74.0845354,4525660952,,POINT (-74.08453539999999 4.6513691)
4.6512561,-74.0845373,4789281697,,POINT (-74.08453729999999 4.6512561)
4.7206655,-74.1307764,5184892528,,POINT (-74.1307764 4.7206655)
4.7236202,-74.1354619,5186530401,,POINT (-74.1354619 4.7236202)
4.6565171,-74.1204802,5233512909,,POINT (-74.1204802 4.6565171)
4.740761,-74.0429192,5723974409,,POINT (-74.0429192 4.740761)
4.7206344,-74.1294997,5752390677,,POINT (-74.1294997 4.7206344)
4.6392572,-74.0954463,5762889021,,POINT (-74.09544630000001 4.6392572)
