u,v,key,osmid,highway,oneway,length,geometry,bridge,name,width,lanes,access,tunnel,area
255338703,599389290,0,59278388,cycleway,False,28.385,"LINESTRING (-74.0348771 4.6940359, -74.03479470000001 4.6942776)",,,,,,,
261139517,6316189097,0,422956924,cycleway,False,517.752,"LINESTRING (-74.0574542 4.6877234, -74.0575037 4.6877034, -74.057571 4.6876893, -74.05857779999999 4.687855, -74.05908220000001 4.687938, -74.0591265 4.6877246, -74.0591565 4.687647, -74.05918490000001 4.6876047, -74.0592043 4.6875923, -74.0592544 4.6876059, -74.0603721 4.6879332, -74.0606794 4.6880124, -74.0607785 4.6880392, -74.06125 4.6881664, -74.061305 4.6881938, -74.0613287 4.6882175, -74.06136789999999 4.6882336, -74.0614899 4.688266, -74.0616812 4.6883209, -74.0617099 4.6883296, -74.06173250000001 4.6883364)",,,,,,,
261139517,867269210,0,"[601895449, 606492769, 73073156, 40115007]",cycleway,False,1751.596,"LINESTRING (-74.0574542 4.6877234, -74.0574352 4.687666, -74.0574481 4.6873255, -74.0574501 4.6872788, -74.0574527 4.6872179, -74.05753420000001 4.6867795, -74.057565 4.6867058, -74.0576066 4.6866628, -74.0576713 4.6866198, -74.057711 4.6865797, -74.0577404 4.68655, -74.0577663 4.6863932, -74.05777329999999 4.6863137, -74.0577837 4.6861945, -74.05787359999999 4.6855173, -74.0578821 4.6854355, -74.057937 4.6849085, -74.0580185 4.6844789, -74.0580562 4.6842697, -74.0581433 4.6837673, -74.0581701 4.6836182, -74.05826159999999 4.683085, -74.0583384 4.6825941, -74.0584552 4.6818911, -74.0585511 4.681346, -74.0586871 4.6805108, -74.0587191 4.6803319, -74.0587846 4.6801314, -74.0588662 4.6799258, -74.0590117 4.6796915, -74.05925089999999 4.679336, -74.059282 4.6792898, -74.0594467 4.6790634, -74.0595443 4.6789407, -74.0596434 4.6788435, -74.059701 4.678802, -74.0599198 4.6786719, -74.06008970000001 4.6785709, -74.0604968 4.6783382, -74.0605908 4.6782848, -74.0607097 4.678218, -74.0607055 4.678271, -74.0607023 4.6784116, -74.0606879 4.678741, -74.06115869999999 4.6788283, -74.061666 4.6789224, -74.0619836 4.6789759, -74.063045 4.6791544, -74.06394760000001 4.6792933, -74.064093 4.679247, -74.0642704 4.6791689, -74.06528779999999 4.6792982)",yes,,,,,,
261139517,1312293951,0,601895449,cycleway,False,1000.8559999999999,"LINESTRING (-74.0574542 4.6877234, -74.0574809 4.6877506, -74.0574424 4.6879179, -74.05731179999999 4.688615, -74.0572399 4.6891447, -74.0572214 4.6892817, -74.0569725 4.6907544, -74.0568956 4.6912178, -74.0567923 4.6918827, -74.0567818 4.6919422, -74.0565402 4.6932981, -74.0564771 4.6936869, -74.0564464 4.6939144, -74.0563288 4.6946694, -74.0562056 4.6953623, -74.05618819999999 4.695457, -74.05616190000001 4.6956193, -74.05600459999999 4.6965907)",,,,,,,
261187773,493076941,0,"[713450032, 90708793, 58403715]",cycleway,False,734.288,"LINESTRING (-74.076953 4.6854955, -74.0769203 4.6854546, -74.0767657 4.6852612, -74.0766745 4.6851436, -74.0765404 4.6849992, -74.0763875 4.6849618, -74.076063 4.6849083, -74.0749868 4.6848421, -74.0745914 4.6848347, -74.07270579999999 4.6842383, -74.0720298 4.6840233, -74.0717636 4.6839268, -74.0713322 4.6837705, -74.07085859999999 4.6834225)",,Calle 90,,,,,
261785571,326228357,0,184365415,cycleway,False,258.86699999999996,"LINESTRING (-74.0894534 4.6966692, -74.08943170000001 4.6967077, -74.0894132 4.6967404, -74.0892523 4.6970256, -74.0889093 4.6976348, -74.0887786 4.6978654, -74.0886854 4.6980305, -74.0883086 4.6986985)",,,,,,,
261785669,5728428250,0,372378007,cycleway,False,614.233,"LINESTRING (-74.09074390000001 4.6949402, -74.0906626 4.6950085, -74.09062249999999 4.6950414, -74.0905806 4.6950019, -74.09053249999999 4.6949795, -74.0904797 4.6949785, -74.09039509999999 4.6950195, -74.0901878 4.6951765, -74.0899898 4.6952782, -74.0897064 4.6954049, -74.08967060000001 4.6954388, -74.0896365 4.6954849, -74.0893928 4.6958411, -74.0893765 4.6958634, -74.0893054 4.6958613, -74.0892728 4.6958776, -74.08924639999999 4.6958958, -74.08922 4.6959221, -74.0891702 4.6959997, -74.0891458 4.6960681, -74.08909920000001 4.6960772, -74.0888873 4.6961406, -74.0888233 4.6961535, -74.0887511 4.6961681, -74.0886931 4.6961702, -74.0886271 4.6961368, -74.08856059999999 4.6960902, -74.08847849999999 4.6960339, -74.0884057 4.6959838, -74.0883157 4.6960072, -74.08764429999999 4.6961912, -74.0872791 4.6962876, -74.0869447 4.6963621, -74.0862321 4.6965694, -74.0858856 4.6966745)",,,2,,,,
262178529,876455548,0,"[74082240, 74082239, 74082247]",cycleway,False,1366.448,"LINESTRING (-74.15071159999999 4.6679113, -74.15089930000001 4.6676978, -74.1507544 4.667524, -74.1510229 4.666007, -74.151081 4.6657025, -74.1511273 4.6655537, -74.1518188 4.6647731, -74.1519373 4.6646716, -74.1520833 4.6646006, -74.15226199999999 4.6645436, -74.1530863 4.6643518, -74.1531519 4.6637568, -74.15315289999999 4.6632271, -74.1531043 4.6626765, -74.1531078 4.6623484, -74.1531043 4.6621509, -74.1531135 4.6620644, -74.1531354 4.66197, -74.15348 4.6613116, -74.1539061 4.6605332, -74.1542816 4.6599718, -74.1545359 4.6597285, -74.1548715 4.65945, -74.15539649999999 4.6589425, -74.1557729 4.658555, -74.15625 4.6581362)",yes,"['Alameda el Porvenir', 'Alameda El Porvenir']",,,,,
262419511,722792798,0,90674609,cycleway,False,10.735,"LINESTRING (-74.08984150000001 4.6542529, -74.0899273 4.6542081)",,,,,,,
262419511,2374397700,0,90674609,cycleway,False,18.582,"LINESTRING (-74.08984150000001 4.6542529, -74.0897083 4.6543544)",,,,,,,
