u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,bridge,access,width,tunnel,area,junction,service
260697818,263777256,0,89574425,True,2,Calle 32,secondary,168.142,"LINESTRING (-74.0703037 4.6204403, -74.0703561 4.6204731, -74.07037510000001 4.620485, -74.07038180000001 4.6204892, -74.0704648 4.620537, -74.0706507 4.6206344, -74.0708941 4.6207615, -74.07103859999999 4.6208186, -74.0711501 4.6208599, -74.0714239 4.6209279, -74.0717097 4.6209601)",,,,,,,,
260697848,264154063,0,"[89716890, 89725261]",True,"['1', '2']",Calle 36,tertiary,123.298,"LINESTRING (-74.0689928 4.6245993, -74.0690439 4.6246136, -74.0691279 4.6246257, -74.0691877 4.6246376, -74.0692652 4.6246499, -74.06964840000001 4.6247109, -74.07008980000001 4.6247812)",,,,,,,,
260697848,3894445382,0,89716887,True,2,Avenida Carrera 14,trunk,360.511,"LINESTRING (-74.0689928 4.6245993, -74.0688469 4.6253556, -74.0687578 4.6258368, -74.0686923 4.6261871, -74.0684284 4.627703, -74.0684117 4.6277892)",30,,,,,,,
260697850,264154086,0,"[375276904, 89716908]",True,"['1', '2']",Diagonal 40A,tertiary,262.89000000000004,"LINESTRING (-74.0683956 4.6279203, -74.068455 4.6279678, -74.06854559999999 4.6280351, -74.0686043 4.628082, -74.0686347 4.6281067, -74.0686534 4.6281218, -74.0695185 4.6288229, -74.0701779 4.6293656, -74.0702351 4.6294127)",30,,,,,,,
260697850,264153866,0,89716896,True,2,Avenida Carrera 14,trunk,133.35399999999998,"LINESTRING (-74.0683956 4.6279203, -74.0683834 4.6280026, -74.0682937 4.6286095, -74.068197 4.6291028)",30,,,,,,,
261817152,312656482,0,"[655514737, 89875093]",True,2,Calle 66,"['tertiary', 'secondary']",89.494,"LINESTRING (-74.0707598 4.6573861, -74.0707283 4.657287, -74.0706962 4.657235, -74.070678 4.6572126, -74.0701937 4.656838)",,,,,,,,
261817152,903701496,0,89878137,True,3,Avenida Carrera 24,secondary,156.257,"LINESTRING (-74.0707598 4.6573861, -74.0713114 4.6565499, -74.0714479 4.6563355, -74.07151949999999 4.6562029)",30,,,,,,,
261817156,261817158,0,655514737,True,2,Calle 66,tertiary,102.651,"LINESTRING (-74.06844169999999 4.6555961, -74.0676749 4.6550783)",,,,,,,,
261817156,253762143,0,89890128,True,2,Carrera 20,tertiary,155.789,"LINESTRING (-74.06844169999999 4.6555961, -74.0676916 4.656781)",30,,,,,,,
261817158,310666531,0,734633047,True,3,Carrera 19,residential,110.057,"LINESTRING (-74.0676749 4.6550783, -74.0682168 4.6542489)",,,,,,,,
261817158,283255669,0,655514737,True,2,Calle 66,tertiary,112.196,"LINESTRING (-74.0676749 4.6550783, -74.06712899999999 4.6547451, -74.0668015 4.6545688)",,,,,,,,
261817164,3236651040,0,"[655514737, 89626707, 638336486]",True,2,Calle 66,"['tertiary', 'residential']",397.196,"LINESTRING (-74.06500870000001 4.6536541, -74.06407299999999 4.653176, -74.0640246 4.6531513, -74.06395449999999 4.6531171, -74.0638604 4.6530711, -74.06381639999999 4.6530496, -74.06377980000001 4.6530318, -74.0630006 4.6526513, -74.0622832 4.652271, -74.0618219 4.6520208)",,,,,,,,
261817164,312655769,0,734633052,True,2,Carrera 15,residential,77.872,"LINESTRING (-74.06500870000001 4.6536541, -74.0650904 4.6531933, -74.0651282 4.652964)",30,,,,,,,
262567507,260697848,0,24350403,True,1,Calle 36,residential,145.166,"LINESTRING (-74.06770229999999 4.6243767, -74.0683626 4.6244983, -74.06892569999999 4.6245886, -74.0689928 4.6245993)",,,,,,,,
263369125,263732254,0,533689873,True,2,Calle 52,residential,61.664,"LINESTRING (-74.07002249999999 4.6400363, -74.0694747 4.6399393)",30,,,,,,,
263369128,263369125,0,533689872,True,2,Calle 52,residential,13.528,"LINESTRING (-74.070143 4.6400557, -74.07002249999999 4.6400363)",30,,,,,,,
263369128,263732284,0,89759991,True,2,Carrera 18,tertiary,111.761,"LINESTRING (-74.070143 4.6400557, -74.0703058 4.6390638)",30,,,,,,,
263544125,263544306,0,534582386,True,2,Calle 53B,footway,56.807,"LINESTRING (-74.07372789999999 4.6430911, -74.073234 4.6429545)",30,,,,,,,
263544125,5173740016,0,375279810,False,2,Carrera 24,tertiary,39.311,"LINESTRING (-74.07372789999999 4.6430911, -74.0737249 4.6431072, -74.0736912 4.6432481, -74.0736514 4.6433326, -74.0735931 4.6434127)",30,,,,,,,
263544136,264153902,0,343709216,True,2,Carrera 24,tertiary,166.421,"LINESTRING (-74.0748349 4.6263145, -74.07487690000001 4.6263853, -74.0749448 4.6265002, -74.0750001 4.6266147, -74.0750492 4.6267597, -74.07508559999999 4.6268836, -74.0751204 4.627046, -74.0751497 4.6272853, -74.0751648 4.6275193, -74.0751684 4.627642, -74.07516990000001 4.6276773, -74.07517230000001 4.6277494)",,,,,,,,
263544144,6313488092,0,"[89748763, 674159031]",True,2,Carrera 24,"['tertiary', 'cycleway']",164.23799999999997,"LINESTRING (-74.0749185 4.632458, -74.0749232 4.6324933, -74.07496020000001 4.6326989, -74.0751109 4.6333064, -74.0752715 4.6333628, -74.0752856 4.6333712, -74.07530180000001 4.633382, -74.0753292 4.6334122, -74.07535729999999 4.6334517, -74.0753746 4.6335048, -74.0753811 4.6335666, -74.0753812 4.6336257, -74.0753843 4.6336822, -74.07539749999999 4.6337595)",,,,,,,,
263544149,263544151,0,"[89725097, 89725276]",True,2,"['Carrera 24 (Parkway)', 'Carrera 24']",tertiary,280.931,"LINESTRING (-74.07526590000001 4.6303114, -74.0753725 4.6292288, -74.0753746 4.6292119, -74.07537809999999 4.6291727, -74.0753832 4.6291249, -74.07538529999999 4.6291087, -74.0754894 4.6280341, -74.0755016 4.6278559, -74.0755027 4.6278436, -74.075504 4.6277963)",,,,,,,,
263544149,264153892,0,24350394,False,2,Calle 40,residential,97.12899999999999,"LINESTRING (-74.07526590000001 4.6303114, -74.07533530000001 4.6303189, -74.07613929999999 4.6303828)",30,,,,,,,
263544151,4004473097,0,147216656,True,2,Carrera 24,tertiary,104.27,"LINESTRING (-74.075504 4.6277963, -74.07550209999999 4.6277053, -74.07547700000001 4.6272501, -74.07545260000001 4.6270824, -74.07540400000001 4.6268664)",,,,,,,,
263544151,264154390,0,89574226,True,2,Calle 39,residential,88.30900000000001,"LINESTRING (-74.075504 4.6277963, -74.07556169999999 4.6278008, -74.07630020000001 4.627825)",,,,,,,,
263732478,264157127,0,675557366,False,2,Carrera 26,residential,226.12900000000002,"LINESTRING (-74.0763378 4.6360819, -74.07613859999999 4.6371164, -74.0759824 4.6380842)",30,,,,,,,
263776814,2863283611,0,89725247,True,2,Transversal 17,tertiary,15.366,"LINESTRING (-74.0712066 4.6300918, -74.071113 4.6300759, -74.0710922 4.6300765, -74.0710713 4.6300858)",,,,,,,,
263776814,263776816,0,677989002,True,2,Diagonal 40A,tertiary,137.873,"LINESTRING (-74.0712066 4.6300918, -74.07084209999999 4.629771, -74.07026380000001 4.629283)",30,,,,,,,
263776874,263776959,0,89725279,True,2,Diagonal 40A Bis,tertiary,101.171,"LINESTRING (-74.07101919999999 4.6302341, -74.0701301 4.630028)",30,,,,,,,
263776874,263776877,0,"[814601052, 814601053, 89725231]",True,,Carrera 17,tertiary,18.786,"LINESTRING (-74.07101919999999 4.6302341, -74.07101350000001 4.6302569, -74.0709856 4.6303679, -74.0709781 4.630398)",30,yes,,,,,,
263776957,263776814,0,375277192,True,2,Diagonal 40A,tertiary,49.692,"LINESTRING (-74.0715122 4.6304188, -74.0712066 4.6300918)",30,,,,,,,
263776957,263776874,0,24324760,True,1,Diagonal 40A Bis,tertiary,58.678,"LINESTRING (-74.0715122 4.6304188, -74.0712643 4.6302972, -74.07101919999999 4.6302341)",,,,,,,,
263776990,264153912,0,24324768,True,2,Transversal 17A Bis,tertiary,106.529,"LINESTRING (-74.0722243 4.625174, -74.0725391 4.6260792)",30,,,,,,,
263776990,1039801519,0,677989004,True,2,Calle 36,tertiary,131.35000000000002,"LINESTRING (-74.0722243 4.625174, -74.0727476 4.6252732, -74.07339229999999 4.625373)",30,,,,,,,
263777109,264154378,0,375277192,True,2,Diagonal 40A,tertiary,75.186,"LINESTRING (-74.0723012 4.6311081, -74.071793 4.6306602)",30,,,,,,,
263777109,263777113,0,"[814601048, 89748954, 814252355]",True,2,Carrera 19,tertiary,27.031,"LINESTRING (-74.0723012 4.6311081, -74.0722931 4.6311426, -74.0722827 4.631187, -74.0722547 4.631302, -74.0722444 4.6313445)",30,yes,,,,,,
263777256,263777145,0,89574425,True,2,Calle 32,secondary,291.971,"LINESTRING (-74.0717097 4.6209601, -74.0719149 4.6209538, -74.07212869999999 4.6209259, -74.0721952 4.6209105, -74.0723105 4.6208839, -74.07241260000001 4.6208602, -74.0726782 4.620792, -74.0735694 4.620571, -74.0742769 4.6203946)",,,,,,,,
263777256,264153975,0,89527076,True,2,Carrera 16,residential,67.057,"LINESTRING (-74.0717097 4.6209601, -74.07165329999999 4.6212792, -74.07160469999999 4.621554)",30,,,,,,,
264153893,263544144,0,"[89724961, 394984074]",True,2,Carrera 24,tertiary,227.093,"LINESTRING (-74.0749235 4.6304222, -74.0749079 4.6306085, -74.07487159999999 4.6310575, -74.0748475 4.6313888, -74.07484940000001 4.6314598, -74.0748498 4.6315395, -74.074859 4.6319375, -74.0749052 4.6323602, -74.0749185 4.632458)",,,,,,,,
264153893,263777034,0,89725218,False,2,Calle 40,residential,264.81600000000003,"LINESTRING (-74.0749235 4.6304222, -74.0743693 4.6303397, -74.07388640000001 4.6302442, -74.0732467 4.6301183, -74.07264240000001 4.6300206, -74.0725709 4.630009)",30,,,,,,,
264153902,264153893,0,"[89724961, 89724959]",True,2,"['Carrera 24 (Parkway)', 'Carrera 24']",tertiary,298.528,"LINESTRING (-74.07517230000001 4.6277494, -74.0751731 4.627821, -74.0750819 4.6287231, -74.0750714 4.6288592, -74.0750462 4.6291146, -74.07504369999999 4.6291356, -74.07504110000001 4.6291607, -74.0750156 4.6294395, -74.0750067 4.6295332, -74.0749235 4.6304222)",30,,,,,,,
264153902,264154300,0,658185537,False,3,Calle 39,residential,162.33100000000002,"LINESTRING (-74.07517230000001 4.6277494, -74.0751234 4.627742, -74.0750999 4.6277385, -74.0743781 4.6276297, -74.073724 4.6275319)",,,,,,,,
264153902,263544151,0,778332455,True,3,Calle 39,residential,37.14,"LINESTRING (-74.07517230000001 4.6277494, -74.0754621 4.6277929, -74.075504 4.6277963)",,,,,,,,
264154063,264154097,0,532379051,True,2,Calle 36,tertiary,102.402,"LINESTRING (-74.07008980000001 4.6247812, -74.0709974 4.6249536)",30,,,,,,,
264154063,264154059,0,89725194,True,2,Carrera 15,residential,183.84,"LINESTRING (-74.07008980000001 4.6247812, -74.07013190000001 4.6245451, -74.07024199999999 4.6239251, -74.0703438 4.6233518, -74.07037889999999 4.6231532)",30,,,,,,,
264154086,2863283611,0,89716908,True,2,Diagonal 40A,tertiary,119.126,"LINESTRING (-74.0702351 4.6294127, -74.0710713 4.6300858)",30,,,,,,,
264154086,263776959,0,89720050,True,2,Carrera 16,residential,69.401,"LINESTRING (-74.0702351 4.6294127, -74.0701301 4.630028)",30,,,,,,,
264154097,263776990,0,677989004,True,2,Calle 36,tertiary,138.176,"LINESTRING (-74.0709974 4.6249536, -74.0719101 4.6251219, -74.0722243 4.625174)",30,,,,,,,
264154097,264153917,0,677989003,True,2,Carrera 16,residential,119.679,"LINESTRING (-74.0709974 4.6249536, -74.0708128 4.6259315, -74.0707981 4.6260114)",35,,,,,,,
264154378,263776957,0,375277192,True,2,Diagonal 40A,tertiary,41.098,"LINESTRING (-74.071793 4.6306602, -74.0715122 4.6304188)",30,,,,,,,
264154378,264154374,0,89725224,False,2,Carrera 18A,residential,374.64500000000004,"LINESTRING (-74.071793 4.6306602, -74.0719314 4.6299125, -74.0720973 4.6290522, -74.07226420000001 4.628265, -74.07242479999999 4.6273506)",30,,,,,,,
264157127,263369459,0,675557365,True,2,Calle 49,residential,69.337,"LINESTRING (-74.0759824 4.6380842, -74.0765969 4.6382012)",,,,,,,,
264157127,263732478,0,675557366,False,2,Carrera 26,residential,226.12900000000002,"LINESTRING (-74.0759824 4.6380842, -74.07613859999999 4.6371164, -74.0763378 4.6360819)",30,,,,,,,
264157127,264157125,0,89759390,False,2,Carrera 26,residential,213.845,"LINESTRING (-74.0759824 4.6380842, -74.07581380000001 4.6390059, -74.0756382 4.6399765)",30,,,,,,,
283255669,310666620,0,655514737,True,2,Calle 66,tertiary,104.296,"LINESTRING (-74.0668015 4.6545688, -74.0659629 4.6541432)",,,,,,,,
