u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,access,bridge,junction,area,service,width,tunnel
253761985,264154273,0,67287311,True,2,Calle 33,residential,30,148.39000000000001,"LINESTRING (-74.0677141 4.6200653, -74.0677924 4.6201028, -74.06824640000001 4.6203201, -74.068313 4.6203437, -74.0683446 4.6203468, -74.0683908 4.6203406, -74.068451 4.6203151, -74.0685055 4.6203067, -74.0685678 4.6203103, -74.0686236 4.6203351, -74.068904 4.6205525)",,,,,,,
253761985,5406620276,0,"[89718072, 311788188, 529509108]",True,"['3', '2']",Avenida Carrera 7,primary,30,376.546,"LINESTRING (-74.0677141 4.6200653, -74.0678484 4.6197567, -74.0679152 4.6196039, -74.06816430000001 4.6190776, -74.068327 4.618617, -74.0685118 4.6181171, -74.0685661 4.6179861, -74.0686676 4.6177466, -74.0687123 4.6176176, -74.0687355 4.6175561, -74.0687504 4.6175166, -74.0687564 4.6175002, -74.06883089999999 4.6173013, -74.0689038 4.6170587, -74.0689483 4.6169142)",,,,,,,
253762072,312644380,0,28457634,False,2,Carrera 19B,residential,30,114.602,"LINESTRING (-74.057789 4.6731292, -74.0573715 4.6740721)",,,,,,,
253762072,312644380,1,"[89580906, 28457627, 37319693]",False,2,"['Carrera 19C', 'Calle 87', 'Calle 86A']",residential,30,246.87099999999998,"LINESTRING (-74.057789 4.6731292, -74.0583429 4.6733639, -74.0578735 4.6743179, -74.0575046 4.6741463, -74.0573715 4.6740721)",,,,,,,
253762072,268083093,0,28457634,False,2,Carrera 19B,residential,30,175.784,"LINESTRING (-74.057789 4.6731292, -74.0578591 4.6729977, -74.0579771 4.6727673, -74.0584794 4.6717062)",,,,,,,
253762112,310914045,0,23430419,True,2,Calle 74,tertiary,30,53.756,"LINESTRING (-74.07210000000001 4.6689115, -74.07206480000001 4.6688809, -74.0717205 4.6686105)",,,,,,,
253762115,264718127,0,89616068,False,2,Carrera 13,residential,30,103.668,"LINESTRING (-74.0591622 4.6602465, -74.0596841 4.6594728)",,,,,,,
253762115,254347520,0,"[89616068, 639468918]",False,2,Carrera 13,residential,30,247.26000000000002,"LINESTRING (-74.0591622 4.6602465, -74.05851610000001 4.6611368, -74.0579977 4.6618946, -74.05788029999999 4.6620662)",,,,,,,
253762115,263470968,0,89616122,True,3,Calle 74,tertiary,30,227.302,"LINESTRING (-74.0591622 4.6602465, -74.05757370000001 4.6591512, -74.0575063 4.659053)",,,,,,,
253762143,312656480,0,89874997,False,2,Calle 67,tertiary,30,230.06599999999997,"LINESTRING (-74.0676916 4.656781, -74.06833930000001 4.6571896, -74.0688555 4.6575376, -74.0694204 4.6579258)",,,,,,,
253762143,283255690,0,"[89874714, 89874997]",False,2,Calle 67,tertiary,30,212.483,"LINESTRING (-74.0676916 4.656781, -74.06691669999999 4.656291, -74.0660815 4.6557437)",,,,,,,
