y,x,osmid,highway,ref,geometry
4.6738175,-74.0568087,253761979,,,POINT (-74.0568087 4.6738175)
4.6200653,-74.0677141,253761985,,,POINT (-74.0677141 4.6200653)
4.6640602,-74.0565987,253761997,,,POINT (-74.0565987 4.6640602)
4.6224794,-74.0767276,253762003,,,POINT (-74.0767276 4.6224794)
4.6727673,-74.0579771,253762005,,,POINT (-74.0579771 4.6727673)
4.6237696,-74.0776331,253762008,,,POINT (-74.0776331 4.6237696)
4.6635987,-74.0543654,253762048,,,POINT (-74.05436539999999 4.6635987)
4.6638316,-74.0585797,253762062,traffic_signals,,POINT (-74.0585797 4.6638316)
4.6701042,-74.0552574,253762068,traffic_signals,,POINT (-74.0552574 4.6701042)
4.6575376,-74.0688555,253762071,,,POINT (-74.0688555 4.6575376)
4.6731292,-74.057789,253762072,crossing,,POINT (-74.057789 4.6731292)
4.6310288,-74.0643737,253762095,,,POINT (-74.0643737 4.6310288)
4.6492406,-74.0591309,253762102,,,POINT (-74.0591309 4.6492406)
4.6689115,-74.0721,253762112,,,POINT (-74.07210000000001 4.6689115)
4.6602465,-74.0591622,253762115,traffic_signals,,POINT (-74.0591622 4.6602465)
4.656781,-74.0676916,253762143,,,POINT (-74.0676916 4.656781)
4.6631389,-74.0581846,253762149,,,POINT (-74.0581846 4.6631389)
4.6665492,-74.0690054,253762179,,,POINT (-74.06900539999999 4.6665492)
4.6661331,-74.0642377,253762181,,,POINT (-74.06423770000001 4.6661331)
4.650734,-74.0582309,253762212,traffic_signals,,POINT (-74.0582309 4.650734)
4.6624667,-74.0570856,253762216,,,POINT (-74.05708559999999 4.6624667)
4.6721558,-74.048702,253762245,traffic_signals,,POINT (-74.04870200000001 4.6721558)
4.6729617,-74.0502048,253762247,,,POINT (-74.0502048 4.6729617)
4.661731,-74.0556818,253762292,traffic_signals,,POINT (-74.0556818 4.661731)
4.6674174,-74.0565484,253762304,traffic_signals,,POINT (-74.0565484 4.6674174)
4.6625224,-74.058597,253762318,traffic_signals,,POINT (-74.05859700000001 4.6625224)
4.6677915,-74.0563486,253845435,,,POINT (-74.05634860000001 4.6677915)
4.6653547,-74.0457685,253845991,,,POINT (-74.04576849999999 4.6653547)
4.6650459,-74.0460722,253846227,,,POINT (-74.0460722 4.6650459)
4.6653477,-74.0577365,253846601,traffic_signals,,POINT (-74.0577365 4.6653477)
4.6660521,-74.0449975,253846736,,,POINT (-74.04499749999999 4.6660521)
