y,x,osmid,highway,ref,geometry
4.656442,-74.0696342,254530325,,,POINT (-74.0696342 4.656442)
4.6204403,-74.0703037,260697818,traffic_signals,,POINT (-74.0703037 4.6204403)
4.6245993,-74.0689928,260697848,traffic_signals,,POINT (-74.0689928 4.6245993)
4.6279203,-74.0683956,260697850,traffic_signals,,POINT (-74.0683956 4.6279203)
4.6246376,-74.0691877,260697873,traffic_signals,,POINT (-74.0691877 4.6246376)
4.6573861,-74.0707598,261817152,traffic_signals,,POINT (-74.0707598 4.6573861)
4.6555961,-74.0684417,261817156,traffic_signals,,POINT (-74.06844169999999 4.6555961)
4.6550783,-74.0676749,261817158,traffic_signals,,POINT (-74.0676749 4.6550783)
4.6536541,-74.0650087,261817164,,,POINT (-74.06500870000001 4.6536541)
4.657287,-74.0707283,261817211,traffic_signals,,POINT (-74.0707283 4.657287)
4.6243767,-74.0677023,262567507,,,POINT (-74.06770229999999 4.6243767)
4.6400363,-74.0700225,263369125,,,POINT (-74.07002249999999 4.6400363)
4.6400557,-74.070143,263369128,traffic_signals,,POINT (-74.070143 4.6400557)
4.6432716,-74.0746139,263369385,,,POINT (-74.0746139 4.6432716)
4.6382012,-74.0765969,263369459,,,POINT (-74.0765969 4.6382012)
4.6430911,-74.0737279,263544125,traffic_signals,,POINT (-74.07372789999999 4.6430911)
4.6258188,-74.0744766,263544135,,,POINT (-74.0744766 4.6258188)
4.6263145,-74.0748349,263544136,,,POINT (-74.0748349 4.6263145)
4.6266147,-74.0750001,263544137,,,POINT (-74.0750001 4.6266147)
4.627046,-74.0751204,263544138,,,POINT (-74.0751204 4.627046)
4.627642,-74.0751684,263544139,traffic_signals,,POINT (-74.0751684 4.627642)
4.6314598,-74.0748494,263544143,,,POINT (-74.07484940000001 4.6314598)
4.632458,-74.0749185,263544144,,,POINT (-74.0749185 4.632458)
4.6327935,-74.0753069,263544146,,,POINT (-74.0753069 4.6327935)
4.6324113,-74.0752416,263544147,,,POINT (-74.0752416 4.6324113)
4.6303114,-74.0752659,263544149,,,POINT (-74.07526590000001 4.6303114)
4.6291727,-74.0753781,263544150,,,POINT (-74.07537809999999 4.6291727)
4.6277963,-74.075504,263544151,,,POINT (-74.075504 4.6277963)
4.6261433,-74.0750785,263544155,,,POINT (-74.0750785 4.6261433)
4.6437655,-74.0770884,263544304,,,POINT (-74.07708839999999 4.6437655)
4.643937,-74.0780594,263544316,,,POINT (-74.0780594 4.643937)
4.6435788,-74.0761554,263544323,,,POINT (-74.0761554 4.6435788)
4.6436752,-74.0766375,263544324,,,POINT (-74.0766375 4.6436752)
4.6360819,-74.0763378,263732478,,,POINT (-74.0763378 4.6360819)
4.6354303,-74.0760388,263776630,,,POINT (-74.07603880000001 4.6354303)
4.6300918,-74.0712066,263776814,,,POINT (-74.0712066 4.6300918)
4.6273248,-74.0672119,263776860,traffic_signals,,POINT (-74.0672119 4.6273248)
4.6274437,-74.0676622,263776866,,,POINT (-74.0676622 4.6274437)
4.628082,-74.0686043,263776867,traffic_signals,,POINT (-74.0686043 4.628082)
4.6302341,-74.0710192,263776874,,,POINT (-74.07101919999999 4.6302341)
4.6304188,-74.0715122,263776957,,,POINT (-74.0715122 4.6304188)
4.625174,-74.0722243,263776990,traffic_signals,,POINT (-74.0722243 4.625174)
4.6311081,-74.0723012,263777109,traffic_signals,,POINT (-74.0723012 4.6311081)
