y,x,osmid,highway,ref,geometry
47.5649798,19.0934832,56672809,,,POINT (19.0934832 47.5649798)
47.5417854,19.0781544,146967797,,,POINT (19.0781544 47.5417854)
47.5649771,19.0932602,317182758,,,POINT (19.0932602 47.5649771)
47.5651378,19.0996249,1251658328,,,POINT (19.0996249 47.5651378)
47.5415791,19.0780903,1382915959,,,POINT (19.0780903 47.5415791)
47.5413841,19.077999,1387110890,crossing,,POINT (19.077999 47.5413841)
47.5653223,19.1062518,3988229466,,,POINT (19.1062518 47.5653223)
47.5651533,19.1002839,3988244456,traffic_signals,,POINT (19.1002839 47.5651533)
47.5653082,19.1058329,3989890564,,,POINT (19.1058329 47.5653082)
47.5651483,19.1000678,5887919087,,,POINT (19.1000678 47.5651483)
47.5283945,19.1670721,32020618,traffic_signals,,POINT (19.1670721 47.5283945)
47.5542014,19.0467062,244965267,,,POINT (19.0467062 47.5542014)
47.5556129,19.0473717,244965430,,,POINT (19.0473717 47.5556129)
47.5553043,19.0472411,244965432,,,POINT (19.0472411 47.5553043)
47.5211524,19.0544732,272878389,,,POINT (19.0544732 47.5211524)
47.5548304,19.0470356,285260283,,,POINT (19.0470356 47.5548304)
47.56501,19.0948097,361508917,,,POINT (19.0948097 47.56501)
47.5535486,19.0464033,3034326439,crossing,,POINT (19.0464033 47.5535486)
47.5211891,19.0543171,3479942063,,,POINT (19.0543171 47.5211891)
47.529214,19.1662935,4366791704,,,POINT (19.1662935 47.529214)
47.5535898,19.0464224,5298208269,give_way,,POINT (19.0464224 47.5535898)
47.5211573,19.0544525,5760081152,give_way,,POINT (19.0544525 47.5211573)
47.5289617,19.166536,6018413595,,,POINT (19.166536 47.5289617)
47.5650001,19.0943557,6321959674,,,POINT (19.0943557 47.5650001)
47.4668038,19.1538668,9524847,traffic_signals,,POINT (19.1538668 47.4668038)
47.4618942,19.1494499,9524872,,,POINT (19.1494499 47.4618942)
47.4715834,19.2359001,26883777,,,POINT (19.2359001 47.4715834)
