y,x,osmid,highway,ref,geometry
55.6739848,12.5629057,118725,,,POINT (12.5629057 55.6739848)
55.6619841,12.5584685,118730,,,POINT (12.5584685 55.6619841)
55.6618973,12.5586004,118731,,,POINT (12.5586004 55.6618973)
55.6631079,12.5615292,118732,traffic_signals,,POINT (12.5615292 55.6631079)
55.6630452,12.5617825,118733,,,POINT (12.5617825 55.6630452)
55.6682382,12.5719326,118735,traffic_signals,,POINT (12.5719326 55.6682382)
55.6629637,12.5620199,118737,,,POINT (12.5620199 55.6629637)
55.6628324,12.5617865,118738,,,POINT (12.5617865 55.6628324)
55.662883,12.5620431,118739,,,POINT (12.5620431 55.662883)
55.6613065,12.5578545,118747,traffic_signals,,POINT (12.5578545 55.6613065)
55.6608119,12.5574902,118748,,,POINT (12.5574902 55.6608119)
55.6600085,12.5573081,118749,,,POINT (12.5573081 55.6600085)
55.6590226,12.5572287,118750,,,POINT (12.5572287 55.6590226)
55.6614344,12.5577177,118751,traffic_signals,,POINT (12.5577177 55.6614344)
55.6608028,12.557294,118752,,,POINT (12.557294 55.6608028)
55.6600557,12.5571198,118753,,,POINT (12.5571198 55.6600557)
55.6589873,12.5570326,118754,,,POINT (12.5570326 55.6589873)
55.6583926,12.5569396,118755,,,POINT (12.5569396 55.6583926)
55.65797,12.5564784,118756,,,POINT (12.5564784 55.65797)
55.6575208,12.5555743,118757,,,POINT (12.5555743 55.6575208)
55.6572749,12.5538661,118759,,,POINT (12.5538661 55.6572749)
55.6576004,12.555419,118760,,,POINT (12.555419 55.6576004)
55.6581205,12.5564306,118761,,,POINT (12.5564306 55.6581205)
55.6586516,12.5569031,118762,,,POINT (12.5569031 55.6586516)
55.6540026,12.5422312,118763,traffic_signals,,POINT (12.5422312 55.6540026)
55.6539458,12.5423887,118764,traffic_signals,,POINT (12.5423887 55.6539458)
55.6535294,12.5431926,118765,,,POINT (12.5431926 55.6535294)
55.6524906,12.5463505,118767,,,POINT (12.5463505 55.6524906)
55.6523314,12.5482017,118768,,,POINT (12.5482017 55.6523314)
55.6523677,12.5494687,118769,,,POINT (12.5494687 55.6523677)
55.6550305,12.5434718,118770,,,POINT (12.5434718 55.6550305)
55.6556445,12.5444055,118771,,,POINT (12.5444055 55.6556445)
55.6558495,12.5450161,118772,,,POINT (12.5450161 55.6558495)
55.6565016,12.5491642,118773,,,POINT (12.5491642 55.6565016)
55.656038,12.545362,118774,,,POINT (12.545362 55.656038)
55.6558313,12.5446054,118775,,,POINT (12.5446054 55.6558313)
55.6550515,12.5431891,118776,,,POINT (12.5431891 55.6550515)
55.6513426,12.5401362,118777,,,POINT (12.5401362 55.6513426)
55.6512826,12.539914,118779,traffic_signals,,POINT (12.539914 55.6512826)
55.6509981,12.5399027,118780,traffic_signals,,POINT (12.5399027 55.6509981)
55.6460132,12.5424854,118781,traffic_signals,,POINT (12.5424854 55.6460132)
55.6459572,12.5422863,118782,,,POINT (12.5422863 55.6459572)
55.6456929,12.5419362,118783,,,POINT (12.5419362 55.6456929)
55.6453975,12.5416231,118786,,,POINT (12.5416231 55.6453975)
55.6460772,12.5427315,118787,traffic_signals,,POINT (12.5427315 55.6460772)
55.6443347,12.5443126,118790,,,POINT (12.5443126 55.6443347)
55.6428913,12.5468625,118791,,,POINT (12.5468625 55.6428913)
55.6436206,12.5453691,118792,traffic_signals,,POINT (12.5453691 55.6436206)
55.6425216,12.5477349,118793,,,POINT (12.5477349 55.6425216)
55.641409,12.5510179,118795,,,POINT (12.5510179 55.641409)
55.6410208,12.5530416,118796,traffic_signals,,POINT (12.5530416 55.6410208)
55.6409146,12.5528771,118797,,,POINT (12.5528771 55.6409146)
55.6405255,12.5538004,118798,,,POINT (12.5538004 55.6405255)
55.640096,12.5543203,118799,,,POINT (12.5543203 55.640096)
55.6390792,12.5546296,118800,,,POINT (12.5546296 55.6390792)
55.6408875,12.5542933,118801,,,POINT (12.5542933 55.6408875)
55.6408656,12.5573935,118802,,,POINT (12.5573935 55.6408656)
55.639604,12.5546007,118804,,,POINT (12.5546007 55.639604)
55.6437122,12.5455234,118806,traffic_signals,,POINT (12.5455234 55.6437122)
55.6430552,12.5467438,118807,,,POINT (12.5467438 55.6430552)
55.6424838,12.5480581,118808,,,POINT (12.5480581 55.6424838)
55.6410961,12.5530781,118811,,,POINT (12.5530781 55.6410961)
55.6409837,12.5578253,118814,,,POINT (12.5578253 55.6409837)
55.641528,12.5628636,118817,,,POINT (12.5628636 55.641528)
55.6415519,12.5632342,118818,,,POINT (12.5632342 55.6415519)
55.6415663,12.5636064,118819,,,POINT (12.5636064 55.6415663)
55.641405,12.5635513,118820,,,POINT (12.5635513 55.641405)
55.6411028,12.5602214,118821,,,POINT (12.5602214 55.6411028)
55.6413829,12.5628551,118823,,,POINT (12.5628551 55.6413829)
55.6414286,12.5648004,118824,,,POINT (12.5648004 55.6414286)
55.6415358,12.5652654,118825,,,POINT (12.5652654 55.6415358)
55.6409276,12.5760084,118848,,,POINT (12.5760084 55.6409276)
55.6414722,12.566707,118849,,,POINT (12.566707 55.6414722)
55.6410449,12.5760224,118854,,,POINT (12.5760224 55.6410449)
55.6407829,12.5814007,118857,,,POINT (12.5814007 55.6407829)
55.6407722,12.5820551,118858,,,POINT (12.5820551 55.6407722)
55.6407935,12.5825212,118859,,,POINT (12.5825212 55.6407935)
55.6407118,12.5835712,118860,traffic_signals,,POINT (12.5835712 55.6407118)
55.6406736,12.5826888,118864,,,POINT (12.5826888 55.6406736)
55.6396224,12.5832697,118866,,,POINT (12.5832697 55.6396224)
55.6400712,12.583342,118867,,,POINT (12.583342 55.6400712)
55.6347648,12.5813305,118868,traffic_signals,,POINT (12.5813305 55.6347648)
55.6310571,12.5798675,118869,traffic_signals,,POINT (12.5798675 55.6310571)
55.6211118,12.5758979,118872,,,POINT (12.5758979 55.6211118)
55.6185012,12.5748411,118873,,,POINT (12.5748411 55.6185012)
55.6375881,12.5530679,118874,,,POINT (12.5530679 55.6375881)
55.6363912,12.5509154,118876,,,POINT (12.5509154 55.6363912)
55.6347679,12.5471078,118877,,,POINT (12.5471078 55.6347679)
55.6345499,12.5462323,118878,,,POINT (12.5462323 55.6345499)
55.6342301,12.5451337,118879,,,POINT (12.5451337 55.6342301)
55.633873,12.5443115,118880,,,POINT (12.5443115 55.633873)
55.633194,12.5433893,118881,,,POINT (12.5433893 55.633194)
55.6326361,12.5430222,118882,,,POINT (12.5430222 55.6326361)
55.6316622,12.5428162,118883,,,POINT (12.5428162 55.6316622)
55.6310644,12.5429967,118884,,,POINT (12.5429967 55.6310644)
55.6305315,12.5433314,118885,,,POINT (12.5433314 55.6305315)
55.6298597,12.544196,118886,,,POINT (12.544196 55.6298597)
55.6292452,12.5456648,118887,,,POINT (12.5456648 55.6292452)
