y,x,osmid,highway,ref,geometry
40.7734242,-73.9763115,30978759,,,POINT (-73.97631149999999 40.7734242)
40.725326,-73.976212,42421828,,,POINT (-73.976212 40.725326)
40.72592,-73.975785,42421833,,,POINT (-73.975785 40.72592)
40.7265446,-73.9753144,42421837,,,POINT (-73.9753144 40.7265446)
40.7101452,-74.0126714,42422035,,,POINT (-74.0126714 40.7101452)
40.709687,-74.011674,42422038,traffic_signals,,POINT (-74.011674 40.709687)
40.724504,-74.007029,42423514,,,POINT (-74.007029 40.724504)
40.7677475,-73.9787396,42423677,,,POINT (-73.9787396 40.7677475)
40.7603984,-73.9623046,42423742,,,POINT (-73.9623046 40.7603984)
40.7612341,-73.9626098,42423747,,,POINT (-73.9626098 40.7612341)
40.7783568,-73.9730082,42424229,,,POINT (-73.9730082 40.7783568)
40.7908463,-73.9636779,42424456,,,POINT (-73.96367789999999 40.7908463)
40.7678345,-73.9789031,42424609,crossing,,POINT (-73.9789031 40.7678345)
40.7573468,-73.9950445,42424773,,,POINT (-73.99504450000001 40.7573468)
40.769863,-73.9735247,42424805,,,POINT (-73.9735247 40.769863)
40.7826106,-73.9693717,42424850,,,POINT (-73.9693717 40.7826106)
40.7687616,-73.9799041,42424899,,,POINT (-73.9799041 40.7687616)
40.7923616,-73.9621964,42425231,,,POINT (-73.9621964 40.7923616)
40.7561709,-73.9562644,42425801,,,POINT (-73.95626439999999 40.7561709)
40.754875,-73.957446,42425820,,,POINT (-73.957446 40.754875)
40.75563,-73.956752,42425862,,,POINT (-73.95675199999999 40.75563)
40.7605289,-73.9513774,42426420,,,POINT (-73.9513774 40.7605289)
40.7557805,-73.9542606,42427064,,,POINT (-73.9542606 40.7557805)
40.756636,-73.955814,42427070,stop,,POINT (-73.955814 40.756636)
40.732369,-74.005816,42427898,,,POINT (-74.005816 40.732369)
40.7798309,-73.971203,42427919,crossing,,POINT (-73.971203 40.7798309)
40.7430463,-73.9891667,42428212,traffic_signals,,POINT (-73.9891667 40.7430463)
40.7294709,-74.0051447,42430761,traffic_signals,,POINT (-74.0051447 40.7294709)
40.730321,-74.004688,42430770,traffic_signals,,POINT (-74.004688 40.730321)
40.730719,-74.00446,42430782,traffic_signals,,POINT (-74.00445999999999 40.730719)
