y,x,osmid,highway,ref,geometry
40.7980478,-73.9600437,42421728,traffic_signals,,POINT (-73.9600437 40.7980478)
40.798645,-73.9614743,42421731,traffic_signals,,POINT (-73.96147430000001 40.798645)
40.7992545,-73.962886,42421737,traffic_signals,,POINT (-73.962886 40.7992545)
40.8004313,-73.9657046,42421741,traffic_signals,,POINT (-73.9657046 40.8004313)
40.8014007,-73.9679942,42421745,traffic_signals,,POINT (-73.96799420000001 40.8014007)
40.8016441,-73.9685711,42421749,traffic_signals,,POINT (-73.96857110000001 40.8016441)
40.8022679,-73.9700504,42421751,,,POINT (-73.97005040000001 40.8022679)
40.7826383,-73.9750067,42421769,traffic_signals,,POINT (-73.97500669999999 40.7826383)
40.783828,-73.9778254,42421772,traffic_signals,,POINT (-73.9778254 40.783828)
40.7845691,-73.9795827,42421775,traffic_signals,,POINT (-73.97958269999999 40.7845691)
40.7850311,-73.9806779,42421776,traffic_signals,,POINT (-73.9806779 40.7850311)
40.7855935,-73.9820114,42421778,,,POINT (-73.9820114 40.7855935)
40.8593027,-73.9313326,42421783,traffic_signals,,POINT (-73.9313326 40.8593027)
40.858744,-73.930122,42421785,,,POINT (-73.930122 40.858744)
40.859012,-73.927625,42421786,,,POINT (-73.92762500000001 40.859012)
40.8597008,-73.927144,42421788,,,POINT (-73.927144 40.8597008)
40.859944,-73.926786,42421791,,,POINT (-73.92678600000001 40.859944)
40.7839863,-73.9703136,42421800,traffic_signals,,POINT (-73.9703136 40.7839863)
40.7851818,-73.9731496,42421803,traffic_signals,,POINT (-73.9731496 40.7851818)
40.7863627,-73.9759753,42421806,traffic_signals,,POINT (-73.9759753 40.7863627)
40.7870877,-73.9776927,42421809,traffic_signals,,POINT (-73.97769270000001 40.7870877)
40.7875673,-73.9788289,42421810,traffic_signals,,POINT (-73.9788289 40.7875673)
40.7885135,-73.9810702,42421820,traffic_signals,,POINT (-73.9810702 40.7885135)
40.725326,-73.976212,42421828,,,POINT (-73.976212 40.725326)
40.72592,-73.975785,42421833,,,POINT (-73.975785 40.72592)
40.7265446,-73.9753144,42421837,,,POINT (-73.9753144 40.7265446)
40.8126219,-73.9568234,42421852,,,POINT (-73.9568234 40.8126219)
40.8138307,-73.9598214,42421857,traffic_signals,,POINT (-73.9598214 40.8138307)
40.814184,-73.9606929,42421865,,,POINT (-73.9606929 40.814184)
40.7328593,-73.9959038,42421877,traffic_signals,,POINT (-73.99590379999999 40.7328593)
40.7341472,-73.9990143,42421882,crossing,,POINT (-73.9990143 40.7341472)
40.7341463,-73.9991816,42421889,traffic_signals,,POINT (-73.9991816 40.7341463)
40.734783,-73.999248,42421901,,,POINT (-73.99924799999999 40.734783)
40.726263,-73.994403,42421927,,,POINT (-73.99440300000001 40.726263)
40.704221,-74.0087998,42421941,traffic_signals,,POINT (-74.00879980000001 40.704221)
40.703813,-74.008325,42421946,,,POINT (-74.008325 40.703813)
40.7033242,-74.0077787,42421951,traffic_signals,,POINT (-74.0077787 40.7033242)
40.7041084,-74.0089696,42421960,traffic_signals,,POINT (-74.0089696 40.7041084)
40.7032082,-74.0079771,42421965,traffic_signals,,POINT (-74.00797710000001 40.7032082)
40.7692723,-73.9810245,42421969,traffic_signals,,POINT (-73.9810245 40.7692723)
40.7697921,-73.9822548,42421972,traffic_signals,,POINT (-73.98225480000001 40.7697921)
40.7704805,-73.9838467,42421974,traffic_signals,,POINT (-73.9838467 40.7704805)
40.7716682,-73.9866896,42421982,traffic_signals,,POINT (-73.98668960000001 40.7716682)
40.7728658,-73.9895487,42421985,traffic_signals,,POINT (-73.9895487 40.7728658)
40.7872303,-73.9679486,42421993,traffic_signals,,POINT (-73.9679486 40.7872303)
40.7884319,-73.9707848,42421996,traffic_signals,,POINT (-73.9707848 40.7884319)
40.7896131,-73.9736025,42422000,traffic_signals,,POINT (-73.9736025 40.7896131)
40.7902552,-73.9751319,42422006,traffic_signals,,POINT (-73.97513189999999 40.7902552)
40.7908141,-73.976449,42422016,traffic_signals,,POINT (-73.976449 40.7908141)
40.7917606,-73.9786893,42422018,traffic_signals,,POINT (-73.9786893 40.7917606)
40.7115654,-74.0158085,42422026,traffic_signals,,POINT (-74.01580850000001 40.7115654)
40.7110102,-74.0143968,42422028,traffic_signals,,POINT (-74.0143968 40.7110102)
40.7105491,-74.0134216,42422032,,,POINT (-74.0134216 40.7105491)
40.7101452,-74.0126714,42422035,,,POINT (-74.0126714 40.7101452)
40.709687,-74.011674,42422038,traffic_signals,,POINT (-74.011674 40.709687)
40.7091439,-74.010521,42422042,traffic_signals,,POINT (-74.010521 40.7091439)
40.708756,-74.00966,42422046,,,POINT (-74.00966 40.708756)
40.708614,-74.009371,42422050,,,POINT (-74.009371 40.708614)
40.7077219,-74.008269,42422053,,,POINT (-74.008269 40.7077219)
40.8016857,-73.9334643,42422086,,,POINT (-73.9334643 40.8016857)
40.8020305,-73.9338022,42422101,,,POINT (-73.9338022 40.8020305)
40.8021434,-73.9337698,42422110,,,POINT (-73.93376979999999 40.8021434)
40.8021279,-73.9328482,42422168,,,POINT (-73.9328482 40.8021279)
40.8011206,-73.9303364,42422180,,,POINT (-73.9303364 40.8011206)
40.8009061,-73.9300497,42422186,,,POINT (-73.9300497 40.8009061)
40.8008237,-73.9300444,42422193,,,POINT (-73.9300444 40.8008237)
40.8005937,-73.9301133,42422199,,,POINT (-73.9301133 40.8005937)
40.8004448,-73.9304789,42422202,,,POINT (-73.9304789 40.8004448)
40.8006413,-73.9310755,42422207,,,POINT (-73.93107550000001 40.8006413)
40.7482137,-74.0074126,42422258,traffic_signals,,POINT (-74.00741259999999 40.7482137)
40.7064526,-74.002383,42422270,motorway_junction,2,POINT (-74.00238299999999 40.7064526)
40.7076356,-74.0001056,42422273,,,POINT (-74.0001056 40.7076356)
40.7083802,-74.0000678,42422281,,,POINT (-74.0000678 40.7083802)
40.7094916,-74.001657,42422283,traffic_signals,,POINT (-74.00165699999999 40.7094916)
40.7441766,-73.9714974,42422289,,,POINT (-73.9714974 40.7441766)
40.7979661,-73.9223431,42422359,,,POINT (-73.92234310000001 40.7979661)
40.7854081,-73.983689,42422366,,,POINT (-73.983689 40.7854081)
40.7853803,-73.9834093,42422376,,,POINT (-73.98340930000001 40.7853803)
40.7854065,-73.9832471,42422380,,,POINT (-73.9832471 40.7854065)
40.7855491,-73.9831067,42422387,,,POINT (-73.98310669999999 40.7855491)
40.7856081,-73.9830003,42422388,,,POINT (-73.9830003 40.7856081)
40.785771,-73.9830182,42422391,,,POINT (-73.9830182 40.785771)
40.7864428,-73.9830226,42422393,,,POINT (-73.9830226 40.7864428)
40.786773,-73.9829824,42422395,,,POINT (-73.9829824 40.786773)
40.7871546,-73.9829165,42422397,,,POINT (-73.9829165 40.7871546)
40.7874858,-73.9828607,42422398,,,POINT (-73.9828607 40.7874858)
40.7877568,-73.9828491,42422399,,,POINT (-73.9828491 40.7877568)
40.798297,-73.9292593,42422414,,,POINT (-73.9292593 40.798297)
40.799247,-73.9293597,42422426,,,POINT (-73.92935970000001 40.799247)
40.7995354,-73.9294202,42422429,,,POINT (-73.9294202 40.7995354)
40.7997206,-73.929518,42422432,,,POINT (-73.929518 40.7997206)
40.8006833,-73.9311199,42422449,,,POINT (-73.9311199 40.8006833)
40.8013887,-73.9308937,42422457,,,POINT (-73.9308937 40.8013887)
40.8014128,-73.9307544,42422459,,,POINT (-73.9307544 40.8014128)
40.8014128,-73.9305971,42422461,,,POINT (-73.9305971 40.8014128)
40.8013238,-73.9302967,42422463,,,POINT (-73.9302967 40.8013238)
40.801443,-73.9301039,42422466,,,POINT (-73.93010390000001 40.801443)
