u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,bridge,access,est_width,tunnel,ref,junction
42421877,42437949,0,195743341,True,5th Avenue,secondary,25 mph,77.039,"LINESTRING (-73.99590379999999 40.7328593, -73.996351 40.732255)",,,,,,,,
42421889,4320194262,0,451905565,True,6th Avenue,secondary,25 mph,8.953,"LINESTRING (-73.9991816 40.7341463, -73.9991284 40.734216)",,,,,,,,
42421927,42445520,0,420358898,True,Lafayette Street,secondary,25 mph,47.859,"LINESTRING (-73.99440300000001 40.726263, -73.994129 40.72664)",,,,,,,,
42421982,7341396374,0,5671056,True,Amsterdam Avenue,primary,25 mph,8.769,"LINESTRING (-73.98668960000001 40.7716682, -73.9866399 40.7717375)",3,,,,,,,
42422042,5083818851,0,222299275,True,Broadway,secondary,25 mph,7.264,"LINESTRING (-74.010521 40.7091439, -74.01056730000001 40.7090888)",3,,,,,,,
42427369,42454378,0,68668541,True,5th Avenue,secondary,25 mph,74.392,"LINESTRING (-73.990945 40.739673, -73.9913746 40.7390885)",,,,,,,,
42427371,42430265,0,196117090,True,6th Avenue,secondary,25 mph,74.531,"LINESTRING (-73.9941671 40.7410305, -73.9937398 40.7416174)",,,,,,,,
42427374,42439834,0,813970416,True,7th Avenue,secondary,25 mph,74.431,"LINESTRING (-73.997007 40.742228, -73.997434 40.741642)",,,,,,,,
42427423,42430274,0,630828586,True,6th Avenue,secondary,25 mph,78.337,"LINESTRING (-73.9923179 40.7435682, -73.991871 40.744186)",,,,,,,,
42427426,4205565532,0,420598327,True,7th Avenue,secondary,25 mph,42.176,"LINESTRING (-73.9951595 40.744765, -73.99540159999999 40.744433)",,,,,,,,
42427786,5481897724,0,5669669,True,West 29th Street,residential,25 mph,75.786,"LINESTRING (-73.986846 40.745301, -73.9876324 40.745632)",,,,,,,,
42427787,42427797,0,5669669,True,West 29th Street,residential,25 mph,140.262,"LINESTRING (-73.98861220000001 40.7460455, -73.990067 40.746659)",,,,,,,,
42427787,7369969937,0,788278350,True,Broadway,tertiary,25 mph,50.51,"LINESTRING (-73.98861220000001 40.7460455, -73.9886959 40.7455957)",1,,,,,,,
42427797,4493840501,0,5669669,True,West 29th Street,residential,25 mph,43.917,"LINESTRING (-73.990067 40.746659, -73.99052279999999 40.7468507)",,,,,,,,
42427797,42430288,0,489019752,True,6th Avenue,secondary,25 mph,78.481,"LINESTRING (-73.990067 40.746659, -73.989617 40.747277)",,,,,,,,
42427805,7653745266,0,5669669,True,West 29th Street,residential,25 mph,75.601,"LINESTRING (-73.9929106 40.7478553, -73.9936948 40.7481859)",,,,,,,,
42427805,6899374959,0,420512231,True,7th Avenue,secondary,25 mph,70.117,"LINESTRING (-73.9929106 40.7478553, -73.9933132 40.7473034)",,,,,,,,
42427812,6211484435,0,5669669,True,West 29th Street,residential,25 mph,10.665,"LINESTRING (-73.99574920000001 40.7490521, -73.99585999999999 40.7490985)",,,,,,,,
42427817,2703228467,0,711147865,True,West 29th Street,residential,25 mph,60.549,"LINESTRING (-73.998626 40.7502567, -73.99925399999999 40.7505216)",,,,,,,,
42427821,6865730145,0,711147864,True,West 29th Street,unclassified,25 mph,67.684,"LINESTRING (-74.0014254 40.7514485, -74.0021278 40.7517441)",,,,,,,,
42427859,4321038144,0,5670131,False,Dyckman Street,primary,,11.529,"LINESTRING (-73.926011 40.863575, -73.9259512 40.8634817)",,,,,,,,
42427859,4321038149,0,5670131,False,Dyckman Street,primary,,13.447,"LINESTRING (-73.926011 40.863575, -73.92608079999999 40.8636838)",,,,,,,,
42428227,42427787,0,788278350,True,Broadway,tertiary,25 mph,85.591,"LINESTRING (-73.9884704 40.7468077, -73.98861220000001 40.7460455)",1,,,,,,,
42428232,6223969247,0,46581216,True,Broadway,tertiary,25 mph,7.412,"LINESTRING (-73.98833209999999 40.7475512, -73.9883444 40.7474852)",,,,,,,,
42428244,4886228960,0,439933932,True,6th Avenue,secondary,25 mph,47.237,"LINESTRING (-73.98820259999999 40.7491988, -73.9879243 40.7495676)",,,,,,,,
42428297,6597464486,0,682360554,True,7th Avenue,secondary,25 mph,9.294,"LINESTRING (-73.9855335 40.7579634, -73.9855891 40.7578912)",4,,,,,,,
42428321,3463816118,0,499172074,True,West 55th Street,residential,,8.158,"LINESTRING (-73.98226270000001 40.7647568, -73.98234739999999 40.7647924)",1,,,,,,,
42428366,7335430601,0,222299275,True,Broadway,secondary,25 mph,2.678,"LINESTRING (-74.0125152 40.7067705, -74.0125323 40.7067502)",3,,,,,,,
42428368,7335430598,0,222299275,True,Broadway,secondary,25 mph,7.761,"LINESTRING (-74.01194390000001 40.7074505, -74.0119933 40.7073916)",3,,,,,,,
42428370,42428368,0,222299275,True,Broadway,secondary,25 mph,40.912,"LINESTRING (-74.0116831 40.7077608, -74.01194390000001 40.7074505)",3,,,,,,,
42428371,5083818843,0,222299275,True,Broadway,secondary,25 mph,5.046,"LINESTRING (-74.0112329 40.7082967, -74.01126499999999 40.7082584)",3,,,,,,,
42428373,5083818841,0,222299275,True,Broadway,secondary,25 mph,31.689,"LINESTRING (-74.0109934 40.7085817, -74.0111953 40.7083413)",3,,,,,,,
42428374,5083818844,0,222299275,True,Broadway,secondary,25 mph,5.389,"LINESTRING (-74.01082220000001 40.7087855, -74.0108565 40.7087446)",3,,,,,,,
42428376,5083818850,0,222299275,True,Broadway,secondary,25 mph,75.515,"LINESTRING (-74.0099714 40.709798, -74.0104527 40.7092252)",3,,,,,,,
42428377,42428376,0,222299275,True,Broadway,secondary,25 mph,69.012,"LINESTRING (-74.0095316 40.7103215, -74.0099714 40.709798)",3,,,,,,,
42428379,42428377,0,222299275,True,Broadway,secondary,25 mph,11.196,"LINESTRING (-74.00946020000001 40.7104064, -74.0095316 40.7103215)",3,,,,,,,
42428385,42428379,0,222299275,True,Broadway,secondary,25 mph,63.057,"LINESTRING (-74.00905830000001 40.7108847, -74.00946020000001 40.7104064)",3,,,,,,,
42428391,4741363709,0,222299275,True,Broadway,secondary,25 mph,10.731,"LINESTRING (-74.0086338 40.7113899, -74.0087022 40.7113085)",3,,,,,,,
42428489,5357086126,0,5671429,True,East 12th Street,residential,25 mph,62.657,"LINESTRING (-73.991114 40.733214, -73.9904648 40.7329392)",,,,,,,,
42428491,42436935,0,25162679,True,East 13th Street,residential,25 mph,126.277,"LINESTRING (-73.990945 40.733978, -73.9922554 40.7345291)",1,,,,,,,
42428984,2499802967,0,242514169,True,West 170th Street,residential,,219.935,"LINESTRING (-73.939255 40.842436, -73.94154880000001 40.8433852)",,,,,,,,
42428984,4378236664,0,440122914,False,West 170th Street,cycleway,,17.587,"LINESTRING (-73.939255 40.842436, -73.93912640000001 40.8423113)",,,,,,,,
42429215,42432795,0,5670131,False,Dyckman Street,primary,,124.514,"LINESTRING (-73.9272714 40.8655306, -73.92662 40.864525)",,,,,,,,
42429373,42429374,0,5669806,True,West 13th Street,residential,25 mph,310.553,"LINESTRING (-73.994118 40.735313, -73.99734100000001 40.736668)",1,,,,,,,
42429373,42439070,0,195743341,True,5th Avenue,secondary,25 mph,81.416,"LINESTRING (-73.994118 40.735313, -73.994585 40.734672)",,,,,,,,
42429374,42429375,0,5669806,True,West 13th Street,residential,25 mph,273.113,"LINESTRING (-73.99734100000001 40.736668, -74.0001742 40.7378614)",1,,,,,,,
42429374,5413254263,0,496979224,True,6th Avenue,secondary,25 mph,85.468,"LINESTRING (-73.99734100000001 40.736668, -73.99685359999999 40.7373421)",,,,,,,,
42429375,42429377,0,5669806,True,West 13th Street,residential,25 mph,189.693,"LINESTRING (-74.0001742 40.7378614, -74.0021545 40.7386731)",1,,,,,,,
