u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,bridge,name,tunnel
42423189,7471981752,0,695644410,True,2,motorway_link,30 mph,61.386,"LINESTRING (-73.9329248 40.8033714, -73.9325881 40.8038611)",,,
42423539,4158786460,0,32922468,True,2,motorway_link,30 mph,3.607,"LINESTRING (-74.0039754 40.7124274, -74.00393579999999 40.7124397)",,,
42423610,1272562752,0,46177164,True,2,motorway_link,30 mph,2.825,"LINESTRING (-74.00423790000001 40.7114313, -74.0042102 40.7114456)",yes,,
42423625,1272562837,0,25562077,True,1,motorway_link,30 mph,4.101,"LINESTRING (-74.0032719 40.7117045, -74.0032382 40.7117311)",yes,,
42423628,1272562822,0,414746383,True,1,motorway_link,30 mph,3.646,"LINESTRING (-74.0031034 40.7117899, -74.0030608 40.7117956)",yes,,
42423640,4158665078,0,533472710,True,1,motorway_link,30 mph,175.581,"LINESTRING (-74.0018391 40.7104426, -74.0003853 40.7093117)",yes,,
42423647,4158665072,0,533472710,True,1,motorway_link,30 mph,5.036,"LINESTRING (-74.00031420000001 40.7092444, -74.0002811 40.7092067)",yes,,
42426135,3786728788,0,695644410,True,2,motorway_link,30 mph,38.432,"LINESTRING (-73.9323547 40.8039448, -73.9318992 40.8039688)",,,
42426156,371320656,0,695644410,True,2,motorway_link,30 mph,18.151,"LINESTRING (-73.93139739999999 40.8039952, -73.9311969 40.8040553)",,,
42427782,1210384798,0,104984000,True,,residential,30 mph,102.158,"LINESTRING (-73.93298299999999 40.858113, -73.9334312 40.8572591)",,Bennett Avenue,
42428674,42431037,0,68668560,False,4,secondary,30 mph,120.818,"LINESTRING (-73.9766072 40.7883609, -73.9778627 40.7888872)",,West 86th Street,
42431037,42428674,0,68668560,False,4,secondary,30 mph,120.818,"LINESTRING (-73.9778627 40.7888872, -73.9766072 40.7883609)",,West 86th Street,
42431037,42441564,0,320464097,False,4,secondary,30 mph,241.24,"LINESTRING (-73.9778627 40.7888872, -73.98036930000001 40.7899385)",,West 86th Street,
42441564,42431037,0,320464097,False,4,secondary,30 mph,241.24,"LINESTRING (-73.98036930000001 40.7899385, -73.9778627 40.7888872)",,West 86th Street,
42453792,4158737900,0,5672337,True,2,motorway_link,30 mph,95.35,"LINESTRING (-74.00091980000001 40.7090515, -74.00173030000001 40.7096497)",yes,,
42454313,2348610406,0,104984000,True,,residential,30 mph,2.049,"LINESTRING (-73.9321996 40.8595212, -73.93222040000001 40.8595116)",,Bennett Avenue,
205025963,4158737889,0,5672337,True,2,motorway_link,30 mph,11.929,"LINESTRING (-74.0006783 40.7089011, -74.0007883 40.7089686)",yes,,
205025964,205025963,0,5672337,True,2,motorway_link,30 mph,12.125,"LINESTRING (-74.00056429999999 40.7088346, -74.0006783 40.7089011)",yes,,
274308392,274308393,0,32922453,True,2,motorway_link,30 mph,5.831,"LINESTRING (-74.0045107 40.7124451, -74.00450410000001 40.7124973)",,,
274308393,4143892293,0,32922453,True,2,motorway_link,30 mph,5.775,"LINESTRING (-74.00450410000001 40.7124973, -74.00449260000001 40.7125485)",,,
278608420,4158693307,0,25564137,True,1,motorway_link,30 mph,11.003,"LINESTRING (-74.00003719999999 40.7080905, -74.0000926 40.7081801)",yes,,
278608420,4158693302,0,46224850,True,1,motorway_link,30 mph,9.188,"LINESTRING (-74.00003719999999 40.7080905, -74.00006449999999 40.7081705)",yes,,
278608509,588455737,0,25564137,True,1,motorway_link,30 mph,54.461,"LINESTRING (-74.000479 40.7085984, -74.0009269 40.7089514)",yes,,
278608510,4158693308,0,25564137,True,1,motorway_link,30 mph,8.739,"LINESTRING (-74.00018179999999 40.7083083, -74.0002387 40.708374)",yes,,
278608816,278609071,0,5672337,True,2,motorway_link,30 mph,43.813,"LINESTRING (-73.99930879999999 40.708495, -73.9998162 40.7085805)",yes,,
278609071,4158737895,0,5672337,True,2,motorway_link,30 mph,6.348,"LINESTRING (-73.9998162 40.7085805, -73.9998889 40.7085954)",yes,,
278609072,4158737893,0,5672337,True,2,motorway_link,30 mph,6.266,"LINESTRING (-74.000441 40.7087704, -74.0005029 40.7088016)",yes,,
278636741,4143892292,0,32922453,True,2,motorway_link,30 mph,5.785,"LINESTRING (-74.0044499 40.7122485, -74.0044767 40.7122964)",,,
278637105,4158786434,0,32922468,True,2,motorway_link,30 mph,4.713,"LINESTRING (-74.0041358 40.712046, -74.004158 40.7120849)",,,
278637106,1272562811,0,32922468,True,2,motorway_link,30 mph,5.036,"LINESTRING (-74.0041713 40.712169, -74.00416250000001 40.7122138)",,,
278637107,1272562809,0,32922468,True,2,motorway_link,30 mph,4.412,"LINESTRING (-74.0041507 40.7122572, -74.0041336 40.7122947)",,,
278637756,1272562818,0,414746383,True,1,motorway_link,30 mph,3.929,"LINESTRING (-74.00296400000001 40.7117955, -74.0029186 40.7117875)",yes,,
278638231,1272562854,0,25562077,True,1,motorway_link,30 mph,5.732,"LINESTRING (-74.00327249999999 40.7113616, -74.0032973 40.7114096)",yes,,
278638232,1272562857,0,25562077,True,1,motorway_link,30 mph,3.292,"LINESTRING (-74.00333670000001 40.711559, -74.0033334 40.7115885)",yes,,
278638233,1272562842,0,25562077,True,1,motorway_link,30 mph,3.474,"LINESTRING (-74.0033147 40.7116474, -74.00329809999999 40.711676)",yes,,
278638234,4158753832,0,25564255,True,,motorway_link,30 mph,13.942,"LINESTRING (-74.00274330000001 40.7116882, -74.0026517 40.7115838)",yes,,
278638234,278638235,0,533472710,True,1,motorway_link,30 mph,41.797,"LINESTRING (-74.00274330000001 40.7116882, -74.0025942 40.7113297)",yes,,
278638235,4158753830,0,533472710,True,1,motorway_link,30 mph,6.41,"LINESTRING (-74.0025942 40.7113297, -74.0025698 40.7112751)",yes,,
278638237,4158753828,0,533472710,True,1,motorway_link,30 mph,6.853,"LINESTRING (-74.002472 40.711105, -74.0024361 40.7110497)",yes,,
278638238,4158753822,0,533472710,True,1,motorway_link,30 mph,11.76,"LINESTRING (-74.0021268 40.7106861, -74.00203740000001 40.7106049)",yes,,
278638344,4158764229,0,25564255,True,,motorway_link,30 mph,8.399,"LINESTRING (-74.0023089 40.711063, -74.00226290000001 40.710996)",yes,,
278638345,588455883,0,32922456,True,,motorway_link,30 mph,40.959,"LINESTRING (-74.0019052 40.7106242, -74.00158190000001 40.7103492)",,,
278640085,4143885429,0,165733924,True,,motorway_link,30 mph,5.699,"LINESTRING (-74.00487390000001 40.7120699, -74.0049324 40.7120956)",,,
278640086,4143885431,0,420888150,True,,motorway_link,30 mph,5.706,"LINESTRING (-74.00533179999999 40.7121687, -74.0053995 40.7121685)",,,
278640455,278640456,0,165733924,True,,motorway_link,30 mph,6.472,"LINESTRING (-74.00436329999999 40.7118428, -74.0044379 40.7118566)",,,
278640456,1272562691,0,165733924,True,,motorway_link,30 mph,6.826,"LINESTRING (-74.0044379 40.7118566, -74.0045138 40.711878)",,,
278640797,1369956654,0,5669636,True,2,motorway_link,30 mph,31.197,"LINESTRING (-74.0048252 40.7123472, -74.00457249999999 40.7121422)",,,
278642253,1701871920,0,46177164,True,2,motorway_link,30 mph,3.227,"LINESTRING (-74.004048 40.711478, -74.0040099 40.7114751)",yes,,
278642294,1272562730,0,46177164,True,2,motorway_link,30 mph,2.977,"LINESTRING (-74.0043106 40.7113766, -74.0042892 40.7113979)",yes,,
278642478,278642480,0,5672337,True,2,motorway_link,30 mph,35.14,"LINESTRING (-74.0036798 40.7109282, -74.0040899 40.7109851)",yes,,
278642480,1701871915,0,46177164,True,2,motorway_link,30 mph,4.081,"LINESTRING (-74.0040899 40.7109851, -74.0041373 40.7109926)",yes,,
278642481,1272562718,0,46177164,True,2,motorway_link,30 mph,2.437,"LINESTRING (-74.0043539 40.7111456, -74.00436259999999 40.7111665)",yes,,
278642768,4143875759,0,25564540,True,2,motorway_link,30 mph,5.84,"LINESTRING (-74.0056278 40.7120478, -74.0055614 40.7120628)",,,
278642769,1272562790,0,25564540,True,2,motorway_link,30 mph,5.394,"LINESTRING (-74.00536219999999 40.7120864, -74.0052982 40.7120861)",,,
278642770,4143875751,0,25564540,True,2,motorway_link,30 mph,5.799,"LINESTRING (-74.0052306 40.7120806, -74.0051629 40.7120713)",,,
278642771,4143875731,0,25564540,True,2,motorway_link,30 mph,6.503,"LINESTRING (-74.0050279 40.7120347, -74.0049609 40.7120057)",,,
278642772,1272562780,0,122660458,True,1,motorway_link,30 mph,7.178,"LINESTRING (-74.0046636 40.7118441, -74.0045904 40.7118111)",yes,,
278644847,1272562919,0,32922464,True,,motorway_link,30 mph,5.632,"LINESTRING (-74.002959 40.7107085, -74.00300900000001 40.7107421)",yes,,
278646241,4158737890,0,5672337,True,2,motorway_link,30 mph,6.045,"LINESTRING (-74.0030453 40.7106833, -74.0030962 40.7107216)",yes,,
278646362,42453792,0,46177171,True,1,motorway_link,30 mph,69.881,"LINESTRING (-74.000365 40.7085845, -74.00091980000001 40.7090515)",yes,,
278646363,4158693320,0,46224850,True,1,motorway_link,30 mph,6.634,"LINESTRING (-74.0002282 40.7084486, -74.0002731 40.7084976)",yes,,
278646364,4158693310,0,46224850,True,1,motorway_link,30 mph,6.38,"LINESTRING (-74.00011859999999 40.7082918, -74.0001503 40.7083439)",yes,,
370705004,4143883226,0,5669636,True,2,motorway_link,30 mph,2.974,"LINESTRING (-74.0048445 40.7124759, -74.00485329999999 40.71245)",,,
370759316,4158738304,0,32922464,True,,motorway_link,30 mph,94.334,"LINESTRING (-74.0021361 40.7100568, -74.0029091 40.7106703)",yes,,
