y,x,osmid,highway,geometry
40.7094916,-74.001657,42422283,traffic_signals,POINT (-74.00165699999999 40.7094916)
40.8033714,-73.9329248,42423189,,POINT (-73.9329248 40.8033714)
40.7124274,-74.0039754,42423539,,POINT (-74.0039754 40.7124274)
40.7595738,-73.960551,42423579,,POINT (-73.960551 40.7595738)
40.7114313,-74.0042379,42423610,,POINT (-74.00423790000001 40.7114313)
40.7117045,-74.0032719,42423625,,POINT (-74.0032719 40.7117045)
40.7117899,-74.0031034,42423628,,POINT (-74.0031034 40.7117899)
40.7104426,-74.0018391,42423640,,POINT (-74.0018391 40.7104426)
40.7092444,-74.0003142,42423647,,POINT (-74.00031420000001 40.7092444)
40.8039448,-73.9323547,42426135,,POINT (-73.9323547 40.8039448)
40.8039952,-73.9313974,42426156,,POINT (-73.93139739999999 40.8039952)
40.858113,-73.932983,42427782,,POINT (-73.93298299999999 40.858113)
40.7883609,-73.9766072,42428674,traffic_signals,POINT (-73.9766072 40.7883609)
40.7888872,-73.9778627,42431037,traffic_signals,POINT (-73.9778627 40.7888872)
40.752541,-73.9649107,42438898,,POINT (-73.9649107 40.752541)
40.7899385,-73.9803693,42441564,traffic_signals,POINT (-73.98036930000001 40.7899385)
40.7090515,-74.0009198,42453792,,POINT (-74.00091980000001 40.7090515)
40.8595212,-73.9321996,42454313,,POINT (-73.9321996 40.8595212)
40.7089011,-74.0006783,205025963,,POINT (-74.0006783 40.7089011)
40.7088346,-74.0005643,205025964,,POINT (-74.00056429999999 40.7088346)
40.7124451,-74.0045107,274308392,,POINT (-74.0045107 40.7124451)
40.7124973,-74.0045041,274308393,,POINT (-74.00450410000001 40.7124973)
40.7595453,-73.9605601,276032821,,POINT (-73.9605601 40.7595453)
40.7080905,-74.0000372,278608420,motorway_junction,POINT (-74.00003719999999 40.7080905)
40.7085984,-74.000479,278608509,,POINT (-74.000479 40.7085984)
40.7083083,-74.0001818,278608510,,POINT (-74.00018179999999 40.7083083)
40.708574,-74.0001685,278608718,,POINT (-74.0001685 40.708574)
40.708495,-73.9993088,278608816,,POINT (-73.99930879999999 40.708495)
40.7085805,-73.9998162,278609071,,POINT (-73.9998162 40.7085805)
40.7087704,-74.000441,278609072,,POINT (-74.000441 40.7087704)
40.7122485,-74.0044499,278636741,,POINT (-74.0044499 40.7122485)
40.712046,-74.0041358,278637105,,POINT (-74.0041358 40.712046)
40.712169,-74.0041713,278637106,,POINT (-74.0041713 40.712169)
40.7122572,-74.0041507,278637107,,POINT (-74.0041507 40.7122572)
40.7117955,-74.002964,278637756,,POINT (-74.00296400000001 40.7117955)
40.7113616,-74.0032725,278638231,,POINT (-74.00327249999999 40.7113616)
40.711559,-74.0033367,278638232,,POINT (-74.00333670000001 40.711559)
40.7116474,-74.0033147,278638233,,POINT (-74.0033147 40.7116474)
40.7116882,-74.0027433,278638234,,POINT (-74.00274330000001 40.7116882)
40.7113297,-74.0025942,278638235,,POINT (-74.0025942 40.7113297)
40.711105,-74.002472,278638237,,POINT (-74.002472 40.711105)
40.7106861,-74.0021268,278638238,,POINT (-74.0021268 40.7106861)
40.711063,-74.0023089,278638344,,POINT (-74.0023089 40.711063)
40.7106242,-74.0019052,278638345,,POINT (-74.0019052 40.7106242)
40.7120699,-74.0048739,278640085,,POINT (-74.00487390000001 40.7120699)
40.7121687,-74.0053318,278640086,,POINT (-74.00533179999999 40.7121687)
40.7118428,-74.0043633,278640455,,POINT (-74.00436329999999 40.7118428)
40.7118566,-74.0044379,278640456,,POINT (-74.0044379 40.7118566)
40.7123472,-74.0048252,278640797,,POINT (-74.0048252 40.7123472)
40.711478,-74.004048,278642253,,POINT (-74.004048 40.711478)
40.7113766,-74.0043106,278642294,,POINT (-74.0043106 40.7113766)
40.7109282,-74.0036798,278642478,,POINT (-74.0036798 40.7109282)
40.7109851,-74.0040899,278642480,,POINT (-74.0040899 40.7109851)
40.7111456,-74.0043539,278642481,,POINT (-74.0043539 40.7111456)
40.7120478,-74.0056278,278642768,,POINT (-74.0056278 40.7120478)
40.7120864,-74.0053622,278642769,,POINT (-74.00536219999999 40.7120864)
40.7120806,-74.0052306,278642770,,POINT (-74.0052306 40.7120806)
40.7120347,-74.0050279,278642771,,POINT (-74.0050279 40.7120347)
40.7118441,-74.0046636,278642772,,POINT (-74.0046636 40.7118441)
40.7107085,-74.002959,278644847,,POINT (-74.002959 40.7107085)
40.7106833,-74.0030453,278646241,,POINT (-74.0030453 40.7106833)
40.7085845,-74.000365,278646362,,POINT (-74.000365 40.7085845)
40.7084486,-74.0002282,278646363,,POINT (-74.0002282 40.7084486)
40.7082918,-74.0001186,278646364,,POINT (-74.00011859999999 40.7082918)
40.7124759,-74.0048445,370705004,traffic_signals,POINT (-74.0048445 40.7124759)
40.7100568,-74.0021361,370759316,,POINT (-74.0021361 40.7100568)
40.7519614,-73.9654809,370925141,,POINT (-73.9654809 40.7519614)
40.7519669,-73.9651527,370925143,,POINT (-73.9651527 40.7519669)
40.7520335,-73.9650611,370925144,,POINT (-73.9650611 40.7520335)
40.7522271,-73.9648596,370925145,,POINT (-73.9648596 40.7522271)
40.7522918,-73.964805,370925146,,POINT (-73.964805 40.7522918)
40.7523528,-73.9647754,370925147,,POINT (-73.96477539999999 40.7523528)
40.7524473,-73.9648079,370925148,,POINT (-73.9648079 40.7524473)
40.7594828,-73.9606065,371037077,,POINT (-73.9606065 40.7594828)
40.8040553,-73.9311969,371320656,,POINT (-73.9311969 40.8040553)
40.7119466,-74.0043258,486819529,,POINT (-74.0043258 40.7119466)
40.7112711,-74.0034826,486819531,,POINT (-74.0034826 40.7112711)
40.7111561,-74.0031028,486819534,motorway_junction,POINT (-74.00310279999999 40.7111561)
40.711607,-74.0036669,486819535,motorway_junction,POINT (-74.0036669 40.711607)
40.7120107,-74.0042007,486819536,,POINT (-74.0042007 40.7120107)
40.7114491,-74.0033161,486819593,,POINT (-74.00331610000001 40.7114491)
40.7089514,-74.0009269,588455737,,POINT (-74.0009269 40.7089514)
40.7103492,-74.0015819,588455883,,POINT (-74.00158190000001 40.7103492)
40.7100679,-74.0017251,588719108,,POINT (-74.0017251 40.7100679)
40.8588848,-73.9325757,1205715024,crossing,POINT (-73.9325757 40.8588848)
40.8572591,-73.9334312,1210384798,,POINT (-73.9334312 40.8572591)
40.8594505,-73.9322956,1253602791,,POINT (-73.9322956 40.8594505)
40.7112862,-74.0043649,1272562687,,POINT (-74.0043649 40.7112862)
40.711878,-74.0045138,1272562691,,POINT (-74.0045138 40.711878)
40.7119041,-74.004575,1272562693,,POINT (-74.004575 40.7119041)
40.7113123,-74.0043556,1272562701,,POINT (-74.0043556 40.7113123)
40.7107749,-74.0022139,1272562702,,POINT (-74.0022139 40.7107749)
40.7107095,-74.0020025,1272562706,,POINT (-74.0020025 40.7107095)
40.7111002,-74.0043239,1272562709,,POINT (-74.0043239 40.7111002)
40.7108799,-74.0021698,1272562711,,POINT (-74.0021698 40.7108799)
40.7121027,-74.0035696,1272562713,,POINT (-74.00356960000001 40.7121027)
40.7111212,-74.0043408,1272562714,,POINT (-74.00434079999999 40.7111212)
40.7111665,-74.0043626,1272562718,,POINT (-74.00436259999999 40.7111665)
40.7109371,-74.0022182,1272562720,,POINT (-74.0022182 40.7109371)
40.7113334,-74.0043443,1272562721,,POINT (-74.0043443 40.7113334)
40.7113557,-74.0043292,1272562722,,POINT (-74.0043292 40.7113557)
40.7121302,-74.0035522,1272562724,,POINT (-74.0035522 40.7121302)
40.712391,-74.0036146,1272562727,,POINT (-74.00361460000001 40.712391)
40.7113979,-74.0042892,1272562730,,POINT (-74.0042892 40.7113979)
40.7114139,-74.0042673,1272562731,,POINT (-74.0042673 40.7114139)
40.7119442,-74.0037703,1272562732,,POINT (-74.0037703 40.7119442)
40.7114726,-74.0041167,1272562734,,POINT (-74.0041167 40.7114726)
40.7123455,-74.0044974,1272562735,,POINT (-74.00449740000001 40.7123455)
40.7124133,-74.0036512,1272562737,,POINT (-74.00365119999999 40.7124133)
40.7123696,-74.0035879,1272562738,,POINT (-74.0035879 40.7123696)
40.7120803,-74.0035898,1272562740,,POINT (-74.0035898 40.7120803)
40.7115284,-74.0033374,1272562742,,POINT (-74.00333740000001 40.7115284)
40.711466,-74.0041464,1272562743,,POINT (-74.0041464 40.711466)
40.7123432,-74.0035637,1272562746,,POINT (-74.0035637 40.7123432)
40.7111929,-74.0043685,1272562750,,POINT (-74.0043685 40.7111929)
40.7114573,-74.004179,1272562751,,POINT (-74.00417899999999 40.7114573)
40.7114456,-74.0042102,1272562752,,POINT (-74.0042102 40.7114456)
40.7108031,-74.0031152,1272562753,,POINT (-74.0031152 40.7108031)
40.7122231,-74.0035222,1272562755,,POINT (-74.00352220000001 40.7122231)
40.7114768,-74.0040818,1272562756,,POINT (-74.00408179999999 40.7114768)
40.7112156,-74.0043719,1272562761,,POINT (-74.0043719 40.7112156)
40.7121618,-74.0043794,1272562763,,POINT (-74.0043794 40.7121618)
40.7121568,-74.0051846,1272562764,,POINT (-74.00518460000001 40.7121568)
40.7121464,-74.0051181,1272562766,,POINT (-74.0051181 40.7121464)
