u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,access,bridge,width,ref,tunnel,service,area
361109,3263830250,0,542064424,True,Rue de la Chaussée d'Antin,secondary,30,6.022,"LINESTRING (2.3327119 48.8742988, 2.3327354 48.8742469)",,,,,,,,,
368014,2587862380,0,166031130,False,Boulevard Diderot,secondary,50,12.366,"LINESTRING (2.3867729 48.8473461, 2.3869392 48.8473659)",,,,,,,,,
368061,4691027103,0,752044044,False,Avenue de Saint-Mandé,tertiary,,12.46,"LINESTRING (2.3982497 48.8453024, 2.3980812 48.8453185)",,,,,,,,,
368061,648217941,0,752044043,False,Avenue de Saint-Mandé,tertiary,,37.559,"LINESTRING (2.3982497 48.8453024, 2.3987593 48.8452621)",,,,,,,,,
390027,1784416577,0,19725534,True,Rue de Montreuil,unclassified,30,22.352,"LINESTRING (2.3964579 48.8509679, 2.3961621 48.8509177)",,,,,,,,,
390030,6282793831,0,173315999,True,Rue de Montreuil,unclassified,30,9.909,"LINESTRING (2.3925211 48.8504119, 2.3923876 48.8503969)",,,,,,,,,
442197,6137779458,0,49428942,True,Rue de Vaugirard,secondary,50,8.764,"LINESTRING (2.2883551 48.832695, 2.2884433 48.8327483)",,,,,,,,,
704782,6432839265,0,55497688,False,Avenue Daumesnil,secondary,30,10.598,"LINESTRING (2.4034875 48.8366973, 2.4036139 48.8366508)",,,,,,,,,
704782,6432840068,0,55497688,False,Avenue Daumesnil,secondary,30,12.788,"LINESTRING (2.4034875 48.8366973, 2.4033334 48.8367515)",,,,,,,,,
14803151,305217243,0,232312980,False,Route de Suresnes,primary,50,23.742,"LINESTRING (2.232039 48.8661629, 2.2317487 48.8662584)",6,,,,,,,,
14803151,2266470979,0,232312980,False,Route de Suresnes,primary,50,21.155,"LINESTRING (2.232039 48.8661629, 2.2322924 48.8660712)",6,,,,,,,,
14803152,7597691378,0,232312980,False,Route de Suresnes,primary,50,38.828,"LINESTRING (2.2332373 48.8656723, 2.2328042 48.8658742)",6,,,,,,,,
14803152,2266470999,0,83077512,True,Route de Suresnes,primary,50,25.59,"LINESTRING (2.2332373 48.8656723, 2.2334985 48.8655192)",,,,,,,,,
15378825,4687297181,0,55497688,False,Avenue Daumesnil,secondary,30,44.038,"LINESTRING (2.4021719 48.8371542, 2.4027063 48.8369722)",,,,,,,,,
15378825,6524826114,0,438204230,False,Avenue Daumesnil,secondary,30,18.736,"LINESTRING (2.4021719 48.8371542, 2.4019499 48.8372381)",,,,,,,,,
15378847,2334246045,0,631850954,True,Rue de Wattignies,residential,30,7.764,"LINESTRING (2.3977785 48.8354342, 2.3976803 48.8354606)",1,,,,,,,,
17809179,5982868513,0,48965339,True,Quai de Jemmapes,cycleway,,10.947,"LINESTRING (2.3658688 48.8773655, 2.3659699 48.8774381)",,,,,,,,,
19722936,5085687220,0,4039373,True,Place de Clichy,primary,50,9.484,"LINESTRING (2.3275098 48.8833741, 2.3276253 48.8834129)",,circular,,,,,,,
21292407,3375723102,0,56640608,False,Boulevard Arago,secondary,50,9.837,"LINESTRING (2.3449903 48.8349543, 2.3448562 48.8349484)",,,,,,,,,
21292409,3375721589,0,56640608,False,Boulevard Arago,secondary,50,8.95,"LINESTRING (2.3416015 48.8348131, 2.3417235 48.8348186)",,,,,,,,,
21292409,3375723096,0,299741417,False,Boulevard Arago,secondary,50,11.345,"LINESTRING (2.3416015 48.8348131, 2.3414467 48.8348079)",,,,,,,,,
21292412,3375721568,0,548078039,False,Boulevard Arago,secondary,50,12.733,"LINESTRING (2.3511666 48.8365716, 2.3510098 48.836522)",,,,,,,,,
21292412,5295211208,0,548078038,True,Boulevard Arago,cycleway,,13.762,"LINESTRING (2.3511666 48.8365716, 2.3512713 48.8364688)",,,,,,,,,
21346796,2386532733,0,695578271,False,Quai Branly,primary,50,18.008,"LINESTRING (2.2888812 48.854607, 2.2890223 48.8547397)",,,,,,,,,
21649682,6139453138,0,299741410,False,Boulevard Arago,secondary,50,24.124,"LINESTRING (2.3485739 48.8357339, 2.3488668 48.8358334)",,,,,,,,,
21649685,5689798807,0,548078039,False,Boulevard Arago,secondary,50,23.301,"LINESTRING (2.3501813 48.836261, 2.3504703 48.8363489)",,,,,,,,,
21658441,6992443076,0,744515450,False,Rue Bobillot,tertiary,30,15.126,"LINESTRING (2.3514725 48.8268898, 2.3515873 48.8270029)",,,,,,,,,
21658441,6341453889,0,85735933,False,Rue Bobillot,tertiary,30,14.662,"LINESTRING (2.3514725 48.8268898, 2.3513607 48.8267804)",,,,,,,,,
21658442,4760803654,0,85735937,False,Rue Bobillot,tertiary,30,46.316,"LINESTRING (2.3520793 48.8274854, 2.3524293 48.8278324)",,,,,,,,,
21658442,6341462383,0,744515450,False,Rue Bobillot,tertiary,30,14.75,"LINESTRING (2.3520793 48.8274854, 2.3519658 48.8273758)",,,,,,,,,
21658442,6341466638,0,56123540,True,Place Paul Verlaine,living_street,20,7.498,"LINESTRING (2.3520793 48.8274854, 2.352006 48.8275325)",,,,,,,,,
21658443,6992443076,0,744515450,False,Rue Bobillot,tertiary,30,24.462,"LINESTRING (2.351773 48.8271858, 2.3515873 48.8270029)",,,,,,,,,
21658443,6341462383,0,744515450,False,Rue Bobillot,tertiary,30,25.408,"LINESTRING (2.351773 48.8271858, 2.3519658 48.8273758)",,,,,,,,,
21658445,3758224825,0,85735937,False,Rue Bobillot,tertiary,30,13.427,"LINESTRING (2.3526934 48.8280926, 2.3525915 48.8279922)",,,,,,,,,
21658877,3758225075,0,372269139,True,Rue Bobillot,tertiary,30,10.276,"LINESTRING (2.354319 48.8300562, 2.3543863 48.8301373)",3,,,,,,,,
21658878,3758224995,0,372269138,True,Rue Bobillot,tertiary,30,46.422,"LINESTRING (2.3545654 48.8303532, 2.3548746 48.8307177)",3,,,,,,,,
24911707,5536051697,0,83537401,True,Rue Damrémont,tertiary,30,7.905,"LINESTRING (2.3343112 48.8905574, 2.3343536 48.8906228)",,,,,,,,,
24911716,6368057214,0,696960651,True,Rue Marcadet,residential,,11.927,"LINESTRING (2.3335208 48.8918534, 2.333364 48.891883)",,,,,,,,,
24912995,6151864396,0,24663753,True,Rue du Couédic,residential,30,6.295,"LINESTRING (2.332901 48.8302089, 2.3329869 48.8302116)",,,,,,,,,
24912996,6758993734,0,23142152,False,,path,,3.928,"LINESTRING (2.3337937 48.8302394, 2.3338465 48.8302457)",,,,,,,,,
24912996,2521663543,0,169127631,True,Avenue René Coty,tertiary,30,40.84,"LINESTRING (2.3337937 48.8302394, 2.3339254 48.8298825)",,,,,,,,,
