u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,width,access,est_width,bridge,junction,tunnel,ref,area
125730,567373849,0,31093720,2,Rue Louis Lumière,residential,30,False,83.292,"LINESTRING (2.4107318 48.8635232, 2.4104643 48.8642513)",,,,,,,,,
125730,4467439439,0,85735969,2,Rue Louis Lumière,residential,30,False,17.019,"LINESTRING (2.4107318 48.8635232, 2.4107698 48.8633722)",,,,,,,,,
125730,268675130,0,315818975,,Rue Henri Duvernois,residential,30,False,8.707,"LINESTRING (2.4107318 48.8635232, 2.4108343 48.8634834)",,,,,,,,,
125730,4467439441,0,611974677,2,Rue Louis Ganne,residential,30,False,8.626,"LINESTRING (2.4107318 48.8635232, 2.410615 48.8635125)",,,,,,,,,
125742,6093339304,0,4039102,,Rue de Buzenval,residential,30,True,9.311,"LINESTRING (2.401373 48.8518516, 2.4013364 48.8519318)",,,,,,,,,
125742,6093330050,0,54830382,,Rue d'Avron,tertiary,30,False,6.749,"LINESTRING (2.401373 48.8518516, 2.4012839 48.8518359)",,,,,,,,,
125742,6093342504,0,54830382,,Rue d'Avron,tertiary,30,False,10.14,"LINESTRING (2.401373 48.8518516, 2.4015067 48.8518756)",,,,,,,,,
125760,1496490037,0,673226239,4,Avenue de la Porte de Charenton,primary,30,False,11.879,"LINESTRING (2.4012582 48.8295112, 2.4013727 48.8294355)",,,,,,,,,
125760,360761838,0,673226631,4,Avenue de la Porte de Charenton,primary,30,False,25.501,"LINESTRING (2.4012582 48.8295112, 2.4010172 48.8296768)",,,,,,,,,
360930,2301459230,0,84416296,,Rue de Tolbiac,secondary,30,False,26.827,"LINESTRING (2.3614982 48.8263456, 2.3618586 48.8263893)",,,,,,,,,
360930,4747660425,0,84416296,,Rue de Tolbiac,secondary,30,False,56.617,"LINESTRING (2.3614982 48.8263456, 2.3607406 48.8262432)",,,,,,,,,
360932,2301475344,0,157910468,,Rue de Tolbiac,secondary,30,False,14.435,"LINESTRING (2.3572626 48.826185, 2.3570656 48.8261793)",,,,,,,,,
360933,6331415226,0,56067657,,Rue Damesme,residential,30,True,8.927,"LINESTRING (2.3552177 48.8260749, 2.3552279 48.8259949)",,,,,,,,,
360933,6331413000,0,157910468,,Rue de Tolbiac,secondary,30,False,6.716,"LINESTRING (2.3552177 48.8260749, 2.3553091 48.8260801)",,,,,,,,,
360935,2286779119,0,11288141,,Rue Bobillot,tertiary,30,False,13.625,"LINESTRING (2.3503781 48.8258123, 2.3502745 48.8257105)",,,,,,,,,
360935,2286779118,0,11288240,,Rue Charles Fourier,residential,30,True,16.124,"LINESTRING (2.3503781 48.8258123, 2.3505279 48.825706)",,,,,,,,,
360935,2286779138,0,85735933,,Rue Bobillot,tertiary,30,False,13.823,"LINESTRING (2.3503781 48.8258123, 2.3504827 48.8259158)",,,,,,,,,
360937,1852739223,0,172636184,,Rue Barrault,residential,30,True,10.502,"LINESTRING (2.3465866 48.8257548, 2.346602 48.8256609)",,,,,,,,,
360977,929942080,0,5210768,,Rue de Gergovie,residential,30,True,11.192,"LINESTRING (2.319263 48.8305326, 2.319258 48.8306332)",,,,,,,,,
360978,2764633769,0,5210428,,Rue Raymond Losserand,tertiary,30,True,9.606,"LINESTRING (2.3141451 48.8318162, 2.3142473 48.8318704)",,,,,,,,,
360980,5700649835,0,36451817,1,Rue Castagnary,residential,30,True,10.799,"LINESTRING (2.3092306 48.8335638, 2.3092875 48.8336534)",,,,,,,,,
360986,2631274855,0,59718913,,Rue de Lourmel,residential,30,True,6.887,"LINESTRING (2.2855643 48.8421683, 2.2855151 48.8421155)",,,,,,,,,
360986,2865247069,0,662409826,,Rue de la Convention,secondary,30,False,6.855,"LINESTRING (2.2855643 48.8421683, 2.2854873 48.8422034)",,,,,,,,,
360995,5518213292,0,5097354,,Rue Erlanger,residential,30,True,6.224,"LINESTRING (2.2622425 48.8479618, 2.2622126 48.8479094)",,,,,,,,,
361002,1781353160,0,722476382,,Route des Lacs à Passy,secondary,30,False,43.209,"LINESTRING (2.258932 48.8584182, 2.2595226 48.8584218)",,,,,,,,,
361029,4603914566,0,191714991,,Avenue Ledru-Rollin,secondary,30,True,9.482,"LINESTRING (2.3675155 48.845782, 2.367417 48.8457266)",,,,,,,,,
361032,6394320584,0,4527593,,Rue Bassompierre,residential,30,True,9.816,"LINESTRING (2.3672854 48.8508902, 2.3671571 48.850916)",,,,,,,,,
