y,x,osmid,highway,ref,geometry
48.1372914,16.2982162,381088,,,POINT (16.2982162 48.1372914)
48.224684,16.3479451,392442,,,POINT (16.3479451 48.224684)
48.1373127,16.2980849,1639054,,,POINT (16.2980849 48.1373127)
48.1833135,16.3296127,25280891,traffic_signals,,POINT (16.3296127 48.1833135)
48.1850065,16.4170954,30696098,,,POINT (16.4170954 48.1850065)
48.1858675,16.417783,30696100,,,POINT (16.417783 48.1858675)
48.1342268,16.3563405,33912515,traffic_signals,,POINT (16.3563405 48.1342268)
48.1850758,16.3429697,46921516,,,POINT (16.3429697 48.1850758)
48.2195216,16.3800223,59839002,crossing,,POINT (16.3800223 48.2195216)
48.2206603,16.3805695,59843455,,,POINT (16.3805695 48.2206603)
48.2227942,16.3813972,59843465,,,POINT (16.3813972 48.2227942)
48.2056238,16.3941592,60216504,traffic_signals,,POINT (16.3941592 48.2056238)
48.2071297,16.3874603,60484415,traffic_signals,,POINT (16.3874603 48.2071297)
48.2068521,16.3900175,60484418,,,POINT (16.3900175 48.2068521)
48.2068659,16.3886766,60484721,,,POINT (16.3886766 48.2068659)
48.2497111,16.3657404,60738730,,,POINT (16.3657404 48.2497111)
48.1849717,16.3419442,61841754,,,POINT (16.3419442 48.1849717)
48.1848976,16.3407944,61842471,,,POINT (16.3407944 48.1848976)
48.2061696,16.3922793,75545611,,,POINT (16.3922793 48.2061696)
48.2064381,16.3914769,75546116,,,POINT (16.3914769 48.2064381)
48.2068537,16.3894225,75557600,,,POINT (16.3894225 48.2068537)
48.2063226,16.3917705,75574945,,,POINT (16.3917705 48.2063226)
48.1824941,16.329853,188869988,,,POINT (16.329853 48.1824941)
48.1368643,16.2771756,249847513,,,POINT (16.2771756 48.1368643)
48.1848483,16.3399472,254666241,,,POINT (16.3399472 48.1848483)
48.1845828,16.3391096,254666248,,,POINT (16.3391096 48.1845828)
48.1844058,16.3386305,254666250,,,POINT (16.3386305 48.1844058)
48.1839458,16.3375576,254904590,,,POINT (16.3375576 48.1839458)
48.2084738,16.3834576,277119462,,,POINT (16.3834576 48.2084738)
48.2088151,16.3824664,280216768,traffic_signals,,POINT (16.3824664 48.2088151)
48.2088521,16.3823603,280216770,crossing,,POINT (16.3823603 48.2088521)
48.2221071,16.3811357,293039082,,,POINT (16.3811357 48.2221071)
48.1786289,16.3941147,306664777,traffic_signals,,POINT (16.3941147 48.1786289)
48.1805057,16.3976184,306665251,,,POINT (16.3976184 48.1805057)
48.18255,16.3976278,306665260,turning_circle,,POINT (16.3976278 48.18255)
48.1802793,16.3971528,306665889,traffic_signals,,POINT (16.3971528 48.1802793)
48.1363345,16.2787774,312280747,,,POINT (16.2787774 48.1363345)
48.1360141,16.2798229,312280750,crossing,,POINT (16.2798229 48.1360141)
48.2083315,16.3838932,319728986,crossing,,POINT (16.3838932 48.2083315)
48.2226823,16.3813521,322021026,,,POINT (16.3813521 48.2226823)
48.2246194,16.3488214,1382698553,crossing,,POINT (16.3488214 48.2246194)
48.1885481,16.4181294,1950933825,crossing,,POINT (16.4181294 48.1885481)
48.1844488,16.338743,1975838866,crossing,,POINT (16.338743 48.1844488)
48.1855805,16.4152622,3127334592,crossing,,POINT (16.4152622 48.1855805)
48.1342535,16.3561803,3706476337,,,POINT (16.3561803 48.1342535)
48.1823564,16.3978554,5411547013,,,POINT (16.3978554 48.1823564)
48.2489992,16.3684843,5665639122,traffic_signals,,POINT (16.3684843 48.2489992)
48.2074043,16.3866153,6295026706,traffic_signals,,POINT (16.3866153 48.2074043)
48.2068359,16.3558556,199735,traffic_signals,,POINT (16.3558556 48.2068359)
48.2076973,16.3553748,199736,,,POINT (16.3553748 48.2076973)
48.2118784,16.3558256,199751,traffic_signals,,POINT (16.3558256 48.2118784)
48.2102275,16.3554663,199758,traffic_signals,,POINT (16.3554663 48.2102275)
