placeid;nominatimstring;countryid
santiago;Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile;chl
bath;bath;gbr
delft;delft;nld
manhattan;manhattan;usa
telaviv;tel aviv;isr
bern;bern;che
kathmandu;kathmandu;npl
rabat;rabat;mar
malmo;malmo;swe
luanda;luanda;ago
turin;turin;ita
copenhagen;;dnk
zurich;zurich;che
buenosaires;buenos aires;arg
marrakesh;marrakesh;mar
sanfrancisco;san francisco;usa
tashkent;tashkent;uzb
bradford;bradford;gbr
boston;Boston;usa
shahalam;shah alam;mys
glasgow;glasgow city;gbr
mumbai;mumbai;ind
milan;milan;ita
paris;Paris, France;fra
barcelona;Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain;esp
detroit;detroit;usa
sheffield;sheffield;gbr
stuttgart;stuttgart;deu
philadelphia;philadelphia;usa
amsterdam;amsterdam;nld
ulaanbaatar;ulaanbaatar;mng
birmingham;birmingham;gbr
oslo;oslo;nor
leeds;leeds;gbr
edinburgh;city of edinburgh;gbr
chicago;chicago;usa
hongkong;Hong Kong Special Administrative Region;hkg
budapest;Budapest, Hungary;hun
cologne;cologne;ger
singapore;singapore;sgp
vienna;vienna, austria;aut
moscow;moscow;rus
munich;munich;ger
bogota;bogota, colombia;col
helsinki;helsinki;fin
portland;Portland, Multnomah County, Oregon, United States of America;usa
rome;Rome, Roma Capitale, Italy;ita
phoenix;phoenix;usa
hamburg;hamburg;ger
houston;houston;usa
berlin;Berlin, Germany;deu
losangeles;los angeles;usa
mexico;mexico city;mex
karachi;karachi;pak
manchestergreater;greater manchester;gbr
jakarta;jakarta;idn
saopaulo;sao paolo;bra
tokyo;tokyo;jpn
london;greater london;gbr
