placeid;nominatimstring;countryid
manhattan;Manhattan, NYC, NY, USA;usa
bogota;bogota, colombia;col
budapest;Budapest, Hungary;hun
paris;Paris, France;fra
copenhagen;;dnk
vienna;vienna, austria;aut
amsterdam;Amsterdam, North Holland, Netherlands, The Netherlands;nld
barcelona;Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain;esp
detroit;Detroit, Wayne County, Michigan, United States of America;usa
jakarta;Jakarta Special Capital Region, Indonesia;idn
losangeles;Los Angeles, Los Angeles County, California, United States of America;usa
phoenix;Phoenix, Maricopa County, Arizona, United States of America;usa
portland;Portland, Multnomah County, Oregon, United States of America;usa
berlin;Berlin, Germany;deu
boston;Boston, Suffolk County, Massachusetts, United States of America;usa
helsinki;Helsinki, Helsinki sub-region, Uusimaa, Mainland Finland, Finland;fin
moscow;Moscow, Central Administrative Okrug, Moscow, Central Federal District, Russia;rus
rome;Rome, Roma Capitale, Italy;ita
stuttgart;Stuttgart, Baden-Württemberg, Germany;deu
milan;Milan, Lombardy, Italy;ita
telaviv;Tel Aviv-Yafo, Tel Aviv District, Israel;isr
rabat;Rabat, pachalik de Rabat, Prefecture of Rabat, Rabat-Salé-Kenitra, Morocco;mar
shahalam;Shah Alam, Selangor, Malaysia;mys
saopaulo;São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, Brazil;bra
santiago;Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile;chl
buenosaires;Autonomous City of Buenos Aires, Argentina;arg
ulaanbaatar;ulaanbaatar;mng
tashkent;Tashkent, 100000, Uzbekistan;uzb
london;greater london;gbr
